x	tac	
32.9	7.15808e-12	
32.901	7.15816e-12	
32.902	7.15824e-12	
32.903	7.15832e-12	
32.904	7.1584e-12	
32.905	7.15848e-12	
32.906	7.15856e-12	
32.907	7.15864e-12	
32.908	7.15872e-12	
32.909	7.1588e-12	
32.91	7.15887e-12	
32.911	7.15895e-12	
32.912	7.15902e-12	
32.913	7.15909e-12	
32.914	7.15917e-12	
32.915	7.15924e-12	
32.916	7.15931e-12	
32.917	7.15938e-12	
32.918	7.15944e-12	
32.919	7.15951e-12	
32.92	7.15958e-12	
32.921	7.15965e-12	
32.922	7.15971e-12	
32.923	7.15977e-12	
32.924	7.15984e-12	
32.925	7.1599e-12	
32.926	7.15996e-12	
32.927	7.16002e-12	
32.928	7.16008e-12	
32.929	7.16014e-12	
32.93	7.1602e-12	
32.931	7.16025e-12	
32.932	7.16031e-12	
32.933	7.16037e-12	
32.934	7.16042e-12	
32.935	0	
32.936	0	
32.937	0	
32.938	0	
32.939	0	
32.94	0	
32.941	0	
32.942	0	
32.943	0	
32.944	0	
32.945	0	
32.946	0	
32.947	0	
32.948	0	
32.949	0	
32.95	0	
32.951	0	
32.952	0	
32.953	0	
32.954	0	
32.955	0	
32.956	0	
32.957	0	
32.958	0	
32.959	0	
32.96	0	
32.961	0	
32.962	0	
32.963	0	
32.964	0	
32.965	0	
32.966	0	
32.967	0	
32.968	0	
32.969	0	
32.97	0	
32.971	0	
32.972	0	
32.973	0	
32.974	0	
32.975	0	
32.976	0	
32.977	0	
32.978	0	
32.979	0	
32.98	0	
32.981	0	
32.982	0	
32.983	0	
32.984	0	
32.985	0	
32.986	0	
32.987	0	
32.988	0	
32.989	0	
32.99	0	
32.991	0	
32.992	0	
32.993	0	
32.994	0	
32.995	0	
32.996	0	
32.997	0	
32.998	0	
32.999	0	
33	0	
