x	tac	
32.9	4.08346e-18	
32.901	4.16572e-18	
32.902	4.2488e-18	
32.903	4.33269e-18	
32.904	4.41741e-18	
32.905	4.50295e-18	
32.906	4.5893e-18	
32.907	4.67648e-18	
32.908	4.76448e-18	
32.909	4.8533e-18	
32.91	4.94294e-18	
32.911	5.0334e-18	
32.912	5.12469e-18	
32.913	5.21679e-18	
32.914	5.30971e-18	
32.915	5.40346e-18	
32.916	5.49802e-18	
32.917	5.59341e-18	
32.918	5.68961e-18	
32.919	5.78664e-18	
32.92	5.88449e-18	
32.921	5.98316e-18	
32.922	6.08264e-18	
32.923	6.18295e-18	
32.924	6.28408e-18	
32.925	6.38604e-18	
32.926	6.48881e-18	
32.927	6.5924e-18	
32.928	6.69682e-18	
32.929	6.80205e-18	
32.93	6.90811e-18	
32.931	7.01498e-18	
32.932	7.12268e-18	
32.933	7.2312e-18	
32.934	7.34054e-18	
32.935	0	
32.936	0	
32.937	0	
32.938	0	
32.939	0	
32.94	0	
32.941	0	
32.942	0	
32.943	0	
32.944	0	
32.945	0	
32.946	0	
32.947	0	
32.948	0	
32.949	0	
32.95	0	
32.951	0	
32.952	0	
32.953	0	
32.954	0	
32.955	0	
32.956	0	
32.957	0	
32.958	0	
32.959	0	
32.96	0	
32.961	0	
32.962	0	
32.963	0	
32.964	0	
32.965	0	
32.966	0	
32.967	0	
32.968	0	
32.969	0	
32.97	0	
32.971	0	
32.972	0	
32.973	0	
32.974	0	
32.975	0	
32.976	0	
32.977	0	
32.978	0	
32.979	0	
32.98	0	
32.981	0	
32.982	0	
32.983	0	
32.984	0	
32.985	0	
32.986	0	
32.987	0	
32.988	0	
32.989	0	
32.99	0	
32.991	0	
32.992	0	
32.993	0	
32.994	0	
32.995	0	
32.996	0	
32.997	0	
32.998	0	
32.999	0	
33	0	
