x	tac	
32.9	3.05998e-11	
32.901	3.06001e-11	
32.902	3.06003e-11	
32.903	3.06006e-11	
32.904	3.06008e-11	
32.905	3.06011e-11	
32.906	3.06013e-11	
32.907	3.06016e-11	
32.908	3.06019e-11	
32.909	3.06021e-11	
32.91	3.06024e-11	
32.911	3.06027e-11	
32.912	3.06029e-11	
32.913	3.06032e-11	
32.914	3.06035e-11	
32.915	3.06038e-11	
32.916	3.06041e-11	
32.917	3.06044e-11	
32.918	3.06047e-11	
32.919	3.0605e-11	
32.92	3.06053e-11	
32.921	3.06056e-11	
32.922	3.06059e-11	
32.923	3.06062e-11	
32.924	3.06066e-11	
32.925	3.06069e-11	
32.926	3.06072e-11	
32.927	3.06075e-11	
32.928	3.06079e-11	
32.929	3.06082e-11	
32.93	3.06085e-11	
32.931	3.06089e-11	
32.932	3.06092e-11	
32.933	3.06096e-11	
32.934	3.06099e-11	
32.935	0	
32.936	0	
32.937	0	
32.938	0	
32.939	0	
32.94	0	
32.941	0	
32.942	0	
32.943	0	
32.944	0	
32.945	0	
32.946	0	
32.947	0	
32.948	0	
32.949	0	
32.95	0	
32.951	0	
32.952	0	
32.953	0	
32.954	0	
32.955	0	
32.956	0	
32.957	0	
32.958	0	
32.959	0	
32.96	0	
32.961	0	
32.962	0	
32.963	0	
32.964	0	
32.965	0	
32.966	0	
32.967	0	
32.968	0	
32.969	0	
32.97	0	
32.971	0	
32.972	0	
32.973	0	
32.974	0	
32.975	0	
32.976	0	
32.977	0	
32.978	0	
32.979	0	
32.98	0	
32.981	0	
32.982	0	
32.983	0	
32.984	0	
32.985	0	
32.986	0	
32.987	0	
32.988	0	
32.989	0	
32.99	0	
32.991	0	
32.992	0	
32.993	0	
32.994	0	
32.995	0	
32.996	0	
32.997	0	
32.998	0	
32.999	0	
33	0	
