x	tac	
32.9	5.01272e-16	
32.901	4.43613e-16	
32.902	3.89479e-16	
32.903	3.3887e-16	
32.904	2.91787e-16	
32.905	2.48229e-16	
32.906	2.08197e-16	
32.907	1.7169e-16	
32.908	1.38709e-16	
32.909	1.09253e-16	
32.91	8.33238e-17	
32.911	6.09202e-17	
32.912	4.20425e-17	
32.913	2.66908e-17	
32.914	1.48653e-17	
32.915	6.56589e-18	
32.916	1.79278e-18	
32.917	5.4601e-19	
32.918	2.82565e-18	
32.919	8.63176e-18	
32.92	1.79644e-17	
32.921	3.08238e-17	
32.922	4.72098e-17	
32.923	6.71226e-17	
32.924	9.05622e-17	
32.925	1.17529e-16	
32.926	1.48022e-16	
32.927	1.82043e-16	
32.928	2.19591e-16	
32.929	2.60666e-16	
32.93	3.05268e-16	
32.931	3.53398e-16	
32.932	4.05055e-16	
32.933	4.6024e-16	
32.934	5.18952e-16	
32.935	0	
32.936	0	
32.937	0	
32.938	0	
32.939	0	
32.94	0	
32.941	0	
32.942	0	
32.943	0	
32.944	0	
32.945	0	
32.946	0	
32.947	0	
32.948	0	
32.949	0	
32.95	0	
32.951	0	
32.952	0	
32.953	0	
32.954	0	
32.955	0	
32.956	0	
32.957	0	
32.958	0	
32.959	0	
32.96	0	
32.961	0	
32.962	0	
32.963	0	
32.964	0	
32.965	0	
32.966	0	
32.967	0	
32.968	0	
32.969	0	
32.97	0	
32.971	0	
32.972	0	
32.973	0	
32.974	0	
32.975	0	
32.976	0	
32.977	0	
32.978	0	
32.979	0	
32.98	0	
32.981	0	
32.982	0	
32.983	0	
32.984	0	
32.985	0	
32.986	0	
32.987	0	
32.988	0	
32.989	0	
32.99	0	
32.991	0	
32.992	0	
32.993	0	
32.994	0	
32.995	0	
32.996	0	
32.997	0	
32.998	0	
32.999	0	
33	0	
