x	tac	
32.9	8.08466e-12	
32.901	8.08476e-12	
32.902	8.08485e-12	
32.903	8.08494e-12	
32.904	8.08504e-12	
32.905	8.08513e-12	
32.906	8.08522e-12	
32.907	8.08531e-12	
32.908	8.0854e-12	
32.909	8.08549e-12	
32.91	8.08558e-12	
32.911	8.08567e-12	
32.912	8.08575e-12	
32.913	8.08584e-12	
32.914	8.08592e-12	
32.915	8.08601e-12	
32.916	8.08609e-12	
32.917	8.08617e-12	
32.918	8.08625e-12	
32.919	8.08633e-12	
32.92	8.08641e-12	
32.921	8.08649e-12	
32.922	8.08657e-12	
32.923	8.08664e-12	
32.924	8.08672e-12	
32.925	8.08679e-12	
32.926	8.08687e-12	
32.927	8.08694e-12	
32.928	8.08701e-12	
32.929	8.08709e-12	
32.93	8.08716e-12	
32.931	8.08723e-12	
32.932	8.08729e-12	
32.933	8.08736e-12	
32.934	8.08743e-12	
32.935	8.08751e-12	
32.936	8.08763e-12	
32.937	8.08774e-12	
32.938	8.08786e-12	
32.939	8.08797e-12	
32.94	8.08809e-12	
32.941	8.0882e-12	
32.942	8.08832e-12	
32.943	8.08843e-12	
32.944	8.08855e-12	
32.945	8.08866e-12	
32.946	8.08878e-12	
32.947	8.08889e-12	
32.948	8.08901e-12	
32.949	8.08913e-12	
32.95	8.08924e-12	
32.951	8.08936e-12	
32.952	8.08948e-12	
32.953	8.08959e-12	
32.954	8.08971e-12	
32.955	8.08982e-12	
32.956	8.08994e-12	
32.957	8.09006e-12	
32.958	8.09018e-12	
32.959	8.09029e-12	
32.96	8.09041e-12	
32.961	8.09053e-12	
32.962	8.09064e-12	
32.963	8.09076e-12	
32.964	8.09088e-12	
32.965	8.091e-12	
32.966	8.09111e-12	
32.967	8.09123e-12	
32.968	8.09135e-12	
32.969	8.09147e-12	
32.97	8.09158e-12	
32.971	8.0917e-12	
32.972	8.09182e-12	
32.973	8.09194e-12	
32.974	8.09206e-12	
32.975	8.09218e-12	
32.976	8.09229e-12	
32.977	8.09241e-12	
32.978	8.09253e-12	
32.979	8.09265e-12	
32.98	8.09277e-12	
32.981	8.09289e-12	
32.982	8.09301e-12	
32.983	8.09313e-12	
32.984	8.09325e-12	
32.985	8.09337e-12	
32.986	8.09348e-12	
32.987	8.0936e-12	
32.988	8.09372e-12	
32.989	8.09384e-12	
32.99	8.09396e-12	
32.991	8.09408e-12	
32.992	8.0942e-12	
32.993	8.09432e-12	
32.994	8.09444e-12	
32.995	8.09456e-12	
32.996	8.09468e-12	
32.997	8.0948e-12	
32.998	8.09493e-12	
32.999	8.09505e-12	
33	8.09512e-12	
