x	tac	
32.9	2.79473e-22	
32.901	2.60186e-22	
32.902	2.40985e-22	
32.903	2.21916e-22	
32.904	2.03025e-22	
32.905	1.84361e-22	
32.906	1.65974e-22	
32.907	1.47914e-22	
32.908	1.30232e-22	
32.909	1.12982e-22	
32.91	9.62189e-23	
32.911	7.9997e-23	
32.912	6.43736e-23	
32.913	4.94058e-23	
32.914	3.51532e-23	
32.915	2.16756e-23	
32.916	9.03449e-24	
32.917	-2.70772e-24	
32.918	-1.3487e-23	
32.919	-2.32389e-23	
32.92	-3.18971e-23	
32.921	-3.93937e-23	
32.922	-4.56607e-23	
32.923	-5.06284e-23	
32.924	-5.42263e-23	
32.925	-5.63822e-23	
32.926	-5.7023e-23	
32.927	-5.60719e-23	
32.928	-5.34559e-23	
32.929	-4.90984e-23	
32.93	-4.29212e-23	
32.931	-3.48448e-23	
32.932	-2.47889e-23	
32.933	-1.26717e-23	
32.934	1.58953e-24	
32.935	5.62577e-16	
32.936	5.6257e-16	
32.937	5.62564e-16	
32.938	5.62557e-16	
32.939	5.62551e-16	
32.94	5.62544e-16	
32.941	5.62537e-16	
32.942	5.6253e-16	
32.943	5.62523e-16	
32.944	5.62517e-16	
32.945	5.6251e-16	
32.946	5.62503e-16	
32.947	5.62496e-16	
32.948	5.62489e-16	
32.949	5.62482e-16	
32.95	5.62475e-16	
32.951	5.62468e-16	
32.952	5.62461e-16	
32.953	5.62453e-16	
32.954	5.62446e-16	
32.955	5.62439e-16	
32.956	5.62432e-16	
32.957	5.62425e-16	
32.958	5.62418e-16	
32.959	5.62411e-16	
32.96	5.62403e-16	
32.961	5.62396e-16	
32.962	5.62389e-16	
32.963	5.62382e-16	
32.964	5.62374e-16	
32.965	5.62367e-16	
32.966	5.6236e-16	
32.967	5.62353e-16	
32.968	5.62345e-16	
32.969	5.62338e-16	
32.97	5.62331e-16	
32.971	5.62323e-16	
32.972	5.62316e-16	
32.973	5.62309e-16	
32.974	5.62301e-16	
32.975	5.62294e-16	
32.976	5.62287e-16	
32.977	5.62279e-16	
32.978	5.62272e-16	
32.979	5.62265e-16	
32.98	5.62257e-16	
32.981	5.6225e-16	
32.982	5.62243e-16	
32.983	5.62235e-16	
32.984	5.62228e-16	
32.985	5.62221e-16	
32.986	5.62214e-16	
32.987	5.62206e-16	
32.988	5.62199e-16	
32.989	5.62192e-16	
32.99	5.62184e-16	
32.991	5.62177e-16	
32.992	5.6217e-16	
32.993	5.62162e-16	
32.994	5.62155e-16	
32.995	5.62148e-16	
32.996	5.6214e-16	
32.997	5.62133e-16	
32.998	5.62126e-16	
32.999	5.62119e-16	
33	5.62116e-16	
