x	tac	
32.9	1.60975e-12	
32.901	1.60976e-12	
32.902	1.60978e-12	
32.903	1.60979e-12	
32.904	1.60981e-12	
32.905	1.60983e-12	
32.906	1.60984e-12	
32.907	1.60986e-12	
32.908	1.60988e-12	
32.909	1.60989e-12	
32.91	1.60991e-12	
32.911	1.60993e-12	
32.912	1.60995e-12	
32.913	1.60996e-12	
32.914	1.60998e-12	
32.915	1.61e-12	
32.916	1.61002e-12	
32.917	1.61004e-12	
32.918	1.61005e-12	
32.919	1.61007e-12	
32.92	1.61009e-12	
32.921	1.61011e-12	
32.922	1.61013e-12	
32.923	1.61015e-12	
32.924	1.61017e-12	
32.925	1.61019e-12	
32.926	1.61021e-12	
32.927	1.61023e-12	
32.928	1.61025e-12	
32.929	1.61027e-12	
32.93	1.61029e-12	
32.931	1.61031e-12	
32.932	1.61033e-12	
32.933	1.61035e-12	
32.934	1.61038e-12	
32.935	1.19643e-06	
32.936	1.11468e-06	
32.937	1.03979e-06	
32.938	9.71089e-07	
32.939	9.07969e-07	
32.94	8.49896e-07	
32.941	7.96393e-07	
32.942	7.47035e-07	
32.943	7.01443e-07	
32.944	6.59277e-07	
32.945	6.20233e-07	
32.946	5.84037e-07	
32.947	5.50444e-07	
32.948	5.19233e-07	
32.949	4.90203e-07	
32.95	4.63174e-07	
32.951	4.37983e-07	
32.952	4.14482e-07	
32.953	3.92536e-07	
32.954	3.72024e-07	
32.955	3.52835e-07	
32.956	3.34867e-07	
32.957	3.18029e-07	
32.958	3.02237e-07	
32.959	2.87412e-07	
32.96	2.73486e-07	
32.961	2.60394e-07	
32.962	2.48075e-07	
32.963	2.36477e-07	
32.964	2.25549e-07	
32.965	2.15245e-07	
32.966	2.05523e-07	
32.967	1.96343e-07	
32.968	1.87671e-07	
32.969	1.79472e-07	
32.97	1.71717e-07	
32.971	1.64376e-07	
32.972	1.57423e-07	
32.973	1.50834e-07	
32.974	1.44586e-07	
32.975	1.38658e-07	
32.976	1.33031e-07	
32.977	1.27687e-07	
32.978	1.22609e-07	
32.979	1.1778e-07	
32.98	1.13187e-07	
32.981	1.08816e-07	
32.982	1.04654e-07	
32.983	1.00689e-07	
32.984	9.69101e-08	
32.985	9.33068e-08	
32.986	8.98696e-08	
32.987	8.65891e-08	
32.988	8.34571e-08	
32.989	8.04654e-08	
32.99	7.76066e-08	
32.991	7.48737e-08	
32.992	7.22601e-08	
32.993	6.97596e-08	
32.994	6.73663e-08	
32.995	6.50748e-08	
32.996	6.28799e-08	
32.997	6.07769e-08	
32.998	5.8761e-08	
32.999	5.68528e-08	
33	5.62377e-08	
