x	tac	
32.9	1.36157e-12	
32.901	1.36158e-12	
32.902	1.36159e-12	
32.903	1.3616e-12	
32.904	1.36161e-12	
32.905	1.36162e-12	
32.906	1.36163e-12	
32.907	1.36164e-12	
32.908	1.36165e-12	
32.909	1.36166e-12	
32.91	1.36167e-12	
32.911	1.36168e-12	
32.912	1.36169e-12	
32.913	1.3617e-12	
32.914	1.36172e-12	
32.915	1.36173e-12	
32.916	1.36174e-12	
32.917	1.36175e-12	
32.918	1.36176e-12	
32.919	1.36177e-12	
32.92	1.36178e-12	
32.921	1.36179e-12	
32.922	1.36181e-12	
32.923	1.36182e-12	
32.924	1.36183e-12	
32.925	1.36184e-12	
32.926	1.36185e-12	
32.927	1.36187e-12	
32.928	1.36188e-12	
32.929	1.36189e-12	
32.93	1.3619e-12	
32.931	1.36191e-12	
32.932	1.36193e-12	
32.933	1.36194e-12	
32.934	1.36195e-12	
32.935	6.11043e-07	
32.936	5.69288e-07	
32.937	5.3104e-07	
32.938	4.95951e-07	
32.939	4.63714e-07	
32.94	4.34054e-07	
32.941	4.06728e-07	
32.942	3.81519e-07	
32.943	3.58234e-07	
32.944	3.36698e-07	
32.945	3.16757e-07	
32.946	2.98271e-07	
32.947	2.81114e-07	
32.948	2.65173e-07	
32.949	2.50347e-07	
32.95	2.36542e-07	
32.951	2.23676e-07	
32.952	2.11674e-07	
32.953	2.00465e-07	
32.954	1.89989e-07	
32.955	1.80189e-07	
32.956	1.71013e-07	
32.957	1.62413e-07	
32.958	1.54347e-07	
32.959	1.46776e-07	
32.96	1.39664e-07	
32.961	1.32977e-07	
32.962	1.26686e-07	
32.963	1.20762e-07	
32.964	1.15181e-07	
32.965	1.09919e-07	
32.966	1.04953e-07	
32.967	1.00265e-07	
32.968	9.58362e-08	
32.969	9.1649e-08	
32.97	8.76881e-08	
32.971	8.39388e-08	
32.972	8.03879e-08	
32.973	7.70228e-08	
32.974	7.3832e-08	
32.975	7.08048e-08	
32.976	6.79311e-08	
32.977	6.52018e-08	
32.978	6.26083e-08	
32.979	6.01424e-08	
32.98	5.77968e-08	
32.981	5.55644e-08	
32.982	5.34388e-08	
32.983	5.14139e-08	
32.984	4.94841e-08	
32.985	4.76439e-08	
32.986	4.58885e-08	
32.987	4.42133e-08	
32.988	4.26138e-08	
32.989	4.1086e-08	
32.99	3.9626e-08	
32.991	3.82304e-08	
32.992	3.68957e-08	
32.993	3.56187e-08	
32.994	3.43965e-08	
32.995	3.32263e-08	
32.996	3.21055e-08	
32.997	3.10315e-08	
32.998	3.00021e-08	
32.999	2.90276e-08	
33	2.87134e-08	
