x	yield	xf	
15	1.1123e-07	25.4453	
15.1583	9.63475e-08	25.4453	
15.3183	8.33178e-08	25.4453	
15.48	7.19296e-08	25.4453	
15.6434	6.1993e-08	25.4453	
15.8085	5.33376e-08	25.4453	
15.9753	4.58114e-08	25.4453	
16.1439	3.92786e-08	25.4453	
16.3143	3.36178e-08	25.4453	
16.4865	2.87216e-08	25.4453	
16.6605	2.44942e-08	25.4453	
16.8364	2.0851e-08	25.4453	
17.0141	1.77169e-08	25.4453	
17.1937	1.5026e-08	25.4453	
17.3751	1.27197e-08	25.4453	
17.5585	1.0747e-08	25.4453	
17.7438	9.06278e-09	25.4453	
17.9311	7.62766e-09	25.4453	
18.1204	6.4072e-09	25.4453	
18.3116	5.37135e-09	25.4453	
18.5049	4.49393e-09	25.4453	
18.7002	3.75223e-09	25.4453	
18.8976	3.12652e-09	25.4453	
19.097	2.59977e-09	25.4453	
19.2986	2.15724e-09	25.4453	
19.5023	1.78626e-09	25.4453	
19.7081	1.47591e-09	25.4453	
19.9161	1.21685e-09	25.4453	
20.1263	1.00108e-09	25.4453	
20.3388	8.21749e-10	25.4453	
20.5534	6.73041e-10	25.4453	
20.7704	5.50003e-10	25.4453	
20.9896	4.48434e-10	25.4453	
21.2111	3.64781e-10	25.4453	
21.435	2.96043e-10	25.4453	
21.6612	2.39694e-10	25.4453	
21.8899	1.9361e-10	25.4453	
22.1209	1.5601e-10	25.4453	
22.3544	1.25408e-10	25.4453	
22.5903	1.00562e-10	25.4453	
22.8288	8.04383e-11	25.4453	
23.0697	6.41808e-11	25.4453	
23.3132	5.10795e-11	25.4453	
23.5592	4.05487e-11	25.4453	
23.8079	3.21059e-11	25.4453	
24.0592	2.53546e-11	25.4453	
24.3131	1.99702e-11	25.4453	
24.5697	1.56873e-11	25.4453	
24.8291	1.22897e-11	25.4453	
25.0911	9.60177e-12	25.4453	
25.3559	7.48108e-12	25.4453	
25.4453	6.87662e-12	25.4453	
25.6236	5.81257e-12	25.4453	
25.894	4.50349e-12	25.4453	
26.1673	3.47933e-12	25.4453	
26.4435	2.68036e-12	25.4453	
26.7226	2.05887e-12	25.4453	
27.0046	1.57685e-12	25.4453	
27.2897	1.20411e-12	25.4453	
27.5777	9.16718e-13	25.4453	
27.8688	6.9581e-13	25.4453	
28.1629	5.26521e-13	25.4453	
28.4602	3.97189e-13	25.4453	
28.7605	2.9869e-13	25.4453	
29.0641	2.23909e-13	25.4453	
29.3709	1.67315e-13	25.4453	
29.6809	1.24622e-13	25.4453	
29.9941	9.25211e-14	25.4453	
30.3107	6.84628e-14	25.4453	
30.6306	5.04919e-14	25.4453	
30.9539	3.7113e-14	25.4453	
31.2806	2.71864e-14	25.4453	
31.6108	1.98466e-14	25.4453	
31.9444	1.44381e-14	25.4453	
32.2816	1.04667e-14	25.4453	
32.6223	7.56079e-15	25.4453	
32.9666	5.44211e-15	25.4453	
33.3145	3.90295e-15	25.4453	
33.6662	2.78887e-15	25.4453	
34.0215	1.98544e-15	25.4453	
34.3806	1.40819e-15	25.4453	
34.7435	9.94998e-16	25.4453	
35.1102	7.00365e-16	25.4453	
35.4807	4.91078e-16	25.4453	
35.8552	3.4299e-16	25.4453	
36.2337	2.38617e-16	25.4453	
36.6161	1.65344e-16	25.4453	
37.0025	1.14112e-16	25.4453	
37.3931	7.84335e-17	25.4453	
37.7878	5.36892e-17	25.4453	
38.1866	3.6599e-17	25.4453	
38.5896	2.48443e-17	25.4453	
38.9969	1.67935e-17	25.4453	
39.4085	1.1303e-17	25.4453	
39.8245	7.57463e-18	25.4453	
40.2448	5.05391e-18	25.4453	
40.6696	3.35716e-18	25.4453	
41.0988	2.22011e-18	25.4453	
41.5326	1.46154e-18	25.4453	
41.971	9.57777e-19	25.4453	
42.4139	6.24758e-19	25.4453	
42.8616	4.05634e-19	25.4453	
43.314	2.62126e-19	25.4453	
43.7712	1.68583e-19	25.4453	
44.2331	1.07902e-19	25.4453	
44.7	6.8727e-20	25.4453	
45.1718	4.35603e-20	25.4453	
45.6486	2.74725e-20	25.4453	
46.1304	1.72395e-20	25.4453	
46.6172	1.07633e-20	25.4453	
47.1093	6.68555e-21	25.4453	
47.6065	4.13122e-21	25.4453	
48.109	2.53949e-21	25.4453	
48.6167	1.5528e-21	25.4453	
49.1299	9.44411e-22	25.4453	
49.6484	5.71292e-22	25.4453	
50.1724	3.43702e-22	25.4453	
50.702	2.05632e-22	25.4453	
51.2371	1.22341e-22	25.4453	
51.7779	7.23768e-23	25.4453	
52.3244	4.25749e-23	25.4453	
52.8766	2.49004e-23	25.4453	
53.4347	1.44787e-23	25.4453	
53.9987	8.36957e-24	25.4453	
54.5686	4.80944e-24	25.4453	
55.1446	2.74712e-24	25.4453	
55.7266	1.55964e-24	25.4453	
56.3148	8.80046e-25	25.4453	
56.9092	4.9352e-25	25.4453	
57.5098	2.75028e-25	25.4453	
58.1168	1.523e-25	25.4453	
58.7302	8.37999e-26	25.4453	
59.3501	4.58129e-26	25.4453	
59.9765	2.4882e-26	25.4453	
60.6095	1.34252e-26	25.4453	
61.2492	7.19557e-27	25.4453	
61.8957	3.83065e-27	25.4453	
62.549	2.02549e-27	25.4453	
63.2092	1.06362e-27	25.4453	
63.8763	5.54667e-28	25.4453	
64.5505	2.87222e-28	25.4453	
65.2318	1.47681e-28	25.4453	
65.9203	7.53883e-29	25.4453	
66.616	3.82067e-29	25.4453	
67.3192	1.92216e-29	25.4453	
68.0297	9.59881e-30	25.4453	
68.7477	4.75774e-30	25.4453	
69.4733	2.34044e-30	25.4453	
70.2066	1.14251e-30	25.4453	
70.9476	5.53448e-31	25.4453	
71.6964	2.66013e-31	25.4453	
72.4531	1.26854e-31	25.4453	
73.2178	6.00122e-32	25.4453	
73.9906	2.81621e-32	25.4453	
