x	yield	xf	
15	1.09588e-07	26.1484	
15.1583	9.49085e-08	26.1484	
15.3183	8.20592e-08	26.1484	
15.48	7.08306e-08	26.1484	
15.6434	6.10349e-08	26.1484	
15.8085	5.2504e-08	26.1484	
15.9753	4.50872e-08	26.1484	
16.1439	3.86505e-08	26.1484	
16.3143	3.30742e-08	26.1484	
16.4865	2.82519e-08	26.1484	
16.6605	2.40891e-08	26.1484	
16.8364	2.05022e-08	26.1484	
17.0141	1.74172e-08	26.1484	
17.1937	1.47689e-08	26.1484	
17.3751	1.24996e-08	26.1484	
17.5585	1.05589e-08	26.1484	
17.7438	8.9024e-09	26.1484	
17.9311	7.49115e-09	26.1484	
18.1204	6.29124e-09	26.1484	
18.3116	5.27304e-09	26.1484	
18.5049	4.41076e-09	26.1484	
18.7002	3.682e-09	26.1484	
18.8976	3.06735e-09	26.1484	
19.097	2.55001e-09	26.1484	
19.2986	2.11549e-09	26.1484	
19.5023	1.7513e-09	26.1484	
19.7081	1.4467e-09	26.1484	
19.9161	1.1925e-09	26.1484	
20.1263	9.80818e-10	26.1484	
20.3388	8.04932e-10	26.1484	
20.5534	6.59114e-10	26.1484	
20.7704	5.38494e-10	26.1484	
20.9896	4.38946e-10	26.1484	
21.2111	3.56977e-10	26.1484	
21.435	2.8964e-10	26.1484	
21.6612	2.34451e-10	26.1484	
21.8899	1.89328e-10	26.1484	
22.1209	1.52522e-10	26.1484	
22.3544	1.22573e-10	26.1484	
22.5903	9.82627e-11	26.1484	
22.8288	7.8579e-11	26.1484	
23.0697	6.26808e-11	26.1484	
23.3132	4.98725e-11	26.1484	
23.5592	3.958e-11	26.1484	
23.8079	3.13303e-11	26.1484	
24.0592	2.47354e-11	26.1484	
24.3131	1.94771e-11	26.1484	
24.5697	1.52957e-11	26.1484	
24.8291	1.19795e-11	26.1484	
25.0911	9.35675e-12	26.1484	
25.3559	7.28807e-12	26.1484	
25.6236	5.66096e-12	26.1484	
25.894	4.38474e-12	26.1484	
26.1484	3.44756e-12	26.1484	
26.1673	3.38657e-12	26.1484	
26.4435	2.60812e-12	26.1484	
26.7226	2.00277e-12	26.1484	
27.0046	1.53342e-12	26.1484	
27.2897	1.17057e-12	26.1484	
27.5777	8.90909e-13	26.1484	
27.8688	6.76006e-13	26.1484	
28.1629	5.11371e-13	26.1484	
28.4602	3.85635e-13	26.1484	
28.7605	2.89907e-13	26.1484	
29.0641	2.17253e-13	26.1484	
29.3709	1.62287e-13	26.1484	
29.6809	1.20837e-13	26.1484	
29.9941	8.96798e-14	26.1484	
30.3107	6.63374e-14	26.1484	
30.6306	4.89073e-14	26.1484	
30.9539	3.59356e-14	26.1484	
31.2806	2.63146e-14	26.1484	
31.6108	1.92032e-14	26.1484	
31.9444	1.3965e-14	26.1484	
32.2816	1.012e-14	26.1484	
32.6223	7.30763e-15	26.1484	
32.9666	5.25792e-15	26.1484	
33.3145	3.76942e-15	26.1484	
33.6662	2.69242e-15	26.1484	
34.0215	1.91604e-15	26.1484	
34.3806	1.35843e-15	26.1484	
34.7435	9.59461e-16	26.1484	
35.1102	6.75082e-16	26.1484	
35.4807	4.73158e-16	26.1484	
35.8552	3.30339e-16	26.1484	
36.2337	2.29721e-16	26.1484	
36.6161	1.59114e-16	26.1484	
37.0025	1.09765e-16	26.1484	
37.3931	7.5414e-17	26.1484	
37.7878	5.16001e-17	26.1484	
38.1866	3.51596e-17	26.1484	
38.5896	2.38567e-17	26.1484	
38.9969	1.61188e-17	26.1484	
39.4085	1.0844e-17	26.1484	
39.8245	7.26374e-18	26.1484	
40.2448	4.84426e-18	26.1484	
40.6696	3.2164e-18	26.1484	
41.0988	2.12603e-18	26.1484	
41.5326	1.39895e-18	26.1484	
41.971	9.16319e-19	26.1484	
42.4139	5.97426e-19	26.1484	
42.8616	3.87699e-19	26.1484	
43.314	2.50412e-19	26.1484	
43.7712	1.6097e-19	26.1484	
44.2331	1.02977e-19	26.1484	
44.7	6.55566e-20	26.1484	
45.1718	4.15296e-20	26.1484	
45.6486	2.61781e-20	26.1484	
46.1304	1.64186e-20	26.1484	
46.6172	1.02453e-20	26.1484	
47.1093	6.36041e-21	26.1484	
47.6065	3.92818e-21	26.1484	
48.109	2.41335e-21	26.1484	
48.6167	1.47486e-21	26.1484	
49.1299	8.96504e-22	26.1484	
49.6484	5.42006e-22	26.1484	
50.1724	3.25896e-22	26.1484	
50.702	1.94875e-22	26.1484	
51.2371	1.1588e-22	26.1484	
51.7779	6.85185e-23	26.1484	
52.3244	4.02838e-23	26.1484	
52.8766	2.35477e-23	26.1484	
53.4347	1.36847e-23	26.1484	
53.9987	7.90625e-24	26.1484	
54.5686	4.54068e-24	26.1484	
55.1446	2.59215e-24	26.1484	
55.7266	1.47082e-24	26.1484	
56.3148	8.29455e-25	26.1484	
56.9092	4.6487e-25	26.1484	
57.5098	2.58911e-25	26.1484	
58.1168	1.4329e-25	26.1484	
58.7302	7.87952e-26	26.1484	
59.3501	4.305e-26	26.1484	
59.9765	2.33671e-26	26.1484	
60.6095	1.26e-26	26.1484	
61.2492	6.74897e-27	26.1484	
61.8957	3.59064e-27	26.1484	
62.549	1.89733e-27	26.1484	
63.2092	9.95681e-28	26.1484	
63.8763	5.18889e-28	26.1484	
64.5505	2.68519e-28	26.1484	
65.2318	1.3797e-28	26.1484	
65.9203	7.03837e-29	26.1484	
66.616	3.56454e-29	26.1484	
67.3192	1.79204e-29	26.1484	
68.0297	8.9428e-30	26.1484	
68.7477	4.42939e-30	26.1484	
69.4733	2.17733e-30	26.1484	
70.2066	1.06213e-30	26.1484	
70.9476	5.14127e-31	26.1484	
71.6964	2.46928e-31	26.1484	
72.4531	1.17663e-31	26.1484	
73.2178	5.56216e-32	26.1484	
73.9906	2.6082e-32	26.1484	
74.7715	1.2131e-32	26.1484	
75.5607	5.59594e-33	26.1484	
76.3582	2.55999e-33	26.1484	
77.1642	1.16131e-33	26.1484	
77.9786	5.22355e-34	26.1484	
78.8016	2.32943e-34	26.1484	
79.6333	1.02982e-34	26.1484	
80.4738	4.51297e-35	26.1484	
81.3232	1.96027e-35	26.1484	
82.1815	8.43872e-36	26.1484	
83.0489	3.6e-36	26.1484	
83.9255	1.52178e-36	26.1484	
84.8113	6.37359e-37	26.1484	
85.7064	2.64463e-37	26.1484	
86.611	1.08703e-37	26.1484	
87.5252	4.42561e-38	26.1484	
88.449	1.78448e-38	26.1484	
89.3825	7.12554e-39	26.1484	
90.3259	2.8174e-39	26.1484	
91.2792	1.10296e-39	26.1484	
92.2427	4.27466e-40	26.1484	
93.2162	1.63993e-40	26.1484	
94.2001	6.22712e-41	26.1484	
95.1943	2.34012e-41	26.1484	
96.1991	8.70248e-42	26.1484	
97.2144	3.20215e-42	26.1484	
98.2405	1.1657e-42	26.1484	
99.2774	4.19783e-43	26.1484	
100.325	1.49524e-43	26.1484	
101.384	5.26746e-44	26.1484	
102.454	1.83503e-44	26.1484	
103.535	6.32088e-45	26.1484	
104.628	2.15256e-45	26.1484	
105.733	7.24642e-46	26.1484	
106.849	2.41118e-46	26.1484	
107.976	7.92926e-47	26.1484	
109.116	2.57671e-47	26.1484	
110.268	8.27319e-48	26.1484	
111.431	2.62422e-48	26.1484	
112.608	8.22229e-49	26.1484	
113.796	2.5445e-49	26.1484	
114.997	7.77621e-50	26.1484	
116.211	2.34654e-50	26.1484	
117.437	6.99074e-51	26.1484	
118.677	2.05587e-51	26.1484	
119.93	5.9674e-52	26.1484	
121.195	1.70942e-52	26.1484	
122.474	4.83179e-53	26.1484	
123.767	1.34742e-53	26.1484	
125.073	3.70656e-54	26.1484	
126.394	1.00566e-54	26.1484	
127.728	2.69084e-55	26.1484	
129.076	7.09931e-56	26.1484	
130.438	1.84656e-56	26.1484	
131.815	4.7344e-57	26.1484	
133.206	1.19634e-57	26.1484	
134.612	2.97898e-58	26.1484	
136.033	7.30889e-59	26.1484	
137.468	1.76653e-59	26.1484	
138.919	4.20542e-60	26.1484	
140.386	9.85926e-61	26.1484	
141.867	2.27592e-61	26.1484	
143.365	5.17237e-62	26.1484	
144.878	1.15708e-62	26.1484	
146.407	2.54743e-63	26.1484	
147.952	5.51858e-64	26.1484	
149.514	1.17617e-64	26.1484	
151.092	2.46577e-65	26.1484	
152.687	5.0842e-66	26.1484	
154.298	1.03081e-66	26.1484	
155.927	2.0547e-67	26.1484	
157.572	4.02577e-68	26.1484	
159.236	7.75183e-69	26.1484	
160.916	1.46674e-69	26.1484	
162.615	2.72647e-70	26.1484	
164.331	4.97809e-71	26.1484	
166.065	8.92597e-72	26.1484	
167.818	1.57143e-72	26.1484	
169.589	2.71583e-73	26.1484	
171.379	4.60693e-74	26.1484	
173.188	7.66856e-75	26.1484	
175.016	1.25234e-75	26.1484	
176.863	2.00608e-76	26.1484	
178.73	3.1514e-77	26.1484	
180.616	4.85425e-78	26.1484	
182.523	7.32993e-79	26.1484	
184.449	1.08477e-79	26.1484	
186.396	1.57304e-80	26.1484	
188.363	2.23468e-81	26.1484	
190.351	3.1094e-82	26.1484	
192.36	4.23691e-83	26.1484	
194.391	5.65208e-84	26.1484	
196.442	7.38003e-85	26.1484	
198.516	9.42974e-86	26.1484	
200.611	1.17878e-86	26.1484	
202.728	1.44141e-87	26.1484	
204.868	1.72362e-88	26.1484	
207.03	2.01503e-89	26.1484	
209.216	2.30254e-90	26.1484	
211.424	2.57107e-91	26.1484	
213.655	2.80482e-92	26.1484	
215.91	2.98876e-93	26.1484	
218.189	3.10983e-94	26.1484	
220.492	3.15888e-95	26.1484	
222.819	3.13162e-96	26.1484	
225.171	3.02924e-97	26.1484	
227.548	2.85855e-98	26.1484	
229.949	2.63068e-99	26.1484	
232.376	2.36035e-100	26.1484	
234.829	2.06422e-101	26.1484	
237.307	1.7591e-102	26.1484	
239.812	1.4604e-103	26.1484	
242.343	1.18085e-104	26.1484	
244.901	9.29638e-106	26.1484	
247.486	7.12365e-107	26.1484	
250.098	5.31176e-108	26.1484	
252.738	3.85298e-109	26.1484	
255.405	2.71823e-110	26.1484	
258.101	1.86445e-111	26.1484	
260.825	1.24295e-112	26.1484	
263.578	8.0513e-114	26.1484	
266.36	5.06587e-115	26.1484	
269.171	3.09529e-116	26.1484	
272.012	1.83606e-117	26.1484	
274.883	1.05692e-118	26.1484	
277.784	5.90249e-120	26.1484	
280.716	3.19686e-121	26.1484	
283.679	1.67867e-122	26.1484	
286.673	8.54405e-124	26.1484	
289.699	4.21345e-125	26.1484	
292.757	2.01251e-126	26.1484	
295.847	9.30711e-128	26.1484	
298.969	4.16604e-129	26.1484	
302.125	1.80439e-130	26.1484	
305.313	7.55961e-132	26.1484	
308.536	3.06228e-133	26.1484	
311.792	1.19898e-134	26.1484	
315.083	4.53574e-136	26.1484	
318.409	1.65727e-137	26.1484	
321.769	5.84697e-139	26.1484	
325.165	1.99096e-140	26.1484	
328.597	6.54067e-142	26.1484	
332.066	2.07226e-143	26.1484	
335.57	6.32937e-145	26.1484	
339.112	1.86306e-146	26.1484	
342.691	5.28298e-148	26.1484	
346.308	1.44251e-149	26.1484	
349.964	3.79117e-151	26.1484	
353.657	9.58662e-153	26.1484	
357.39	2.33142e-154	26.1484	
361.162	5.45134e-156	26.1484	
364.974	1.22488e-157	26.1484	
368.826	2.64363e-159	26.1484	
372.719	5.47829e-161	26.1484	
376.653	1.08953e-162	26.1484	
380.628	2.0788e-164	26.1484	
384.646	3.80351e-166	26.1484	
388.705	6.67013e-168	26.1484	
392.808	1.12064e-169	26.1484	
396.954	1.80297e-171	26.1484	
401.144	2.77649e-173	26.1484	
405.377	4.09106e-175	26.1484	
409.656	5.76451e-177	26.1484	
413.98	7.76372e-179	26.1484	
418.349	9.98964e-181	26.1484	
422.765	1.22742e-182	26.1484	
427.227	1.4395e-184	26.1484	
431.736	1.61061e-186	26.1484	
436.293	1.71826e-188	26.1484	
440.898	1.74701e-190	26.1484	
445.551	1.69194e-192	26.1484	
450.254	1.56004e-194	26.1484	
455.006	1.36887e-196	26.1484	
459.808	1.14235e-198	26.1484	
464.661	9.06175e-201	26.1484	
469.566	6.82924e-203	26.1484	
474.522	4.88702e-205	26.1484	
479.53	3.319e-207	26.1484	
484.591	2.13807e-209	26.1484	
489.706	1.30566e-211	26.1484	
494.875	7.55412e-214	26.1484	
500.098	4.13845e-216	26.1484	
505.376	2.14557e-218	26.1484	
510.71	1.05214e-220	26.1484	
516.101	4.8769e-223	26.1484	
521.548	2.13549e-225	26.1484	
527.053	8.82827e-228	26.1484	
532.615	3.44359e-230	26.1484	
538.237	1.26664e-232	26.1484	
543.918	4.39067e-235	26.1484	
549.659	1.43337e-237	26.1484	
555.46	4.40417e-240	26.1484	
561.323	1.27282e-242	26.1484	
567.247	3.45772e-245	26.1484	
573.234	8.82399e-248	26.1484	
579.284	2.11392e-250	26.1484	
585.399	4.75082e-253	26.1484	
591.577	1.00095e-255	26.1484	
597.821	1.97574e-258	26.1484	
604.131	3.6511e-261	26.1484	
610.507	6.31235e-264	26.1484	
616.951	1.02029e-266	26.1484	
623.462	1.54066e-269	26.1484	
630.043	2.17188e-272	26.1484	
636.693	2.85623e-275	26.1484	
643.413	3.50159e-278	26.1484	
650.204	3.99876e-281	26.1484	
657.066	4.25058e-284	26.1484	
664.001	4.20248e-287	26.1484	
671.01	3.86158e-290	26.1484	
678.092	3.29527e-293	26.1484	
685.249	2.60942e-296	26.1484	
692.481	1.91594e-299	26.1484	
699.79	1.30335e-302	26.1484	
707.176	8.20779e-306	26.1484	
714.64	4.78109e-309	26.1484	
722.183	2.57395e-312	26.1484	
729.805	1.27965e-315	26.1484	
737.508	5.82251e-319	26.1484	
745.292	0	26.1484	
753.158	0	26.1484	
761.107	0	26.1484	
769.141	0	26.1484	
777.258	0	26.1484	
785.462	0	26.1484	
793.752	0	26.1484	
802.13	0	26.1484	
810.596	0	26.1484	
819.152	0	26.1484	
827.797	0	26.1484	
836.535	0	26.1484	
845.364	0	26.1484	
854.286	0	26.1484	
863.303	0	26.1484	
872.415	0	26.1484	
881.623	0	26.1484	
890.928	0	26.1484	
900.331	0	26.1484	
909.834	0	26.1484	
919.437	0	26.1484	
929.141	0	26.1484	
938.948	0	26.1484	
948.858	0	26.1484	
958.873	0	26.1484	
968.993	0	26.1484	
979.22	0	26.1484	
989.556	0	26.1484	
1000	0	26.1484	
