Temp	x_i	v	E	GG	Gf	L1	L2	L3	L4	L5	L6	L7	L8	MB	MC	MD	ME	MM	MS	MT	MTA	MU	MZ	Mnue	Mnum	Mnut	Pi	Tcrit	Ti	Tr	WH1	WH2	WH3	WHc	WHsm	WT	WW	WZ	aEWM1	aS	alph1	alph2	alph3	m22sq	mG0	mGch	mH1	mH2	mHc	mHsm	mssq	Mnue	Mnum	Mnut	Me	MM	MTA	MU	MC	MT	MD	MS	MB	MZ	THMZ	MW	THMW	mHsm	sign_mHsmsq	THmHsm	mG0	sign_mG0sq	THmG0	mGch	sign_mGchsq	THmGch	mH1	THmH1	mH2	THmH2	mH3	THmH3	mHc	THmHc	mHm	RR1x1	RR1x2	RR1x3	RR2x1	RR2x2	RR2x3	RR3x1	RR3x2	RR3x3	alph1	alph2	alph3	yu1	yu2	yu3	yd1	yd2	yd3	yl1	yl2	yl3	
25	169.6313206042973	246.1508372409151	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.918624956697154	1.509577984677379	0.0999720519653893	0	0.1056288420617641	0.0999720519653893	172.4517896402965	1.77632341373143	0.0999720519653893	91.16211485799136	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013165726784	1.56748386698713	-0.7577077827489	404689997.5780084	93.57575091790349	83.0904738278074	4240.813528830838	20118.84360332918	20117.5688142535	126.8252851553042	17991429.4700956	0	0	0	0	0.1056288420617641	1.77632341373143	0.0999720519653893	1.509577984677379	172.4517896402965	0.0999720519653893	0.0999720519653893	4.918624956697154	91.16211485799136	91.16211485799136	80.36253397237819	80.36253397237819	126.8252851553042	1	126.8252851553042	93.57575091790349	1	93.57575091790349	83.0904738278074	1	83.0904738278074	4240.813528830838	4240.813528830838	20118.84360332918	20118.84360332918	20119.73645282144	20119.73645282144	20117.5688142535	20117.5688142535	20117.5688142535	0.002414631599383333	-0.002267576699090006	0.9999945138100274	0.9982521091232591	0.05905543268236142	-0.002276510853105903	-0.05904994653007307	0.9982521294575899	0.002406210336335442	-0.7540013165726784	1.56748386698713	-0.7577077827489	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
26	163.1070390425936	246.13774587889	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.918363363030867	1.509497698816384	0.09996673502095259	0	0.1056232242648587	0.09996673502095259	172.4426179111432	1.77622894119929	0.09996673502095259	91.15726646396614	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013215056399	1.567484043418232	-0.7577077824829311	404689997.5780084	93.7627160004332	83.30215858091276	4240.816070208739	20118.84493687244	20117.57028348369	126.9602269748379	17991429.4700956	0	0	0	0	0.1056232242648587	1.77622894119929	0.09996673502095259	1.509497698816384	172.4426179111432	0.09996673502095259	0.09996673502095259	4.918363363030867	91.15726646396614	91.15726646396614	80.35825994659272	80.35825994659272	126.9602269748379	1	126.9602269748379	93.7627160004332	1	93.7627160004332	83.30215858091276	1	83.30215858091276	4240.816070208739	4240.816070208739	20118.84493687244	20118.84493687244	20119.73769133905	20119.73769133905	20117.57028348369	20117.57028348369	20117.57028348369	0.002414502978458703	-0.002267455933811677	0.9999945143944317	0.9982521096919847	0.05905542774286772	-0.002276389599420086	-0.05904994217497957	0.9982521300241212	0.002406082175740423	-0.7540013215056399	1.567484043418232	-0.7577077824829311	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
27	157.0660375965716	246.1218841728361	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.918046411912084	1.509400423168139	0.09996029292504237	0	0.1056164176512295	0.09996029292504237	172.4315052956981	1.776114476750738	0.09996029292504237	91.15139207131594	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013274897434	1.567484257124361	-0.7577077810905046	404689997.5780084	93.95504543320681	83.5200095018394	4240.818726771996	20118.84628758379	20117.57179856813	127.098617291235	17991429.4700956	0	0	0	0	0.1056164176512295	1.776114476750738	0.09996029292504237	1.509400423168139	172.4315052956981	0.09996029292504237	0.09996029292504237	4.918046411912084	91.15139207131594	91.15139207131594	80.35308146779531	80.35308146779531	127.098617291235	1	127.098617291235	93.95504543320681	1	93.95504543320681	83.5200095018394	1	83.5200095018394	4240.818726771996	4240.818726771996	20118.84628758379	20118.84628758379	20119.73892693443	20119.73892693443	20117.57179856813	20117.57179856813	20117.57179856813	0.002414347183486957	-0.002267309654166268	0.9999945151022628	0.9982521103171731	0.05905542283621464	-0.002276242725585317	-0.0590499379761526	0.9982521306466458	0.002405926940808223	-0.7540013274897434	1.567484257124361	-0.7577077810905046	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
28	151.4565362538369	246.1034008976652	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.917677076184625	1.509287070129834	0.09995278610131353	0	0.1056084860635262	0.09995278610131353	172.4185560247658	1.775981094005359	0.09995278610131353	91.14454677892135	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013344789434	1.567484506104562	-0.7577077786563134	404689997.5780084	94.15281023964891	83.74408186486819	4240.821497493055	20118.84765778769	20117.57336028514	127.2405566606556	17991429.4700956	0	0	0	0	0.1056084860635262	1.775981094005359	0.09995278610131353	1.509287070129834	172.4185560247658	0.09995278610131353	0.09995278610131353	4.917677076184625	91.14454677892135	91.14454677892135	80.34704710754086	80.34704710754086	127.2405566606556	1	127.2405566606556	94.15281023964891	1	94.15281023964891	83.74408186486819	1	83.74408186486819	4240.821497493055	4240.821497493055	20118.84765778769	20118.84765778769	20119.74016301489	20119.74016301489	20117.57336028514	20117.57336028514	20117.57336028514	0.002414165673252482	-0.002267139229838846	0.9999945159268701	0.9982521109965726	0.05905541794726984	-0.002276071607000101	-0.05904993391180892	0.9982521313229367	0.002405746084937648	-0.7540013344789434	1.567484506104562	-0.7577077786563134	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
29	146.2338970726701	246.082223608237	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.917253908238239	1.509157195414581	0.09994418512679347	0	0.1055993984139152	0.09994418512679347	172.4037193437187	1.775828270169892	0.09994418512679347	91.13670375667992	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013424318851	1.567484791332945	-0.7577077750767012	404689997.5780084	94.35592635530928	83.97427624937748	4240.824382866053	20118.84904636559	20117.57496826018	127.3859794788736	17991429.4700956	0	0	0	0	0.1055993984139152	1.775828270169892	0.09994418512679347	1.509157195414581	172.4037193437187	0.09994418512679347	0.09994418512679347	4.917253908238239	91.13670375667992	91.13670375667992	80.34013321417292	80.34013321417292	127.3859794788736	1	127.3859794788736	94.35592635530928	1	94.35592635530928	83.97427624937748	1	83.97427624937748	4240.824382866053	4240.824382866053	20118.84904636559	20118.84904636559	20119.74139794081	20119.74139794081	20117.57496826018	20117.57496826018	20117.57496826018	0.002413957737413626	-0.002266943993869109	0.9999945168714529	0.9982521117313209	0.05905541308237845	-0.00227587557392908	-0.05904992999149401	0.998252132054121	0.002405538900402838	-0.7540013424318851	1.567484791332945	-0.7577077750767012	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
30	141.3594338369144	246.057568014678	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.916761236268641	1.50900598918001	0.09993417146887483	0	0.1055888181460308	0.09993417146887483	172.3864457838091	1.775650345493262	0.09993417146887483	91.1275725423517	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013517314852	1.567485123358577	-0.7577077700485125	404689997.5780084	94.5638165077581	84.21000292304589	4240.827388281234	20118.85044112076	20117.57661840915	127.5342885119749	17991429.4700956	0	0	0	0	0.1055888181460308	1.775650345493262	0.09993417146887483	1.50900598918001	172.3864457838091	0.09993417146887483	0.09993417146887483	4.916761236268641	91.1275725423517	91.1275725423517	80.33208373525503	80.33208373525503	127.5342885119749	1	127.5342885119749	94.5638165077581	1	94.5638165077581	84.21000292304589	1	84.21000292304589	4240.827388281234	4240.827388281234	20118.85044112076	20118.85044112076	20119.74261383374	20119.74261383374	20117.57661840915	20117.57661840915	20117.57661840915	0.002413715685788042	-0.002266716725756853	0.9999945179709104	0.9982521125332101	0.05905540832137471	-0.002275647375769116	-0.05904992632993981	0.9982521328518568	0.00240529772539706	-0.7540013517314852	1.567485123358577	-0.7577077700485125	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
31	136.7994521002398	246.0296563048603	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.916203500069032	1.508834814045577	0.09992283536725674	0	0.1055768406056695	0.09992283536725674	172.3668910085179	1.775448923372491	0.09992283536725674	91.1172354233526	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013622570649	1.567485499192877	-0.7577077636473065	404689997.5780084	94.77660354959711	84.45136880596077	4240.830512202876	20118.85184552745	20117.5783118954	127.6856402341584	17991429.4700956	0	0	0	0	0.1055768406056695	1.775448923372491	0.09992283536725674	1.508834814045577	172.3668910085179	0.09992283536725674	0.09992283536725674	4.916203500069032	91.1172354233526	91.1172354233526	80.32297120996934	80.32297120996934	127.6856402341584	1	127.6856402341584	94.77660354959711	1	94.77660354959711	84.45136880596077	1	84.45136880596077	4240.830512202876	4240.830512202876	20118.85184552745	20118.85184552745	20119.74381578638	20119.74381578638	20117.5783118954	20117.5783118954	20117.5783118954	0.002413441696993267	-0.002266459471052697	0.9999945192153014	0.9982521133989248	0.05905540364078745	-0.002275389066607683	-0.05904992289373443	0.998252133712866	0.002405024730490807	-0.7540013622570649	1.567485499192877	-0.7577077636473065	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
32	132.5244692221073	245.9979549263551	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.915570038110401	1.508640397875346	0.09990996012419513	0	0.105563236833524	0.09990996012419513	172.3446812142366	1.775220153478724	0.09990996012419513	91.10549479821054	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013741914087	1.567485926012081	-0.757707755589562	404689997.5780084	94.99388751223334	84.69796128456665	4240.833758292579	20118.8532513001	20117.58004594449	127.8396271672275	17991429.4700956	0	0	0	0	0.105563236833524	1.775220153478724	0.09990996012419513	1.508640397875346	172.3446812142366	0.09990996012419513	0.09990996012419513	4.915570038110401	91.10549479821054	91.10549479821054	80.31262144583425	80.31262144583425	127.8396271672275	1	127.8396271672275	94.99388751223334	1	94.99388751223334	84.69796128456665	1	84.69796128456665	4240.833758292579	4240.833758292579	20118.8532513001	20118.8532513001	20119.74499165346	20119.74499165346	20117.58004594449	20117.58004594449	20117.58004594449	0.002413130539396995	-0.002266167317645207	0.9999945206283325	0.998252114336492	0.05905539909454835	-0.002275095713859436	-0.05904991976051646	0.9982521346450864	0.002404714703350916	-0.7540013741914087	1.567485926012081	-0.757707755589562	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
33	128.5085762153768	245.9616842287676	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.914845271295262	1.508417959279644	0.09989522909136712	0	0.1055476722641328	0.09989522909136712	172.3192701826083	1.774958409541229	0.09989522909136712	91.0920619229195	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.7540013878617272	1.56748641430268	-0.7577077455227625	404689997.5780084	95.21510246215276	84.94920390960608	4240.837131901245	20118.8546463309	20117.58181650211	127.9956608438763	17991429.4700956	0	0	0	0	0.1055476722641328	1.774958409541229	0.09989522909136712	1.508417959279644	172.3192701826083	0.09989522909136712	0.09989522909136712	4.914845271295262	91.0920619229195	91.0920619229195	80.30077990509547	80.30077990509547	127.9956608438763	1	127.9956608438763	95.21510246215276	1	95.21510246215276	84.94920390960608	1	84.94920390960608	4240.837131901245	4240.837131901245	20118.8546463309	20118.8546463309	20119.74612368684	20119.74612368684	20117.58181650211	20117.58181650211	20117.58181650211	0.002412774568304057	-0.002265833087737335	0.9999945222446479	0.9982521153577119	0.05905539476031342	-0.00227476010981286	-0.0590499170425852	0.9982521356601857	0.002404360027480131	-0.7540013878617272	1.56748641430268	-0.7577077455227625	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
34	124.7289122090422	245.9216076909965	2.71828	1.21358	1.16637e-05	0.2581069881028696	2.904849808387139	0.8522600447131863	2.216012927427159	-0.5932070904331004	1.07217104143127	-0.09706971697984421	1.738878697622312	4.914044455579709	1.508172180472635	0.09987895234918109	0	0.1055304745234057	0.09987895234918109	172.2911928023374	1.774669201130719	0.09987895234918109	91.07721955236185	0	0	0	3.14159	164.9179484739133	-3563.434717649763	-3794.174885847564	0	1	1	1	1	2	2.085	2.4952	0.00775795	0.1172	-0.754001402900177	1.567486953795547	-0.7577077337474089	404689997.5780084	95.44074616074207	85.20557617064797	4240.840627765509	20118.85604252833	20117.5836275558	128.1543025105308	17991429.4700956	0	0	0	0	0.1055304745234057	1.774669201130719	0.09987895234918109	1.508172180472635	172.2911928023374	0.09987895234918109	0.09987895234918109	4.914044455579709	91.07721955236185	91.07721955236185	80.28769584588922	80.28769584588922	128.1543025105308	1	128.1543025105308	95.44074616074207	1	95.44074616074207	85.20557617064797	1	85.20557617064797	4240.840627765509	4240.840627765509	20118.85604252833	20118.85604252833	20119.74722934249	20119.74722934249	20117.5836275558	20117.5836275558	20117.5836275558	0.002412381269840537	-0.002265463810224283	0.9999945240301733	0.998252116450981	0.05905539056166789	-0.002274389312676144	-0.05904991462945287	0.9982521367466907	0.00240396816137358	-0.754001402900177	1.567486953795547	-0.7577077337474089	0.0005743707124154399	0.008672997757473145	0.9907894789166338	0.0005743707124154399	0.0005743707124154399	0.02825903905083964	0	0.0006068707411111021	0.01020553369234002	
