x	tac	
5	1.04251e-09	
5.95	1.12919e-09	
6.9	1.19831e-09	
7.85	1.25464e-09	
8.8	1.30137e-09	
9.75	1.34075e-09	
10.7	1.37436e-09	
11.65	1.40338e-09	
12.6	1.42868e-09	
13.55	1.45093e-09	
14.5	1.47065e-09	
15.45	1.48825e-09	
16.4	1.50405e-09	
17.35	1.51831e-09	
18.3	1.53124e-09	
19.25	1.54303e-09	
20.2	1.55381e-09	
21.15	1.56371e-09	
22.1	1.57284e-09	
23.05	1.58128e-09	
24	1.5891e-09	
24.95	1.59638e-09	
25.9	1.60316e-09	
26.85	1.60949e-09	
27.8	1.61543e-09	
28.75	1.621e-09	
29.7	1.62623e-09	
30.65	1.63116e-09	
31.6	1.63582e-09	
32.55	1.64021e-09	
33.5	1.64438e-09	
34.45	1.64832e-09	
35.4	1.65207e-09	
36.35	1.65563e-09	
37.3	1.65902e-09	
38.25	1.66225e-09	
39.2	1.66533e-09	
40.15	1.66827e-09	
41.1	1.67109e-09	
42.05	1.67378e-09	
43	1.67636e-09	
43.95	1.67883e-09	
44.9	1.6812e-09	
45.85	1.68348e-09	
46.8	1.68567e-09	
47.75	1.68777e-09	
48.7	1.6898e-09	
49.65	1.69175e-09	
50.6	1.69363e-09	
51.55	1.69545e-09	
52.5	1.6972e-09	
53.45	1.69889e-09	
54.4	1.70053e-09	
55.35	1.70211e-09	
56.3	1.70364e-09	
57.25	1.70512e-09	
58.2	1.70655e-09	
59.15	1.70794e-09	
60.1	1.70929e-09	
61.05	1.71059e-09	
62	1.71186e-09	
62.95	1.71309e-09	
63.9	1.71428e-09	
64.85	1.71545e-09	
65.8	1.71657e-09	
66.75	1.71767e-09	
67.7	1.71874e-09	
68.65	1.71978e-09	
69.6	1.72079e-09	
70.55	1.72177e-09	
71.5	1.72273e-09	
72.45	1.72367e-09	
73.4	1.72458e-09	
74.35	1.72547e-09	
75.3	1.72633e-09	
76.25	1.72718e-09	
77.2	1.728e-09	
78.15	1.72881e-09	
79.1	1.7296e-09	
80.05	1.73037e-09	
81	1.73112e-09	
81.95	1.73185e-09	
82.9	1.73257e-09	
83.85	1.73327e-09	
84.8	1.73396e-09	
85.75	1.73463e-09	
86.7	1.73529e-09	
87.65	1.73593e-09	
88.6	1.73656e-09	
89.55	1.73718e-09	
90.5	1.73778e-09	
91.45	1.73837e-09	
92.4	1.73895e-09	
93.35	1.73952e-09	
94.3	1.74008e-09	
95.25	1.74062e-09	
96.2	1.74116e-09	
97.15	1.74169e-09	
98.1	1.7422e-09	
99.05	1.74271e-09	
