x	tac	
32	3.39659e-10	
32.02	3.39677e-10	
32.04	3.39696e-10	
32.06	3.39715e-10	
32.08	3.39733e-10	
32.1	3.39751e-10	
32.12	3.3977e-10	
32.14	3.39788e-10	
32.16	3.39806e-10	
32.18	3.39824e-10	
32.2	3.39842e-10	
32.22	3.39861e-10	
32.24	3.39879e-10	
32.26	3.39898e-10	
32.28	3.39916e-10	
32.3	3.39934e-10	
32.32	3.39952e-10	
32.34	3.3997e-10	
32.36	3.39988e-10	
32.38	3.40006e-10	
32.4	3.40024e-10	
32.42	3.40042e-10	
32.44	3.4006e-10	
32.46	3.40078e-10	
32.48	3.40096e-10	
32.5	3.40114e-10	
32.52	3.40132e-10	
32.54	3.4015e-10	
32.56	3.40168e-10	
32.58	3.40185e-10	
32.6	3.40203e-10	
32.62	3.40222e-10	
32.64	3.40239e-10	
32.66	3.40257e-10	
32.68	3.40275e-10	
32.7	3.40292e-10	
32.72	3.4031e-10	
32.74	3.40328e-10	
32.76	3.40345e-10	
32.78	3.40363e-10	
32.8	3.4038e-10	
32.82	3.40399e-10	
32.84	3.40416e-10	
32.86	3.40434e-10	
32.88	3.40451e-10	
32.9	3.40469e-10	
32.92	3.40486e-10	
32.94	3.14921e-07	
32.96	3.14938e-07	
32.98	3.14955e-07	
33	5.51039e-08	
33.02	5.51069e-08	
33.04	5.51098e-08	
33.06	5.51127e-08	
33.08	5.51157e-08	
33.1	5.51186e-08	
33.12	5.51215e-08	
33.14	5.51245e-08	
33.16	5.51274e-08	
33.18	5.51303e-08	
33.2	5.51332e-08	
33.22	2.47381e-08	
33.24	2.47394e-08	
33.26	2.47407e-08	
33.28	2.4742e-08	
33.3	2.47433e-08	
33.32	2.47446e-08	
33.34	2.47459e-08	
33.36	2.47472e-08	
33.38	2.47485e-08	
33.4	2.47498e-08	
33.42	1.45783e-08	
33.44	1.45791e-08	
33.46	1.45799e-08	
33.48	1.45806e-08	
33.5	1.45814e-08	
33.52	1.45821e-08	
33.54	1.45829e-08	
33.56	1.45836e-08	
33.58	1.45844e-08	
33.6	1.45852e-08	
33.62	9.83991e-09	
33.64	9.84042e-09	
33.66	9.84092e-09	
33.68	9.84143e-09	
33.7	9.84194e-09	
33.72	9.84244e-09	
33.74	9.84295e-09	
33.76	9.84345e-09	
33.78	9.84396e-09	
33.8	9.84446e-09	
33.82	7.21293e-09	
33.84	7.2133e-09	
33.86	7.21366e-09	
33.88	7.21403e-09	
33.9	7.2144e-09	
33.92	7.21477e-09	
33.94	7.21513e-09	
33.96	7.2155e-09	
33.98	7.21586e-09	
