x	tac	
10	1.55244e-13	
10.1158	1.55967e-13	
10.2329	1.56687e-13	
10.3514	1.57404e-13	
10.4713	1.58117e-13	
10.5925	1.58826e-13	
10.7152	1.59532e-13	
10.8393	1.60235e-13	
10.9648	1.60934e-13	
11.0917	1.6163e-13	
11.2202	1.62322e-13	
11.3501	1.63011e-13	
11.4815	1.63696e-13	
11.6145	1.64377e-13	
11.749	1.65055e-13	
11.885	1.65729e-13	
12.0226	1.66399e-13	
12.1619	1.67066e-13	
12.3027	1.67729e-13	
12.4451	1.68388e-13	
12.5893	1.69043e-13	
12.735	1.69695e-13	
12.8825	1.70343e-13	
13.0317	1.70987e-13	
13.1826	1.71627e-13	
13.3352	1.72263e-13	
13.4896	1.72896e-13	
13.6458	1.73524e-13	
13.8038	1.74149e-13	
13.9637	1.7477e-13	
14.1254	1.75387e-13	
14.2889	1.76e-13	
14.4544	1.76609e-13	
14.6218	1.77215e-13	
14.7911	1.77816e-13	
14.9624	1.78414e-13	
15.1356	1.79007e-13	
15.3109	1.79597e-13	
15.4882	1.80183e-13	
15.6675	1.80764e-13	
15.8489	1.81342e-13	
16.0325	1.81916e-13	
16.2181	1.82486e-13	
16.4059	1.83052e-13	
16.5959	1.83614e-13	
16.788	1.84173e-13	
16.9824	1.84727e-13	
17.1791	1.85277e-13	
17.378	1.85824e-13	
17.5792	1.86366e-13	
17.7828	1.86905e-13	
17.9887	1.87439e-13	
18.197	1.8797e-13	
18.4077	1.88497e-13	
18.6209	1.8902e-13	
18.8365	1.89539e-13	
19.0546	1.90054e-13	
19.2752	1.90565e-13	
19.4984	1.91073e-13	
19.7242	1.91576e-13	
19.9526	1.92076e-13	
20.1837	1.92572e-13	
20.4174	1.93064e-13	
20.6538	1.93552e-13	
20.893	1.94037e-13	
21.1349	1.94518e-13	
21.3796	1.94994e-13	
21.6272	1.95467e-13	
21.8776	1.95937e-13	
22.1309	1.96402e-13	
22.3872	1.96864e-13	
22.6464	1.97322e-13	
22.9087	1.97777e-13	
23.1739	1.98228e-13	
23.4423	1.98675e-13	
23.7137	1.99118e-13	
23.9883	1.99558e-13	
24.2661	1.99994e-13	
24.5471	2.00426e-13	
24.8313	2.00855e-13	
25.1189	2.0128e-13	
25.4097	2.01702e-13	
25.704	2.0212e-13	
26.0016	2.02535e-13	
26.3027	2.02946e-13	
26.6073	2.03354e-13	
26.9153	2.03758e-13	
27.227	2.04158e-13	
27.5423	2.04555e-13	
27.8612	2.04949e-13	
28.1838	2.05339e-13	
28.5102	2.05726e-13	
28.8403	2.0611e-13	
29.1743	2.0649e-13	
29.5121	2.06867e-13	
29.8538	2.0724e-13	
30.1995	2.07611e-13	
30.5492	2.07978e-13	
30.903	2.08341e-13	
31.2608	2.08702e-13	
31.6228	2.09059e-13	
31.989	2.09413e-13	
32.3594	2.09763e-13	
32.7341	2.10111e-13	
33.1131	2.10455e-13	
33.4965	2.10797e-13	
33.8844	2.11135e-13	
34.2768	2.1147e-13	
34.6737	2.11802e-13	
35.0752	2.12131e-13	
35.4813	2.12457e-13	
35.8922	2.1278e-13	
36.3078	2.131e-13	
36.7282	2.13417e-13	
37.1535	2.1373e-13	
37.5837	2.14042e-13	
38.0189	2.1435e-13	
38.4592	2.14655e-13	
38.9045	2.14957e-13	
39.355	2.15257e-13	
39.8107	2.15554e-13	
40.2717	2.15847e-13	
40.738	2.16139e-13	
41.2098	2.16427e-13	
41.6869	2.16712e-13	
42.1697	2.16995e-13	
42.658	2.17275e-13	
43.1519	2.17553e-13	
43.6516	2.17828e-13	
44.157	2.181e-13	
44.6684	2.18369e-13	
45.1856	2.18636e-13	
45.7088	2.189e-13	
46.2381	2.19162e-13	
46.7735	2.19421e-13	
47.3151	2.19678e-13	
47.863	2.19932e-13	
48.4172	2.20184e-13	
48.9779	2.20433e-13	
49.545	2.2068e-13	
50.1187	2.20924e-13	
50.6991	2.21166e-13	
51.2861	2.21405e-13	
51.88	2.21641e-13	
52.4807	2.21875e-13	
53.0884	2.22107e-13	
53.7032	2.22337e-13	
54.325	2.22564e-13	
54.9541	2.22789e-13	
55.5904	2.23012e-13	
56.2341	2.23232e-13	
56.8853	2.23451e-13	
57.544	2.23667e-13	
58.2103	2.23881e-13	
58.8844	2.24093e-13	
59.5662	2.24303e-13	
60.256	2.2451e-13	
60.9537	2.24716e-13	
61.6595	2.24919e-13	
62.3735	2.2512e-13	
63.0957	2.2532e-13	
63.8263	2.25517e-13	
64.5654	2.25712e-13	
65.3131	2.25906e-13	
66.0693	2.26097e-13	
66.8344	2.26286e-13	
67.6083	2.26474e-13	
68.3912	2.26659e-13	
69.1831	2.26843e-13	
69.9842	2.27025e-13	
70.7946	2.27204e-13	
71.6143	2.27382e-13	
72.4436	2.27559e-13	
73.2825	2.27733e-13	
74.131	2.27905e-13	
74.9894	2.28076e-13	
75.8578	2.28245e-13	
76.7361	2.28412e-13	
77.6247	2.28578e-13	
78.5236	2.28742e-13	
79.4328	2.28904e-13	
80.3526	2.29064e-13	
81.2831	2.29223e-13	
82.2243	2.2938e-13	
83.1764	2.29535e-13	
84.1395	1.84642e-10	
85.1138	1.84285e-10	
86.0994	1.8427e-10	
87.0964	1.84435e-10	
88.1049	1.8455e-10	
89.1251	1.84707e-10	
90.1571	1.84877e-10	
91.2011	1.85076e-10	
92.2571	1.85266e-10	
93.3254	1.85456e-10	
94.4061	1.85645e-10	
95.4993	1.85837e-10	
96.6051	1.86001e-10	
97.7237	1.86183e-10	
98.8553	1.86383e-10	
100	1.8659e-10	
101.158	1.86723e-10	
102.329	1.86944e-10	
103.514	1.87142e-10	
104.713	1.87304e-10	
105.925	1.87517e-10	
107.152	1.87711e-10	
108.393	1.87874e-10	
109.648	1.88084e-10	
110.917	1.88287e-10	
112.202	1.88444e-10	
113.501	1.88657e-10	
114.815	1.88815e-10	
116.145	1.89027e-10	
117.49	1.89184e-10	
118.85	1.89396e-10	
120.226	1.89559e-10	
121.619	1.8972e-10	
123.027	1.89933e-10	
124.451	1.90088e-10	
125.893	1.90311e-10	
127.35	1.90475e-10	
128.825	1.90638e-10	
130.317	1.90845e-10	
131.826	1.91016e-10	
133.352	1.91191e-10	
134.896	1.91394e-10	
136.458	1.91567e-10	
138.038	1.91736e-10	
139.637	1.91917e-10	
141.254	1.92128e-10	
142.889	1.923e-10	
144.544	1.92473e-10	
146.218	1.92652e-10	
147.911	1.92865e-10	
149.624	1.93037e-10	
151.356	1.93213e-10	
153.109	1.93389e-10	
154.882	1.93567e-10	
156.675	1.93748e-10	
158.489	1.93928e-10	
160.325	1.94114e-10	
162.181	1.94289e-10	
164.059	1.945e-10	
165.959	1.94687e-10	
167.88	1.94869e-10	
169.824	1.95057e-10	
171.791	1.95245e-10	
173.78	1.95422e-10	
175.792	1.95613e-10	
177.828	1.95807e-10	
179.887	1.95993e-10	
181.97	1.96187e-10	
184.077	1.96372e-10	
186.209	1.96533e-10	
188.365	1.96733e-10	
190.546	1.96921e-10	
192.752	1.9712e-10	
194.984	1.97309e-10	
197.242	1.97513e-10	
199.526	1.97709e-10	
201.837	1.97911e-10	
204.174	1.98115e-10	
206.538	1.9829e-10	
208.93	1.98489e-10	
211.349	1.98702e-10	
213.796	1.98901e-10	
216.272	1.99105e-10	
218.776	1.99311e-10	
221.309	1.99497e-10	
223.872	1.99714e-10	
226.464	1.99922e-10	
229.087	2.00139e-10	
231.739	2.00331e-10	
234.423	2.00545e-10	
237.137	2.00764e-10	
239.883	2.00985e-10	
242.661	2.01185e-10	
245.471	2.01404e-10	
248.313	2.01633e-10	
251.189	2.01839e-10	
254.097	2.02068e-10	
257.04	2.02294e-10	
260.016	2.02507e-10	
263.027	2.02737e-10	
266.073	2.0297e-10	
269.153	2.0319e-10	
272.27	2.03424e-10	
275.423	2.03665e-10	
278.612	2.03892e-10	
281.838	2.04135e-10	
285.102	2.04378e-10	
288.403	2.04611e-10	
291.743	2.0486e-10	
295.121	2.05098e-10	
298.538	2.05351e-10	
301.995	2.05607e-10	
305.492	2.05853e-10	
309.03	2.06108e-10	
312.608	2.06359e-10	
316.228	2.06623e-10	
319.89	2.06879e-10	
323.594	2.07152e-10	
327.341	2.07414e-10	
331.131	2.07681e-10	
334.965	2.07948e-10	
338.844	2.08232e-10	
342.768	2.08505e-10	
346.737	2.08778e-10	
350.752	2.09058e-10	
354.813	2.0935e-10	
358.922	2.09635e-10	
363.078	2.09928e-10	
367.282	2.1022e-10	
371.535	2.10516e-10	
375.837	2.10814e-10	
380.189	2.11124e-10	
384.592	2.11429e-10	
389.045	2.11736e-10	
393.55	2.12047e-10	
398.107	2.1236e-10	
402.717	2.12678e-10	
407.38	2.13001e-10	
412.098	2.13327e-10	
416.869	2.13656e-10	
