x	tac	
15	1.71619e-13	
16.3143	1.75183e-13	
17.7438	1.78561e-13	
19.2986	1.81756e-13	
20.9896	1.8476e-13	
22.8288	1.87582e-13	
24.8291	1.90236e-13	
27.0046	1.92728e-13	
29.3709	1.95065e-13	
31.9444	1.97253e-13	
34.7435	1.99298e-13	
37.7878	2.01208e-13	
41.0988	2.02989e-13	
44.7	2.04647e-13	
48.6167	2.06191e-13	
52.8766	2.07626e-13	
57.5098	2.0896e-13	
62.549	2.10197e-13	
68.0297	2.11345e-13	
73.9906	2.12409e-13	
80.4738	2.13394e-13	
87.5252	2.13956e-13	
95.1943	2.14764e-13	
103.535	2.15522e-13	
112.608	2.1623e-13	
122.474	2.16894e-13	
133.206	2.17509e-13	
144.878	2.18081e-13	
157.572	2.1861e-13	
171.379	2.19102e-13	
186.396	2.19554e-13	
202.728	2.19972e-13	
220.492	2.20355e-13	
239.812	2.20705e-13	
260.825	2.21023e-13	
283.679	2.21311e-13	
308.536	2.21566e-13	
335.57	2.21792e-13	
364.974	2.21986e-13	
396.954	2.22147e-13	
431.736	2.22275e-13	
469.566	2.22366e-13	
510.71	2.22417e-13	
555.46	2.22425e-13	
604.131	2.22383e-13	
657.066	2.22286e-13	
714.64	2.22125e-13	
777.258	2.21892e-13	
845.364	2.21575e-13	
919.437	2.21159e-13	
1000	2.20629e-13	
