x	tac	
15	4.43686e-11	
16.3143	4.50447e-11	
17.7438	4.56787e-11	
19.2986	4.62723e-11	
20.9896	4.68253e-11	
22.8288	4.73404e-11	
24.8291	4.7821e-11	
27.0046	4.8269e-11	
29.3709	4.8686e-11	
31.9444	4.9074e-11	
34.7435	4.94344e-11	
37.7878	4.97691e-11	
41.0988	5.00796e-11	
44.7	5.03674e-11	
48.6167	5.06341e-11	
52.8766	5.08811e-11	
57.5098	5.11096e-11	
62.549	5.13209e-11	
68.0297	5.15163e-11	
73.9906	5.16969e-11	
80.4738	5.18637e-11	
87.5252	0	
95.1943	0	
103.535	0	
112.608	0	
122.474	0	
133.206	0	
144.878	0	
157.572	0	
171.379	0	
186.396	0	
202.728	0	
220.492	0	
239.812	0	
260.825	0	
283.679	0	
308.536	0	
335.57	0	
364.974	0	
396.954	0	
431.736	0	
469.566	0	
510.71	0	
555.46	0	
604.131	0	
657.066	0	
714.64	0	
777.258	0	
845.364	0	
919.437	0	
1000	0	
