x	tac	
15	0	
16.3143	0	
17.7438	0	
19.2986	0	
20.9896	0	
22.8288	0	
24.8291	0	
27.0046	0	
29.3709	0	
31.9444	0	
34.7435	0	
37.7878	0	
41.0988	0	
44.7	0	
48.6167	0	
52.8766	0	
57.5098	0	
62.549	0	
68.0297	0	
73.9906	0	
80.4738	0	
87.5252	0	
95.1943	0	
103.535	0	
112.608	0	
122.474	0	
133.206	0	
144.878	0	
157.572	0	
171.379	0	
186.396	0	
202.728	0	
220.492	0	
239.812	0	
260.825	0	
283.679	0	
308.536	0	
335.57	0	
364.974	0	
396.954	0	
431.736	0	
469.566	0	
510.71	0	
555.46	0	
604.131	0	
657.066	0	
714.64	0	
777.258	0	
845.364	0	
919.437	0	
1000	0	
