x	tac	
15	7.11863e-14	
16.3143	7.11883e-14	
17.7438	7.11586e-14	
19.2986	7.11025e-14	
20.9896	7.10195e-14	
22.8288	7.09167e-14	
24.8291	7.08016e-14	
27.0046	7.06775e-14	
29.3709	7.0547e-14	
31.9444	7.04126e-14	
34.7435	7.02762e-14	
37.7878	7.01396e-14	
41.0988	7.00041e-14	
44.7	6.98709e-14	
48.6167	6.97409e-14	
52.8766	6.96148e-14	
57.5098	6.94932e-14	
62.549	6.93764e-14	
68.0297	6.92648e-14	
73.9906	6.91585e-14	
80.4738	6.90576e-14	
87.5252	5.19334e-11	
95.1943	5.19325e-11	
103.535	5.2001e-11	
112.608	5.20812e-11	
122.474	5.21653e-11	
133.206	5.22437e-11	
144.878	5.23184e-11	
157.572	5.23883e-11	
171.379	5.24565e-11	
186.396	5.2517e-11	
202.728	5.25743e-11	
220.492	5.26249e-11	
239.812	5.26743e-11	
260.825	5.27137e-11	
283.679	5.27532e-11	
308.536	5.27881e-11	
335.57	5.28125e-11	
364.974	5.28364e-11	
396.954	5.28545e-11	
431.736	5.28669e-11	
469.566	5.28715e-11	
510.71	5.28656e-11	
555.46	5.28528e-11	
604.131	5.28294e-11	
657.066	5.27975e-11	
714.64	5.27473e-11	
777.258	5.26818e-11	
845.364	5.25947e-11	
919.437	5.24908e-11	
1000	5.23556e-11	
