x	tac	
15	6.15303e-17	
16.3143	5.78499e-17	
17.7438	5.42988e-17	
19.2986	5.08867e-17	
20.9896	4.76152e-17	
22.8288	4.4492e-17	
24.8291	4.15229e-17	
27.0046	3.8708e-17	
29.3709	3.60458e-17	
31.9444	3.3534e-17	
34.7435	3.1169e-17	
37.7878	2.89464e-17	
41.0988	2.68615e-17	
44.7	2.49088e-17	
48.6167	2.30828e-17	
52.8766	2.13774e-17	
57.5098	1.97868e-17	
62.549	1.8305e-17	
68.0297	1.69259e-17	
73.9906	1.56437e-17	
80.4738	1.44527e-17	
87.5252	1.62611e-17	
95.1943	1.91313e-17	
103.535	2.12004e-17	
112.608	2.2698e-17	
122.474	2.35969e-17	
133.206	2.43211e-17	
144.878	2.47661e-17	
157.572	2.50887e-17	
171.379	2.51384e-17	
186.396	2.51998e-17	
202.728	2.50797e-17	
220.492	2.49323e-17	
239.812	2.47586e-17	
260.825	2.45354e-17	
283.679	2.42858e-17	
308.536	2.40555e-17	
335.57	2.38113e-17	
364.974	2.35663e-17	
396.954	2.3337e-17	
431.736	2.31127e-17	
469.566	2.28986e-17	
510.71	2.26964e-17	
555.46	2.25044e-17	
604.131	2.23206e-17	
657.066	2.21459e-17	
714.64	2.19797e-17	
777.258	2.18167e-17	
845.364	2.1657e-17	
919.437	2.14996e-17	
1000	2.13412e-17	
