x	tac	
15	1.85634e-15	
16.3143	1.7453e-15	
17.7438	1.63817e-15	
19.2986	1.53523e-15	
20.9896	1.43653e-15	
22.8288	1.3423e-15	
24.8291	1.25273e-15	
27.0046	1.1678e-15	
29.3709	1.08749e-15	
31.9444	1.01171e-15	
34.7435	9.40355e-16	
37.7878	8.73302e-16	
41.0988	8.104e-16	
44.7	7.51488e-16	
48.6167	6.96397e-16	
52.8766	6.44947e-16	
57.5098	5.9696e-16	
62.549	5.52253e-16	
68.0297	5.10647e-16	
73.9906	4.71965e-16	
80.4738	4.36033e-16	
87.5252	4.04115e-16	
95.1943	3.75121e-16	
103.535	3.47982e-16	
112.608	3.22655e-16	
122.474	2.9898e-16	
133.206	2.77031e-16	
144.878	2.56627e-16	
157.572	2.37727e-16	
171.379	2.20141e-16	
186.396	2.03908e-16	
202.728	1.88831e-16	
220.492	1.74897e-16	
239.812	1.6202e-16	
260.825	1.50109e-16	
283.679	1.391e-16	
308.536	1.28948e-16	
335.57	1.19571e-16	
364.974	1.10916e-16	
396.954	1.02936e-16	
431.736	9.55734e-17	
469.566	8.87836e-17	
510.71	8.25226e-17	
555.46	7.67487e-17	
604.131	7.14227e-17	
657.066	6.65105e-17	
714.64	6.19783e-17	
777.258	5.77933e-17	
845.364	5.39283e-17	
919.437	5.03568e-17	
1000	4.70529e-17	
