x	tac	
15	5.03996e-11	
16.3143	5.11679e-11	
17.7438	5.18883e-11	
19.2986	5.25628e-11	
20.9896	5.31911e-11	
22.8288	5.37764e-11	
24.8291	5.43225e-11	
27.0046	5.48315e-11	
29.3709	5.53054e-11	
31.9444	5.57462e-11	
34.7435	5.61558e-11	
37.7878	5.65361e-11	
41.0988	5.68889e-11	
44.7	5.7216e-11	
48.6167	5.7519e-11	
52.8766	5.77996e-11	
57.5098	5.80592e-11	
62.549	5.82994e-11	
68.0297	5.85214e-11	
73.9906	5.87266e-11	
80.4738	5.89161e-11	
87.5252	0	
95.1943	0	
103.535	0	
112.608	0	
122.474	0	
133.206	0	
144.878	0	
157.572	0	
171.379	0	
186.396	0	
202.728	0	
220.492	0	
239.812	0	
260.825	0	
283.679	0	
308.536	0	
335.57	0	
364.974	0	
396.954	0	
431.736	0	
469.566	0	
510.71	0	
555.46	0	
604.131	0	
657.066	0	
714.64	0	
777.258	0	
845.364	0	
919.437	0	
1000	0	
