x	tac	
15	0	
16.3143	0	
17.7438	0	
19.2986	0	
20.9896	0	
22.8288	0	
24.8291	0	
27.0046	0	
29.3709	0	
31.9444	0	
34.7435	0	
37.7878	0	
41.0988	0	
44.7	0	
48.6167	0	
52.8766	0	
57.5098	0	
62.549	0	
68.0297	0	
73.9906	0	
80.4738	0	
87.5252	5.84299e-11	
95.1943	5.85392e-11	
103.535	5.86482e-11	
112.608	5.87547e-11	
122.474	5.88596e-11	
133.206	5.89579e-11	
144.878	5.90516e-11	
157.572	5.9139e-11	
171.379	5.92228e-11	
186.396	5.92992e-11	
202.728	5.93716e-11	
220.492	5.94379e-11	
239.812	5.94984e-11	
260.825	5.95536e-11	
283.679	5.96032e-11	
308.536	5.96463e-11	
335.57	5.96838e-11	
364.974	5.97146e-11	
396.954	5.97383e-11	
431.736	5.97545e-11	
469.566	5.97625e-11	
510.71	5.97611e-11	
555.46	5.97491e-11	
604.131	5.97251e-11	
657.066	5.96871e-11	
714.64	5.96332e-11	
777.258	5.95605e-11	
845.364	5.94665e-11	
919.437	5.93462e-11	
1000	5.91965e-11	
