x	tac	
15	3.65414e-14	
16.3143	3.43556e-14	
17.7438	3.22467e-14	
19.2986	3.02203e-14	
20.9896	2.82775e-14	
22.8288	2.64227e-14	
24.8291	2.46594e-14	
27.0046	2.29877e-14	
29.3709	2.14067e-14	
31.9444	1.9915e-14	
34.7435	1.85105e-14	
37.7878	1.71906e-14	
41.0988	1.59524e-14	
44.7	1.47927e-14	
48.6167	1.37083e-14	
52.8766	1.26955e-14	
57.5098	1.17509e-14	
62.549	1.08709e-14	
68.0297	1.00519e-14	
73.9906	9.29043e-15	
80.4738	8.58313e-15	
87.5252	9.65835e-15	
95.1943	1.13646e-14	
103.535	1.25947e-14	
112.608	1.34851e-14	
122.474	1.40197e-14	
133.206	1.44504e-14	
144.878	1.47151e-14	
157.572	1.49071e-14	
171.379	1.49369e-14	
186.396	1.49736e-14	
202.728	1.49024e-14	
220.492	1.48151e-14	
239.812	1.4712e-14	
260.825	1.45796e-14	
283.679	1.44313e-14	
308.536	1.42946e-14	
335.57	1.41496e-14	
364.974	1.40042e-14	
396.954	1.3868e-14	
431.736	1.37348e-14	
469.566	1.36077e-14	
510.71	1.34876e-14	
555.46	1.33736e-14	
604.131	1.32644e-14	
657.066	1.31607e-14	
714.64	1.3062e-14	
777.258	1.29652e-14	
845.364	1.28703e-14	
919.437	1.27769e-14	
1000	1.26828e-14	
