x	tac	
15	2.71979e-18	
16.3143	2.55711e-18	
17.7438	2.40014e-18	
19.2986	2.24932e-18	
20.9896	2.10471e-18	
22.8288	1.96666e-18	
24.8291	1.83542e-18	
27.0046	1.71099e-18	
29.3709	1.59332e-18	
31.9444	1.48229e-18	
34.7435	1.37775e-18	
37.7878	1.27951e-18	
41.0988	1.18735e-18	
44.7	1.10103e-18	
48.6167	1.02032e-18	
52.8766	9.44935e-19	
57.5098	8.74627e-19	
62.549	8.09126e-19	
68.0297	7.48167e-19	
73.9906	6.91492e-19	
80.4738	6.38847e-19	
87.5252	5.92182e-19	
95.1943	5.49834e-19	
103.535	5.10175e-19	
112.608	4.73151e-19	
122.474	4.38524e-19	
133.206	4.06417e-19	
144.878	3.76563e-19	
157.572	3.48905e-19	
171.379	3.23163e-19	
186.396	2.99401e-19	
202.728	2.77327e-19	
220.492	2.56923e-19	
239.812	2.38067e-19	
260.825	2.20622e-19	
283.679	2.04498e-19	
308.536	1.89628e-19	
335.57	1.75892e-19	
364.974	1.63214e-19	
396.954	1.51523e-19	
431.736	1.40738e-19	
469.566	1.30791e-19	
510.71	1.21618e-19	
555.46	1.13159e-19	
604.131	1.05356e-19	
657.066	9.81586e-20	
714.64	9.1518e-20	
777.258	8.53859e-20	
845.364	7.97223e-20	
919.437	7.44884e-20	
1000	6.96463e-20	
