x	tac	
15	5.94472e-17	
16.3143	5.58914e-17	
17.7438	5.24605e-17	
19.2986	4.91639e-17	
20.9896	4.60032e-17	
22.8288	4.29857e-17	
24.8291	4.01172e-17	
27.0046	3.73975e-17	
29.3709	3.48255e-17	
31.9444	3.23987e-17	
34.7435	3.01138e-17	
37.7878	2.79665e-17	
41.0988	2.59521e-17	
44.7	2.40655e-17	
48.6167	2.23013e-17	
52.8766	2.06537e-17	
57.5098	1.91169e-17	
62.549	1.76853e-17	
68.0297	1.63529e-17	
73.9906	1.51141e-17	
80.4738	1.39634e-17	
87.5252	1.29437e-17	
95.1943	1.20184e-17	
103.535	1.11517e-17	
112.608	1.03427e-17	
122.474	9.58593e-18	
133.206	8.88428e-18	
144.878	8.23183e-18	
157.572	7.62738e-18	
171.379	7.06477e-18	
186.396	6.54545e-18	
202.728	6.06298e-18	
220.492	5.61705e-18	
239.812	5.20492e-18	
260.825	4.82363e-18	
283.679	4.47121e-18	
308.536	4.1462e-18	
335.57	3.84599e-18	
364.974	3.56887e-18	
396.954	3.31335e-18	
431.736	3.07761e-18	
469.566	2.86019e-18	
510.71	2.65971e-18	
555.46	2.47481e-18	
604.131	2.30426e-18	
657.066	2.14695e-18	
714.64	2.0018e-18	
777.258	1.86777e-18	
845.364	1.74397e-18	
919.437	1.62957e-18	
1000	1.52373e-18	
