x	tac	
15	4.40738e-19	
16.3143	4.14375e-19	
17.7438	3.88939e-19	
19.2986	3.64498e-19	
20.9896	3.41065e-19	
22.8288	3.18694e-19	
24.8291	2.97426e-19	
27.0046	2.77263e-19	
29.3709	2.58194e-19	
31.9444	2.40202e-19	
34.7435	2.23262e-19	
37.7878	2.07342e-19	
41.0988	1.92407e-19	
44.7	1.7842e-19	
48.6167	1.6534e-19	
52.8766	1.53125e-19	
57.5098	1.41732e-19	
62.549	1.31117e-19	
68.0297	1.21239e-19	
73.9906	1.12055e-19	
80.4738	1.03524e-19	
87.5252	1.16477e-19	
95.1943	1.37036e-19	
103.535	1.51857e-19	
112.608	1.62585e-19	
122.474	1.69023e-19	
133.206	1.74211e-19	
144.878	1.77398e-19	
157.572	1.79709e-19	
171.379	1.80065e-19	
186.396	1.80504e-19	
202.728	1.79644e-19	
220.492	1.78589e-19	
239.812	1.77344e-19	
260.825	1.75746e-19	
283.679	1.73957e-19	
308.536	1.72308e-19	
335.57	1.70559e-19	
364.974	1.68804e-19	
396.954	1.67162e-19	
431.736	1.65555e-19	
469.566	1.64021e-19	
510.71	1.62573e-19	
555.46	1.61198e-19	
604.131	1.59881e-19	
657.066	1.5863e-19	
714.64	1.57439e-19	
777.258	1.56272e-19	
845.364	1.55127e-19	
919.437	1.54001e-19	
1000	1.52866e-19	
