x	tac	
15	3.47447e-14	
16.3143	3.26665e-14	
17.7438	3.06613e-14	
19.2986	2.87345e-14	
20.9896	2.68872e-14	
22.8288	2.51236e-14	
24.8291	2.3447e-14	
27.0046	2.18575e-14	
29.3709	2.03542e-14	
31.9444	1.89359e-14	
34.7435	1.76004e-14	
37.7878	1.63454e-14	
41.0988	1.51681e-14	
44.7	1.40654e-14	
48.6167	1.30343e-14	
52.8766	1.20713e-14	
57.5098	1.11732e-14	
62.549	1.03364e-14	
68.0297	9.55766e-15	
73.9906	8.83365e-15	
80.4738	8.16113e-15	
87.5252	7.56373e-15	
95.1943	7.02105e-15	
103.535	6.51309e-15	
112.608	6.03906e-15	
122.474	5.59594e-15	
133.206	5.18513e-15	
144.878	4.80323e-15	
157.572	4.44947e-15	
171.379	4.12032e-15	
186.396	3.81649e-15	
202.728	3.53431e-15	
220.492	3.27351e-15	
239.812	3.0325e-15	
260.825	2.80955e-15	
283.679	2.60351e-15	
308.536	2.41349e-15	
335.57	2.23798e-15	
364.974	2.07599e-15	
396.954	1.92662e-15	
431.736	1.78883e-15	
469.566	1.66174e-15	
510.71	1.54456e-15	
555.46	1.43649e-15	
604.131	1.3368e-15	
657.066	1.24486e-15	
714.64	1.16003e-15	
777.258	1.0817e-15	
845.364	1.00936e-15	
919.437	9.42517e-16	
1000	8.80679e-16	
