x	tac	
15	1.85799e-15	
16.3143	1.74686e-15	
17.7438	1.63963e-15	
19.2986	1.53659e-15	
20.9896	1.43781e-15	
22.8288	1.3435e-15	
24.8291	1.25384e-15	
27.0046	1.16884e-15	
29.3709	1.08845e-15	
31.9444	1.01261e-15	
34.7435	9.4119e-16	
37.7878	8.74077e-16	
41.0988	8.1112e-16	
44.7	7.52156e-16	
48.6167	6.97015e-16	
52.8766	6.4552e-16	
57.5098	5.9749e-16	
62.549	5.52744e-16	
68.0297	5.11101e-16	
73.9906	4.72384e-16	
80.4738	4.3642e-16	
87.5252	4.04481e-16	
95.1943	3.75469e-16	
103.535	3.48313e-16	
112.608	3.22969e-16	
122.474	2.99277e-16	
133.206	2.77312e-16	
144.878	2.56893e-16	
157.572	2.37977e-16	
171.379	2.20377e-16	
186.396	2.04131e-16	
202.728	1.89042e-16	
220.492	1.75096e-16	
239.812	1.62209e-16	
260.825	1.50287e-16	
283.679	1.39269e-16	
308.536	1.29108e-16	
335.57	1.19723e-16	
364.974	1.1106e-16	
396.954	1.03073e-16	
431.736	9.57043e-17	
469.566	8.89085e-17	
510.71	8.26418e-17	
555.46	7.68628e-17	
604.131	7.15321e-17	
657.066	6.66155e-17	
714.64	6.20793e-17	
777.258	5.78905e-17	
845.364	5.4022e-17	
919.437	5.04472e-17	
1000	4.71403e-17	
