x	tac	
15	1.22011e-14	
16.3143	1.14713e-14	
17.7438	1.07672e-14	
19.2986	1.00906e-14	
20.9896	9.44185e-15	
22.8288	8.82253e-15	
24.8291	8.23377e-15	
27.0046	7.67558e-15	
29.3709	7.1477e-15	
31.9444	6.64962e-15	
34.7435	6.18064e-15	
37.7878	5.73993e-15	
41.0988	5.32649e-15	
44.7	4.93929e-15	
48.6167	4.57719e-15	
52.8766	4.23903e-15	
57.5098	3.92362e-15	
62.549	3.62978e-15	
68.0297	3.35632e-15	
73.9906	3.10207e-15	
80.4738	2.8659e-15	
87.5252	2.65612e-15	
95.1943	2.46555e-15	
103.535	2.28717e-15	
112.608	2.12071e-15	
122.474	1.9651e-15	
133.206	1.82084e-15	
144.878	1.68673e-15	
157.572	1.5625e-15	
171.379	1.44691e-15	
186.396	1.34022e-15	
202.728	1.24112e-15	
220.492	1.14954e-15	
239.812	1.06491e-15	
260.825	9.86615e-16	
283.679	9.14259e-16	
308.536	8.47532e-16	
335.57	7.859e-16	
364.974	7.29014e-16	
396.954	6.76561e-16	
431.736	6.28172e-16	
469.566	5.83544e-16	
510.71	5.42393e-16	
555.46	5.04443e-16	
604.131	4.69437e-16	
657.066	4.3715e-16	
714.64	4.07362e-16	
777.258	3.79855e-16	
845.364	3.54452e-16	
919.437	3.30978e-16	
1000	3.09262e-16	
