x	tac	
15	5.87812e-32	
15.3183	2.42006e-32	
15.6434	9.77597e-33	
15.9753	3.87316e-33	
16.3143	1.50441e-33	
16.6605	5.72636e-34	
17.0141	2.13511e-34	
17.3751	7.79472e-35	
17.7438	2.78502e-35	
18.1204	9.73428e-36	
18.5049	3.32681e-36	
18.8976	1.1112e-36	
19.2986	3.6257e-37	
19.7081	1.15507e-37	
20.1263	3.59108e-38	
20.5534	1.08899e-38	
20.9896	3.21938e-39	
21.435	9.27328e-40	
21.8899	2.60117e-40	
22.3544	7.10128e-41	
22.8288	1.88576e-41	
23.3132	4.86817e-42	
23.8079	1.221e-42	
24.3131	2.97349e-43	
24.8291	7.02675e-44	
25.3559	1.61027e-44	
25.894	3.57618e-45	
26.4435	7.69178e-46	
27.0046	1.60113e-46	
27.5777	3.22345e-47	
28.1629	6.27189e-48	
28.7605	1.17855e-48	
29.3709	2.13722e-49	
29.9941	3.73746e-50	
30.6306	6.29786e-51	
31.2806	1.02179e-51	
31.9444	1.59488e-52	
32.6223	2.39299e-53	
33.3145	3.44856e-54	
34.0215	4.76919e-55	
34.7435	6.32388e-56	
35.4807	8.03284e-57	
36.2337	9.76573e-58	
37.0025	1.13524e-58	
37.7878	1.26068e-59	
38.5896	1.33609e-60	
39.4085	1.35005e-61	
40.2448	1.2993e-62	
41.0988	1.18977e-63	
41.971	1.03552e-64	
42.8616	8.55705e-66	
43.7712	6.70629e-67	
44.7	4.97906e-68	
45.6486	3.49801e-69	
46.6172	2.3227e-70	
47.6065	1.45595e-71	
48.6167	8.60494e-73	
49.6484	4.78915e-74	
50.702	2.50682e-75	
51.7779	1.23247e-76	
52.8766	5.68389e-78	
53.9987	2.45548e-79	
55.1446	9.92318e-81	
56.3148	3.74604e-82	
57.5098	1.31908e-83	
58.7302	4.32627e-85	
59.9765	1.31959e-86	
61.2492	3.73748e-88	
62.549	9.81417e-90	
63.8763	2.38542e-91	
65.2318	5.358e-93	
66.616	1.11029e-94	
68.0297	2.11899e-96	
69.4733	3.71805e-98	
70.9476	5.98725e-100	
72.4531	8.83224e-102	
73.9906	1.19135e-103	
75.5607	1.46659e-105	
77.1642	1.64451e-107	
78.8016	1.67635e-109	
80.4738	1.55028e-111	
82.1815	1.29802e-113	
83.9255	0	
85.7064	0	
87.5252	0	
89.3825	0	
91.2792	0	
93.2162	0	
95.1943	0	
97.2144	0	
99.2774	0	
101.384	0	
103.535	0	
105.733	0	
107.976	0	
110.268	0	
112.608	0	
114.997	0	
117.437	0	
119.93	0	
122.474	0	
125.073	0	
127.728	0	
130.438	0	
133.206	0	
136.033	0	
138.919	0	
141.867	0	
144.878	0	
147.952	0	
151.092	0	
154.298	0	
157.572	0	
160.916	0	
164.331	0	
167.818	0	
171.379	0	
175.016	0	
178.73	0	
182.523	0	
186.396	0	
190.351	0	
194.391	0	
198.516	0	
202.728	0	
207.03	0	
211.424	0	
215.91	0	
220.492	0	
225.171	0	
229.949	0	
234.829	0	
239.812	0	
244.901	0	
250.098	0	
255.405	0	
260.825	0	
266.36	0	
272.012	0	
277.784	0	
283.679	0	
289.699	0	
295.847	0	
302.125	0	
308.536	0	
315.083	0	
321.769	0	
328.597	0	
335.57	0	
342.691	0	
349.964	0	
357.39	0	
364.974	0	
372.719	0	
380.628	0	
388.705	0	
396.954	0	
405.377	0	
413.98	0	
422.765	0	
431.736	0	
440.898	0	
450.254	0	
459.808	0	
469.566	0	
479.53	0	
489.706	0	
500.098	0	
510.71	0	
521.548	0	
532.615	0	
543.918	0	
555.46	0	
567.247	0	
579.284	0	
591.577	0	
604.131	0	
616.951	0	
630.043	0	
643.413	0	
657.066	0	
671.01	0	
685.249	0	
699.79	0	
714.64	0	
729.805	0	
745.292	0	
761.107	0	
777.258	0	
793.752	0	
810.596	0	
827.797	0	
845.364	0	
863.303	0	
881.623	0	
900.331	0	
919.437	0	
938.948	0	
958.873	0	
979.22	0	
