x	tac	
15	4.99645e-30	
15.3183	2.05711e-30	
15.6434	8.31002e-31	
15.9753	3.29244e-31	
16.3143	1.27888e-31	
16.6605	4.86806e-32	
17.0141	1.81514e-32	
17.3751	6.62683e-33	
17.7438	2.36781e-33	
18.1204	8.27635e-34	
18.5049	2.82865e-34	
18.8976	9.44845e-35	
19.2986	3.08301e-35	
19.7081	9.82218e-36	
20.1263	3.05383e-36	
20.5534	9.26127e-37	
20.9896	2.73806e-37	
21.435	7.88729e-38	
21.8899	2.21252e-38	
22.3544	6.0406e-39	
22.8288	1.60419e-39	
23.3132	4.14151e-40	
23.8079	1.0388e-40	
24.3131	2.52993e-41	
24.8291	5.97888e-42	
25.3559	1.37022e-42	
25.894	3.04322e-43	
26.4435	6.54582e-44	
27.0046	1.36266e-44	
27.5777	2.7435e-45	
28.1629	5.33835e-46	
28.7605	1.00318e-46	
29.3709	1.8193e-47	
29.9941	3.18166e-48	
30.6306	5.36159e-49	
31.2806	8.69926e-50	
31.9444	1.35791e-50	
32.6223	2.03755e-51	
33.3145	2.93648e-52	
34.0215	4.0612e-53	
34.7435	5.38537e-54	
35.4807	6.84103e-55	
36.2337	8.31721e-56	
37.0025	9.66899e-57	
37.7878	1.07379e-57	
38.5896	1.13807e-58	
39.4085	1.15001e-59	
40.2448	1.10683e-60	
41.0988	1.01357e-61	
41.971	8.82205e-63	
42.8616	7.29046e-64	
43.7712	5.71389e-65	
44.7	4.24244e-66	
45.6486	2.98062e-67	
46.6172	1.97924e-68	
47.6065	1.2407e-69	
48.6167	7.33308e-71	
49.6484	4.08145e-72	
50.702	2.13647e-73	
51.7779	1.05043e-74	
52.8766	4.84453e-76	
53.9987	2.09295e-77	
55.1446	8.45841e-79	
56.3148	3.1932e-80	
57.5098	1.12445e-81	
58.7302	3.68806e-83	
59.9765	1.12496e-84	
61.2492	3.18634e-86	
62.549	8.36722e-88	
63.8763	2.0338e-89	
65.2318	4.56834e-91	
66.616	9.46689e-93	
68.0297	1.80681e-94	
69.4733	3.17039e-96	
70.9476	5.10549e-98	
72.4531	7.5317e-100	
73.9906	1.01596e-101	
75.5607	1.25071e-103	
77.1642	1.40248e-105	
78.8016	1.42967e-107	
80.4738	1.32219e-109	
82.1815	1.10707e-111	
83.9255	0	
85.7064	0	
87.5252	0	
89.3825	0	
91.2792	0	
93.2162	0	
95.1943	0	
97.2144	0	
99.2774	0	
101.384	0	
103.535	0	
105.733	0	
107.976	0	
110.268	0	
112.608	0	
114.997	0	
117.437	0	
119.93	0	
122.474	0	
125.073	0	
127.728	0	
130.438	0	
133.206	0	
136.033	0	
138.919	0	
141.867	0	
144.878	0	
147.952	0	
151.092	0	
154.298	0	
157.572	0	
160.916	0	
164.331	0	
167.818	0	
171.379	0	
175.016	0	
178.73	0	
182.523	0	
186.396	0	
190.351	0	
194.391	0	
198.516	0	
202.728	0	
207.03	0	
211.424	0	
215.91	0	
220.492	0	
225.171	0	
229.949	0	
234.829	0	
239.812	0	
244.901	0	
250.098	0	
255.405	0	
260.825	0	
266.36	0	
272.012	0	
277.784	0	
283.679	0	
289.699	0	
295.847	0	
302.125	0	
308.536	0	
315.083	0	
321.769	0	
328.597	0	
335.57	0	
342.691	0	
349.964	0	
357.39	0	
364.974	0	
372.719	0	
380.628	0	
388.705	0	
396.954	0	
405.377	0	
413.98	0	
422.765	0	
431.736	0	
440.898	0	
450.254	0	
459.808	0	
469.566	0	
479.53	0	
489.706	0	
500.098	0	
510.71	0	
521.548	0	
532.615	0	
543.918	0	
555.46	0	
567.247	0	
579.284	0	
591.577	0	
604.131	0	
616.951	0	
630.043	0	
643.413	0	
657.066	0	
671.01	0	
685.249	0	
699.79	0	
714.64	0	
729.805	0	
745.292	0	
761.107	0	
777.258	0	
793.752	0	
810.596	0	
827.797	0	
845.364	0	
863.303	0	
881.623	0	
900.331	0	
919.437	0	
938.948	0	
958.873	0	
979.22	0	
