x	tac	
15	3.84424e-10	
15.3183	3.85923e-10	
15.6434	3.87399e-10	
15.9753	3.88852e-10	
16.3143	3.90281e-10	
16.6605	3.91688e-10	
17.0141	3.93072e-10	
17.3751	3.94434e-10	
17.7438	3.95774e-10	
18.1204	3.97092e-10	
18.5049	3.98388e-10	
18.8976	3.99663e-10	
19.2986	4.00917e-10	
19.7081	4.0215e-10	
20.1263	4.0336e-10	
20.5534	4.04543e-10	
20.9896	4.05708e-10	
21.435	4.06852e-10	
21.8899	4.07978e-10	
22.3544	4.09083e-10	
22.8288	4.1017e-10	
23.3132	4.11239e-10	
23.8079	4.12289e-10	
24.3131	4.13321e-10	
24.8291	4.14335e-10	
25.3559	4.15331e-10	
25.894	4.1631e-10	
26.4435	4.17271e-10	
27.0046	4.18216e-10	
27.5777	4.19144e-10	
28.1629	4.20055e-10	
28.7605	4.2095e-10	
29.3709	4.21829e-10	
29.9941	4.22692e-10	
30.6306	4.2354e-10	
31.2806	4.24373e-10	
31.9444	4.2519e-10	
32.6223	4.25993e-10	
33.3145	4.2678e-10	
34.0215	4.27554e-10	
34.7435	4.28313e-10	
35.4807	4.29059e-10	
36.2337	4.2979e-10	
37.0025	4.30508e-10	
37.7878	4.31213e-10	
38.5896	4.31905e-10	
39.4085	4.32584e-10	
40.2448	4.3325e-10	
41.0988	4.33904e-10	
41.971	4.34545e-10	
42.8616	4.35174e-10	
43.7712	4.35792e-10	
44.7	4.36398e-10	
45.6486	4.36992e-10	
46.6172	4.37575e-10	
47.6065	4.38147e-10	
48.6167	4.38708e-10	
49.6484	4.39259e-10	
50.702	4.39799e-10	
51.7779	4.40329e-10	
52.8766	4.40848e-10	
53.9987	4.41358e-10	
55.1446	4.41857e-10	
56.3148	4.42347e-10	
57.5098	4.42828e-10	
58.7302	4.43299e-10	
59.9765	4.43762e-10	
61.2492	4.44215e-10	
62.549	4.44659e-10	
63.8763	4.45095e-10	
65.2318	4.45522e-10	
66.616	4.45941e-10	
68.0297	4.46352e-10	
69.4733	4.46755e-10	
70.9476	4.4715e-10	
72.4531	4.47537e-10	
73.9906	4.47917e-10	
75.5607	4.48289e-10	
77.1642	4.48654e-10	
78.8016	4.49011e-10	
80.4738	4.49362e-10	
82.1815	4.49705e-10	
83.9255	4.49987e-10	
85.7064	4.46362e-10	
87.5252	4.46112e-10	
89.3825	4.45675e-10	
91.2792	4.45363e-10	
93.2162	4.44878e-10	
95.1943	4.44551e-10	
97.2144	4.44212e-10	
99.2774	4.43708e-10	
101.384	4.43354e-10	
103.535	4.4299e-10	
105.733	4.42613e-10	
107.976	4.42227e-10	
110.268	4.41842e-10	
112.608	4.41441e-10	
114.997	4.41182e-10	
117.437	4.40761e-10	
119.93	4.40336e-10	
122.474	4.40045e-10	
125.073	4.39603e-10	
127.728	4.39284e-10	
130.438	4.3883e-10	
133.206	4.38484e-10	
136.033	4.38015e-10	
138.919	4.37649e-10	
141.867	4.3728e-10	
144.878	4.36898e-10	
147.952	4.3639e-10	
151.092	4.35992e-10	
154.298	4.35579e-10	
157.572	4.35152e-10	
160.916	4.34716e-10	
164.331	4.34277e-10	
167.818	4.3382e-10	
171.379	4.33445e-10	
175.016	4.32971e-10	
178.73	4.32471e-10	
182.523	4.31975e-10	
186.396	4.31462e-10	
190.351	4.31031e-10	
194.391	4.30496e-10	
198.516	4.2995e-10	
202.728	4.29465e-10	
207.03	4.289e-10	
211.424	4.28386e-10	
215.91	4.27804e-10	
220.492	4.27264e-10	
225.171	4.26648e-10	
229.949	4.26078e-10	
234.829	4.25498e-10	
239.812	4.24844e-10	
244.901	4.24238e-10	
250.098	4.23606e-10	
255.405	4.22962e-10	
260.825	4.22261e-10	
266.36	4.21586e-10	
272.012	4.20895e-10	
277.784	4.20188e-10	
283.679	4.19463e-10	
289.699	4.18721e-10	
295.847	4.17933e-10	
302.125	4.17158e-10	
308.536	4.16366e-10	
315.083	4.15559e-10	
321.769	4.14727e-10	
328.597	4.13886e-10	
335.57	4.13019e-10	
342.691	4.12153e-10	
349.964	4.11251e-10	
357.39	4.10323e-10	
364.974	4.09382e-10	
372.719	4.08418e-10	
380.628	4.07427e-10	
388.705	4.06424e-10	
396.954	4.054e-10	
405.377	4.04357e-10	
413.98	4.03283e-10	
422.765	4.02187e-10	
431.736	4.0107e-10	
440.898	3.99931e-10	
450.254	3.98767e-10	
459.808	3.97575e-10	
469.566	3.96361e-10	
479.53	3.95128e-10	
489.706	3.93861e-10	
500.098	3.92567e-10	
510.71	3.91248e-10	
521.548	3.89901e-10	
532.615	3.88525e-10	
543.918	3.87131e-10	
555.46	3.85698e-10	
567.247	3.84241e-10	
579.284	3.82749e-10	
591.577	3.81232e-10	
604.131	3.7969e-10	
616.951	3.78106e-10	
630.043	3.76496e-10	
643.413	3.7485e-10	
657.066	3.73177e-10	
671.01	3.71466e-10	
685.249	3.69722e-10	
699.79	3.67954e-10	
714.64	3.66142e-10	
729.805	3.64312e-10	
745.292	3.62431e-10	
761.107	3.60525e-10	
777.258	3.58573e-10	
793.752	3.56585e-10	
810.596	3.54566e-10	
827.797	3.52504e-10	
845.364	3.50419e-10	
863.303	3.48282e-10	
881.623	3.46107e-10	
900.331	3.43902e-10	
919.437	3.41649e-10	
938.948	3.39357e-10	
958.873	3.37039e-10	
979.22	3.34667e-10	
