x	tac	
10	2.1883e-14	
10.1158	2.19847e-14	
10.2329	2.2086e-14	
10.3514	2.21868e-14	
10.4713	2.22871e-14	
10.5925	2.2387e-14	
10.7152	2.24863e-14	
10.8393	2.25852e-14	
10.9648	2.26835e-14	
11.0917	2.27814e-14	
11.2202	2.28788e-14	
11.3501	2.29756e-14	
11.4815	2.3072e-14	
11.6145	2.31678e-14	
11.749	2.32631e-14	
11.885	2.33579e-14	
12.0226	2.34522e-14	
12.1619	2.3546e-14	
12.3027	2.36393e-14	
12.4451	2.3732e-14	
12.5893	2.38242e-14	
12.735	2.39158e-14	
12.8825	2.40069e-14	
13.0317	2.40975e-14	
13.1826	2.41875e-14	
13.3352	2.4277e-14	
13.4896	2.4366e-14	
13.6458	2.44544e-14	
13.8038	2.45423e-14	
13.9637	2.46296e-14	
14.1254	2.47164e-14	
14.2889	2.48026e-14	
14.4544	2.48883e-14	
14.6218	2.49735e-14	
14.7911	2.5058e-14	
14.9624	2.51421e-14	
15.1356	2.52255e-14	
15.3109	2.53085e-14	
15.4882	2.53908e-14	
15.6675	2.54727e-14	
15.8489	2.55539e-14	
16.0325	2.56346e-14	
16.2181	2.57148e-14	
16.4059	2.57944e-14	
16.5959	2.58734e-14	
16.788	2.59519e-14	
16.9824	2.60299e-14	
17.1791	2.61072e-14	
17.378	2.61841e-14	
17.5792	2.62604e-14	
17.7828	2.63361e-14	
17.9887	2.64113e-14	
18.197	2.64859e-14	
18.4077	2.656e-14	
18.6209	2.66335e-14	
18.8365	2.67065e-14	
19.0546	2.67789e-14	
19.2752	2.68508e-14	
19.4984	2.69222e-14	
19.7242	2.6993e-14	
19.9526	2.70632e-14	
20.1837	2.71345e-14	
20.4174	2.72056e-14	
20.6538	2.72759e-14	
20.893	2.73459e-14	
21.1349	2.74152e-14	
21.3796	2.74839e-14	
21.6272	2.75521e-14	
21.8776	2.76197e-14	
22.1309	2.76868e-14	
22.3872	2.77534e-14	
22.6464	2.78193e-14	
22.9087	2.78848e-14	
23.1739	2.79498e-14	
23.4423	2.8014e-14	
23.7137	2.80778e-14	
23.9883	2.81412e-14	
24.2661	2.82039e-14	
24.5471	2.82661e-14	
24.8313	2.83278e-14	
25.1189	2.83889e-14	
25.4097	2.84496e-14	
25.704	2.85098e-14	
26.0016	2.85692e-14	
26.3027	2.86284e-14	
26.6073	2.8687e-14	
26.9153	2.8745e-14	
27.227	2.88026e-14	
27.5423	2.88596e-14	
27.8612	2.89161e-14	
28.1838	2.89721e-14	
28.5102	2.90276e-14	
28.8403	2.90828e-14	
29.1743	2.91372e-14	
29.5121	2.91913e-14	
29.8538	2.92449e-14	
30.1995	2.9298e-14	
30.5492	2.93507e-14	
30.903	2.94027e-14	
31.2608	2.94544e-14	
31.6228	2.95057e-14	
31.989	2.95564e-14	
32.3594	2.96066e-14	
32.7341	2.96565e-14	
33.1131	2.97058e-14	
33.4965	2.97546e-14	
33.8844	2.9803e-14	
34.2768	2.9851e-14	
34.6737	2.98985e-14	
35.0752	2.99456e-14	
35.4813	2.99923e-14	
35.8922	3.00385e-14	
36.3078	3.00843e-14	
36.7282	3.01297e-14	
37.1535	3.01746e-14	
37.5837	3.02191e-14	
38.0189	3.02632e-14	
38.4592	3.03068e-14	
38.9045	3.03501e-14	
39.355	3.03928e-14	
39.8107	3.04353e-14	
40.2717	3.04773e-14	
40.738	3.05188e-14	
41.2098	3.056e-14	
41.6869	3.06009e-14	
42.1697	3.06413e-14	
42.658	3.06813e-14	
43.1519	3.07209e-14	
43.6516	3.07602e-14	
44.157	3.0799e-14	
44.6684	3.08375e-14	
45.1856	3.08756e-14	
45.7088	3.09134e-14	
46.2381	3.09506e-14	
46.7735	3.09876e-14	
47.3151	3.10243e-14	
47.863	3.10605e-14	
48.4172	3.10964e-14	
48.9779	3.1132e-14	
49.545	3.11672e-14	
50.1187	3.12021e-14	
50.6991	3.12365e-14	
51.2861	3.12706e-14	
51.88	3.13045e-14	
52.4807	3.13379e-14	
53.0884	3.1371e-14	
53.7032	3.14039e-14	
54.325	3.14364e-14	
54.9541	3.14685e-14	
55.5904	3.15003e-14	
56.2341	3.15318e-14	
56.8853	3.15629e-14	
57.544	3.15938e-14	
58.2103	3.16244e-14	
58.8844	3.16546e-14	
59.5662	3.16845e-14	
60.256	3.17142e-14	
60.9537	3.17435e-14	
61.6595	3.17725e-14	
62.3735	3.18013e-14	
63.0957	3.18296e-14	
63.8263	3.18578e-14	
64.5654	3.18857e-14	
65.3131	3.19133e-14	
66.0693	3.19405e-14	
66.8344	3.19675e-14	
67.6083	3.19942e-14	
68.3912	3.20207e-14	
69.1831	3.20468e-14	
69.9842	3.20727e-14	
70.7946	3.20983e-14	
71.6143	3.21237e-14	
72.4436	3.21488e-14	
73.2825	3.21737e-14	
74.131	3.21982e-14	
74.9894	3.22225e-14	
75.8578	3.22466e-14	
76.7361	3.22704e-14	
77.6247	3.2294e-14	
78.5236	3.23173e-14	
79.4328	3.23404e-14	
80.3526	3.23632e-14	
81.2831	3.23858e-14	
82.2243	3.24082e-14	
83.1764	3.24303e-14	
84.1395	1.8582e-10	
85.1138	1.85687e-10	
86.0994	1.85578e-10	
87.0964	1.85477e-10	
88.1049	1.85379e-10	
89.1251	1.85284e-10	
90.1571	1.85189e-10	
91.2011	1.85094e-10	
92.2571	1.85e-10	
93.3254	1.84906e-10	
94.4061	1.84811e-10	
95.4993	1.84716e-10	
96.6051	1.8469e-10	
97.7237	1.84593e-10	
98.8553	1.84496e-10	
100	1.84398e-10	
101.158	1.84365e-10	
102.329	1.84265e-10	
103.514	1.84164e-10	
104.713	1.84126e-10	
105.925	1.84023e-10	
107.152	1.8392e-10	
108.393	1.83878e-10	
109.648	1.83772e-10	
110.917	1.83666e-10	
112.202	1.83619e-10	
113.501	1.83511e-10	
114.815	1.83461e-10	
116.145	1.83351e-10	
117.49	1.83297e-10	
118.85	1.83185e-10	
120.226	1.83129e-10	
121.619	1.8307e-10	
123.027	1.82956e-10	
124.451	1.82894e-10	
125.893	1.82778e-10	
127.35	1.82713e-10	
128.825	1.82647e-10	
130.317	1.82528e-10	
131.826	1.82459e-10	
133.352	1.82389e-10	
134.896	1.82266e-10	
136.458	1.82193e-10	
138.038	1.82118e-10	
139.637	1.82042e-10	
141.254	1.81916e-10	
142.889	1.81837e-10	
144.544	1.81756e-10	
146.218	1.81673e-10	
147.911	1.81544e-10	
149.624	1.81459e-10	
151.356	1.81372e-10	
153.109	1.81284e-10	
154.882	1.81195e-10	
156.675	1.81103e-10	
158.489	1.81011e-10	
160.325	1.80917e-10	
162.181	1.80821e-10	
