x	tac	
15	1.92275e-13	
15.3183	1.93029e-13	
15.6434	1.93771e-13	
15.9753	1.945e-13	
16.3143	1.95219e-13	
16.6605	1.95926e-13	
17.0141	1.96621e-13	
17.3751	1.97306e-13	
17.7438	1.97979e-13	
18.1204	1.98641e-13	
18.5049	1.99293e-13	
18.8976	1.99934e-13	
19.2986	2.00564e-13	
19.7081	2.01183e-13	
20.1263	2.01791e-13	
20.5534	2.02386e-13	
20.9896	2.02971e-13	
21.435	2.03546e-13	
21.8899	2.04111e-13	
22.3544	2.04667e-13	
22.8288	2.05213e-13	
23.3132	2.0575e-13	
23.8079	2.06278e-13	
24.3131	2.06796e-13	
24.8291	2.07306e-13	
25.3559	2.07806e-13	
25.894	2.08298e-13	
26.4435	2.08781e-13	
27.0046	2.09256e-13	
27.5777	2.09722e-13	
28.1629	2.1018e-13	
28.7605	2.1063e-13	
29.3709	2.11072e-13	
29.9941	2.11505e-13	
30.6306	2.11931e-13	
31.2806	2.1235e-13	
31.9444	2.12761e-13	
32.6223	2.13164e-13	
33.3145	2.1356e-13	
34.0215	2.13948e-13	
34.7435	2.1433e-13	
35.4807	2.14704e-13	
36.2337	2.15072e-13	
37.0025	2.15433e-13	
37.7878	2.15787e-13	
38.5896	2.16135e-13	
39.4085	2.16476e-13	
40.2448	2.1681e-13	
41.0988	2.17139e-13	
41.971	2.17461e-13	
42.8616	2.17778e-13	
43.7712	2.18088e-13	
44.7	2.18392e-13	
45.6486	2.18691e-13	
46.6172	2.18984e-13	
47.6065	2.19272e-13	
48.6167	2.19554e-13	
49.6484	2.1983e-13	
50.702	2.20102e-13	
51.7779	2.20368e-13	
52.8766	2.20629e-13	
53.9987	2.20885e-13	
55.1446	2.21136e-13	
56.3148	2.21382e-13	
57.5098	2.21624e-13	
58.7302	2.21861e-13	
59.9765	2.22093e-13	
61.2492	2.22321e-13	
62.549	2.22544e-13	
63.8763	2.22763e-13	
65.2318	2.22978e-13	
66.616	2.23188e-13	
68.0297	2.23395e-13	
69.4733	2.23597e-13	
70.9476	2.23796e-13	
72.4531	2.2399e-13	
73.9906	2.24181e-13	
75.5607	2.24368e-13	
77.1642	2.24551e-13	
78.8016	2.24731e-13	
80.4738	2.24907e-13	
82.1815	2.2508e-13	
83.9255	2.25224e-13	
85.7064	2.20504e-13	
87.5252	2.20942e-13	
89.3825	2.20726e-13	
91.2792	2.1994e-13	
93.2162	2.20169e-13	
95.1943	2.19928e-13	
97.2144	2.19425e-13	
99.2774	2.19507e-13	
101.384	2.1918e-13	
103.535	2.18722e-13	
105.733	2.19288e-13	
107.976	2.18477e-13	
110.268	2.18014e-13	
112.608	2.18141e-13	
114.997	2.18246e-13	
117.437	2.17731e-13	
119.93	2.17726e-13	
122.474	2.17356e-13	
125.073	2.16972e-13	
127.728	2.17277e-13	
130.438	2.16882e-13	
133.206	2.16842e-13	
136.033	2.16519e-13	
138.919	2.16533e-13	
141.867	2.16153e-13	
144.878	2.16024e-13	
147.952	2.15734e-13	
151.092	2.15625e-13	
154.298	2.15342e-13	
157.572	2.15106e-13	
160.916	2.14775e-13	
164.331	2.14455e-13	
167.818	2.14302e-13	
171.379	2.14141e-13	
175.016	2.13921e-13	
178.73	2.13587e-13	
182.523	2.13565e-13	
186.396	2.13184e-13	
190.351	2.13209e-13	
194.391	2.12622e-13	
198.516	2.12434e-13	
202.728	2.12108e-13	
207.03	2.11815e-13	
211.424	2.11777e-13	
215.91	2.11443e-13	
220.492	2.10989e-13	
225.171	2.10645e-13	
229.949	2.10414e-13	
234.829	2.10126e-13	
239.812	2.09746e-13	
244.901	2.09578e-13	
250.098	2.09335e-13	
255.405	2.09107e-13	
260.825	2.08637e-13	
266.36	2.08299e-13	
272.012	2.07806e-13	
277.784	2.07589e-13	
283.679	2.07247e-13	
289.699	2.06743e-13	
295.847	2.0643e-13	
302.125	2.06078e-13	
308.536	2.05512e-13	
315.083	2.05309e-13	
321.769	2.0491e-13	
328.597	2.04463e-13	
335.57	2.04195e-13	
342.691	2.03767e-13	
349.964	2.0304e-13	
357.39	2.02585e-13	
364.974	2.02291e-13	
372.719	2.01753e-13	
380.628	2.01191e-13	
388.705	2.00652e-13	
396.954	2.00132e-13	
405.377	1.99618e-13	
413.98	1.98944e-13	
422.765	1.98767e-13	
431.736	1.98004e-13	
440.898	1.97442e-13	
450.254	1.96666e-13	
459.808	1.96352e-13	
469.566	1.95752e-13	
479.53	1.95203e-13	
489.706	1.94508e-13	
500.098	1.9387e-13	
510.71	1.93302e-13	
521.548	1.92615e-13	
532.615	1.91935e-13	
543.918	1.91203e-13	
555.46	1.90495e-13	
567.247	1.89663e-13	
579.284	1.88927e-13	
591.577	1.88208e-13	
604.131	1.87448e-13	
616.951	1.86666e-13	
630.043	1.85852e-13	
643.413	1.85039e-13	
657.066	1.84131e-13	
671.01	1.83287e-13	
685.249	1.82426e-13	
699.79	1.81677e-13	
714.64	1.80783e-13	
729.805	1.79924e-13	
745.292	1.78996e-13	
761.107	1.77771e-13	
777.258	1.76809e-13	
793.752	1.75829e-13	
810.596	1.74997e-13	
827.797	1.7398e-13	
845.364	1.73039e-13	
863.303	1.71984e-13	
881.623	1.7091e-13	
900.331	1.69637e-13	
919.437	1.68526e-13	
938.948	1.67396e-13	
958.873	1.66357e-13	
979.22	1.65186e-13	
