x	tac	
10	1.74472e-10	
10.1158	1.75014e-10	
10.2329	1.75553e-10	
10.3514	1.76088e-10	
10.4713	1.7662e-10	
10.5925	1.77147e-10	
10.7152	1.7767e-10	
10.8393	1.78189e-10	
10.9648	1.78705e-10	
11.0917	1.79216e-10	
11.2202	1.79724e-10	
11.3501	1.80228e-10	
11.4815	1.80727e-10	
11.6145	1.81223e-10	
11.749	1.81716e-10	
11.885	1.82204e-10	
12.0226	1.82688e-10	
12.1619	1.83169e-10	
12.3027	1.83646e-10	
12.4451	1.84119e-10	
12.5893	1.84588e-10	
12.735	1.85054e-10	
12.8825	1.85516e-10	
13.0317	1.85974e-10	
13.1826	1.86428e-10	
13.3352	1.86878e-10	
13.4896	1.87325e-10	
13.6458	1.87769e-10	
13.8038	1.88208e-10	
13.9637	1.88644e-10	
14.1254	1.89076e-10	
14.2889	1.89505e-10	
14.4544	1.8993e-10	
14.6218	1.90351e-10	
14.7911	1.90769e-10	
14.9624	1.91183e-10	
15.1356	1.91594e-10	
15.3109	1.92001e-10	
15.4882	1.92405e-10	
15.6675	1.92805e-10	
15.8489	1.93202e-10	
16.0325	1.93595e-10	
16.2181	1.93985e-10	
16.4059	1.94371e-10	
16.5959	1.94754e-10	
16.788	1.95134e-10	
16.9824	1.9551e-10	
17.1791	1.95883e-10	
17.378	1.96253e-10	
17.5792	1.96619e-10	
17.7828	1.96982e-10	
17.9887	1.97342e-10	
18.197	1.97699e-10	
18.4077	1.98052e-10	
18.6209	1.98402e-10	
18.8365	1.98749e-10	
19.0546	1.99093e-10	
19.2752	1.99433e-10	
19.4984	1.99771e-10	
19.7242	2.00105e-10	
19.9526	2.00437e-10	
20.1837	2.00777e-10	
20.4174	2.01118e-10	
20.6538	2.01455e-10	
20.893	2.0179e-10	
21.1349	2.0212e-10	
21.3796	2.02447e-10	
21.6272	2.02771e-10	
21.8776	2.03092e-10	
22.1309	2.0341e-10	
22.3872	2.03725e-10	
22.6464	2.04036e-10	
22.9087	2.04345e-10	
23.1739	2.04651e-10	
23.4423	2.04953e-10	
23.7137	2.05252e-10	
23.9883	2.0555e-10	
24.2661	2.05843e-10	
24.5471	2.06133e-10	
24.8313	2.06421e-10	
25.1189	2.06706e-10	
25.4097	2.06988e-10	
25.704	2.07268e-10	
26.0016	2.07543e-10	
26.3027	2.07817e-10	
26.6073	2.08089e-10	
26.9153	2.08356e-10	
27.227	2.08623e-10	
27.5423	2.08885e-10	
27.8612	2.09145e-10	
28.1838	2.09402e-10	
28.5102	2.09657e-10	
28.8403	2.0991e-10	
29.1743	2.10158e-10	
29.5121	2.10406e-10	
29.8538	2.10651e-10	
30.1995	2.10893e-10	
30.5492	2.11133e-10	
30.903	2.11369e-10	
31.2608	2.11604e-10	
31.6228	2.11837e-10	
31.989	2.12067e-10	
32.3594	2.12294e-10	
32.7341	2.1252e-10	
33.1131	2.12742e-10	
33.4965	2.12962e-10	
33.8844	2.1318e-10	
34.2768	2.13396e-10	
34.6737	2.1361e-10	
35.0752	2.13821e-10	
35.4813	2.14031e-10	
35.8922	2.14238e-10	
36.3078	2.14443e-10	
36.7282	2.14646e-10	
37.1535	2.14847e-10	
37.5837	2.15045e-10	
38.0189	2.15242e-10	
38.4592	2.15436e-10	
38.9045	2.15629e-10	
39.355	2.15819e-10	
39.8107	2.16008e-10	
40.2717	2.16194e-10	
40.738	2.16378e-10	
41.2098	2.1656e-10	
41.6869	2.16741e-10	
42.1697	2.1692e-10	
42.658	2.17096e-10	
43.1519	2.17271e-10	
43.6516	2.17444e-10	
44.157	2.17615e-10	
44.6684	2.17785e-10	
45.1856	2.17952e-10	
45.7088	2.18118e-10	
46.2381	2.18281e-10	
46.7735	2.18444e-10	
47.3151	2.18604e-10	
47.863	2.18763e-10	
48.4172	2.1892e-10	
48.9779	2.19076e-10	
49.545	2.19229e-10	
50.1187	2.19381e-10	
50.6991	2.19532e-10	
51.2861	2.1968e-10	
51.88	2.19828e-10	
52.4807	2.19973e-10	
53.0884	2.20117e-10	
53.7032	2.2026e-10	
54.325	2.20401e-10	
54.9541	2.2054e-10	
55.5904	2.20678e-10	
56.2341	2.20814e-10	
56.8853	2.20948e-10	
57.544	2.21082e-10	
58.2103	2.21215e-10	
58.8844	2.21345e-10	
59.5662	2.21474e-10	
60.256	2.21602e-10	
60.9537	2.21729e-10	
61.6595	2.21854e-10	
62.3735	2.21978e-10	
63.0957	2.221e-10	
63.8263	2.22221e-10	
64.5654	2.22341e-10	
65.3131	2.22459e-10	
66.0693	2.22576e-10	
66.8344	2.22692e-10	
67.6083	2.22806e-10	
68.3912	2.2292e-10	
69.1831	2.23031e-10	
69.9842	2.23142e-10	
70.7946	2.23252e-10	
71.6143	2.23361e-10	
72.4436	2.23467e-10	
73.2825	2.23574e-10	
74.131	2.23679e-10	
74.9894	2.23782e-10	
75.8578	2.23885e-10	
76.7361	2.23986e-10	
77.6247	2.24087e-10	
78.5236	2.24186e-10	
79.4328	2.24284e-10	
80.3526	2.24381e-10	
81.2831	2.24477e-10	
82.2243	2.24572e-10	
83.1764	2.24666e-10	
84.1395	2.20961e-10	
85.1138	2.21265e-10	
86.0994	2.21542e-10	
87.0964	2.21811e-10	
88.1049	2.22075e-10	
89.1251	2.22336e-10	
90.1571	2.22594e-10	
91.2011	2.22851e-10	
92.2571	2.23106e-10	
93.3254	2.2336e-10	
94.4061	2.23613e-10	
95.4993	2.23865e-10	
96.6051	2.24043e-10	
97.7237	2.24295e-10	
98.8553	2.24545e-10	
100	2.24795e-10	
101.158	2.24975e-10	
102.329	2.25225e-10	
103.514	2.25474e-10	
104.713	2.25655e-10	
105.925	2.25904e-10	
107.152	2.26153e-10	
108.393	2.26335e-10	
109.648	2.26583e-10	
110.917	2.26831e-10	
112.202	2.27015e-10	
113.501	2.27262e-10	
114.815	2.27447e-10	
116.145	2.27694e-10	
117.49	2.2788e-10	
118.85	2.28127e-10	
120.226	2.28313e-10	
121.619	2.28501e-10	
123.027	2.28748e-10	
124.451	2.28936e-10	
125.893	2.29183e-10	
127.35	2.29373e-10	
128.825	2.29562e-10	
130.317	2.2981e-10	
131.826	2.30001e-10	
133.352	2.30192e-10	
134.896	2.30439e-10	
136.458	2.30632e-10	
138.038	2.30826e-10	
139.637	2.3102e-10	
141.254	2.31267e-10	
142.889	2.31462e-10	
144.544	2.31658e-10	
146.218	2.31855e-10	
147.911	2.32103e-10	
149.624	2.32301e-10	
151.356	2.32499e-10	
153.109	2.32698e-10	
154.882	2.32899e-10	
156.675	2.33099e-10	
158.489	2.33301e-10	
160.325	2.33504e-10	
162.181	2.33707e-10	
164.059	2.33956e-10	
165.959	2.34161e-10	
167.88	2.34366e-10	
169.824	2.34572e-10	
171.791	2.34779e-10	
173.78	2.34987e-10	
175.792	2.35195e-10	
177.828	2.35405e-10	
179.887	2.35615e-10	
181.97	2.35827e-10	
184.077	2.36039e-10	
186.209	2.36213e-10	
188.365	2.36428e-10	
190.546	2.36643e-10	
192.752	2.3686e-10	
194.984	2.37077e-10	
197.242	2.37296e-10	
199.526	2.37515e-10	
201.837	2.37736e-10	
204.174	2.37957e-10	
206.538	2.38146e-10	
208.93	2.3837e-10	
211.349	2.38595e-10	
213.796	2.38821e-10	
216.272	2.39049e-10	
218.776	2.39277e-10	
221.309	2.39476e-10	
223.872	2.39708e-10	
226.464	2.3994e-10	
229.087	2.40174e-10	
231.739	2.4038e-10	
234.423	2.40617e-10	
237.137	2.40855e-10	
239.883	2.41094e-10	
242.661	2.41309e-10	
245.471	2.41551e-10	
248.313	2.41795e-10	
251.189	2.42015e-10	
254.097	2.42262e-10	
257.04	2.42511e-10	
260.016	2.42738e-10	
263.027	2.4299e-10	
266.073	2.43243e-10	
269.153	2.43477e-10	
272.27	2.43734e-10	
275.423	2.43992e-10	
278.612	2.44233e-10	
281.838	2.44495e-10	
285.102	2.44759e-10	
288.403	2.45007e-10	
291.743	2.45275e-10	
295.121	2.45528e-10	
298.538	2.458e-10	
301.995	2.46074e-10	
305.492	2.46334e-10	
309.03	2.46612e-10	
312.608	2.46878e-10	
316.228	2.47161e-10	
319.89	2.47432e-10	
323.594	2.47719e-10	
327.341	2.47996e-10	
331.131	2.48288e-10	
334.965	2.48571e-10	
338.844	2.48868e-10	
342.768	2.49156e-10	
346.737	2.49458e-10	
350.752	2.49752e-10	
354.813	2.5006e-10	
358.922	2.5036e-10	
363.078	2.50673e-10	
367.282	2.5098e-10	
371.535	2.51298e-10	
375.837	2.51611e-10	
380.189	2.51935e-10	
384.592	2.52255e-10	
389.045	2.52585e-10	
393.55	2.52912e-10	
398.107	2.53248e-10	
402.717	2.53582e-10	
407.38	2.53919e-10	
412.098	2.54265e-10	
416.869	2.5461e-10	
421.697	2.54963e-10	
426.58	2.55315e-10	
431.519	2.55675e-10	
436.516	2.56035e-10	
441.57	2.56399e-10	
446.684	2.56769e-10	
451.856	2.57141e-10	
457.088	2.57519e-10	
462.381	2.57899e-10	
467.735	2.58284e-10	
473.151	2.58673e-10	
478.63	2.59066e-10	
484.172	2.59464e-10	
489.779	2.59866e-10	
495.45	2.60272e-10	
501.187	2.60683e-10	
506.991	2.61098e-10	
512.861	2.61518e-10	
518.8	2.61943e-10	
524.807	2.62372e-10	
530.884	2.62806e-10	
537.032	2.63245e-10	
543.25	2.63688e-10	
549.541	2.64137e-10	
555.904	2.64591e-10	
562.341	2.65049e-10	
568.853	2.65514e-10	
575.44	2.65984e-10	
582.103	2.66457e-10	
588.844	2.66938e-10	
595.662	2.67424e-10	
602.56	2.67916e-10	
609.537	2.68411e-10	
616.595	2.68914e-10	
623.735	2.69423e-10	
630.957	2.69935e-10	
638.263	2.70455e-10	
645.654	2.70982e-10	
653.131	2.71515e-10	
660.693	2.72051e-10	
668.344	2.72596e-10	
676.083	2.73148e-10	
683.912	2.73706e-10	
691.831	2.74267e-10	
699.842	2.74838e-10	
707.946	2.75416e-10	
716.143	2.76001e-10	
724.436	2.76588e-10	
732.825	2.77187e-10	
741.31	2.77792e-10	
749.894	2.78404e-10	
758.578	2.7902e-10	
767.361	2.79647e-10	
776.247	2.80281e-10	
785.236	2.80923e-10	
794.328	2.81568e-10	
803.526	2.82225e-10	
812.831	2.8289e-10	
822.243	2.83562e-10	
831.764	2.84243e-10	
841.395	2.84927e-10	
851.138	2.85624e-10	
860.994	2.86329e-10	
870.964	2.87042e-10	
881.049	2.87764e-10	
891.251	2.8849e-10	
901.571	2.89229e-10	
912.011	2.89977e-10	
922.571	2.90734e-10	
933.254	2.91499e-10	
944.061	2.92269e-10	
954.993	2.93053e-10	
966.051	2.93847e-10	
977.237	2.9465e-10	
988.553	2.95462e-10	
1000	2.96284e-10	
