x	tac	
15	9.59547e-10	
15.1583	9.61423e-10	
15.3183	9.63284e-10	
15.48	9.6513e-10	
15.6434	9.66962e-10	
15.8085	9.6878e-10	
15.9753	9.70583e-10	
16.1439	9.72371e-10	
16.3143	9.74146e-10	
16.4865	9.75906e-10	
16.6605	9.77652e-10	
16.8364	9.79384e-10	
17.0141	9.81102e-10	
17.1937	9.82806e-10	
17.3751	9.84496e-10	
17.5585	9.86173e-10	
17.7438	9.87835e-10	
17.9311	9.89485e-10	
18.1204	9.9112e-10	
18.3116	9.92742e-10	
18.5049	9.94351e-10	
18.7002	9.95946e-10	
18.8976	9.97528e-10	
19.097	9.99097e-10	
19.2986	1.00065e-09	
19.5023	1.0022e-09	
19.7081	1.00373e-09	
19.9161	1.00524e-09	
20.1263	1.00674e-09	
20.3388	1.00822e-09	
20.5534	1.00969e-09	
20.7704	1.01115e-09	
20.9896	1.01259e-09	
21.2111	1.01402e-09	
21.435	1.01544e-09	
21.6612	1.01685e-09	
21.8899	1.01825e-09	
22.1209	1.01963e-09	
22.3544	1.021e-09	
22.5903	1.02236e-09	
22.8288	1.02371e-09	
23.0697	1.02505e-09	
23.3132	1.02638e-09	
23.5592	1.02769e-09	
23.8079	1.02899e-09	
24.0592	1.03028e-09	
24.3131	1.03156e-09	
24.5697	1.03283e-09	
24.8291	1.03409e-09	
25.0911	1.03534e-09	
25.3559	1.03657e-09	
25.6236	1.0378e-09	
25.894	1.03901e-09	
26.1673	1.04022e-09	
26.4435	1.04141e-09	
26.7226	1.04259e-09	
27.0046	1.04376e-09	
27.2897	1.04492e-09	
27.5777	1.04607e-09	
27.8688	1.04722e-09	
28.1629	1.04835e-09	
28.4602	1.04947e-09	
28.7605	1.05058e-09	
29.0641	1.05168e-09	
29.3709	1.05277e-09	
29.6809	1.05385e-09	
29.9941	1.05492e-09	
30.3107	1.05598e-09	
30.6306	1.05703e-09	
30.9539	1.05807e-09	
31.2806	1.0591e-09	
31.6108	1.06013e-09	
31.9444	1.06114e-09	
32.2816	1.06215e-09	
32.6223	1.06314e-09	
32.9666	1.06413e-09	
33.3145	1.0651e-09	
33.6662	1.06607e-09	
34.0215	1.06703e-09	
34.3806	1.06798e-09	
34.7435	1.06892e-09	
35.1102	1.06986e-09	
35.4807	1.07078e-09	
35.8552	1.0717e-09	
36.2337	1.0726e-09	
36.6161	1.0735e-09	
37.0025	1.07439e-09	
37.3931	1.07527e-09	
37.7878	1.07615e-09	
38.1866	1.07701e-09	
38.5896	1.07787e-09	
38.9969	1.07872e-09	
39.4085	1.07956e-09	
39.8245	1.0804e-09	
40.2448	1.08122e-09	
40.6696	1.08204e-09	
41.0988	1.08285e-09	
41.5326	1.08365e-09	
41.971	1.08445e-09	
42.4139	1.08524e-09	
42.8616	1.08602e-09	
43.314	1.08679e-09	
43.7712	1.08756e-09	
44.2331	1.08831e-09	
44.7	1.08907e-09	
45.1718	1.08981e-09	
45.6486	1.09055e-09	
46.1304	1.09128e-09	
46.6172	1.092e-09	
47.1093	1.09272e-09	
47.6065	1.09343e-09	
48.109	1.09413e-09	
48.6167	1.09482e-09	
49.1299	1.09551e-09	
49.6484	1.0962e-09	
50.1724	1.09687e-09	
50.702	1.09754e-09	
51.2371	1.0982e-09	
51.7779	1.09886e-09	
52.3244	1.09951e-09	
52.8766	1.10015e-09	
53.4347	1.10079e-09	
53.9987	1.10142e-09	
54.5686	1.10205e-09	
55.1446	1.10267e-09	
55.7266	1.10328e-09	
56.3148	1.10389e-09	
56.9092	1.10449e-09	
57.5098	1.10509e-09	
58.1168	1.10568e-09	
58.7302	1.10626e-09	
59.3501	1.10684e-09	
59.9765	1.10741e-09	
60.6095	1.10798e-09	
61.2492	1.10854e-09	
61.8957	1.1091e-09	
62.549	1.10965e-09	
63.2092	1.1102e-09	
63.8763	1.11074e-09	
64.5505	1.11127e-09	
65.2318	1.1118e-09	
65.9203	1.11233e-09	
66.616	1.11284e-09	
67.3192	1.11336e-09	
68.0297	1.11387e-09	
68.7477	1.11437e-09	
69.4733	1.11487e-09	
70.2066	1.11537e-09	
70.9476	1.11586e-09	
71.6964	1.11634e-09	
72.4531	1.11682e-09	
73.2178	1.1173e-09	
73.9906	1.11777e-09	
74.7715	1.11823e-09	
75.5607	1.11869e-09	
76.3582	1.11915e-09	
77.1642	1.1196e-09	
77.9786	1.12005e-09	
78.8016	1.12049e-09	
