x	tac	
10	6.43142e-26	
10.1158	4.66579e-26	
10.2329	3.37207e-26	
10.3514	2.42774e-26	
10.4713	1.7411e-26	
10.5925	1.24377e-26	
10.7152	8.84979e-27	
10.8393	6.27167e-27	
10.9648	4.4266e-27	
11.0917	3.11153e-27	
11.2202	2.17808e-27	
11.3501	1.51828e-27	
11.4815	1.05386e-27	
11.6145	7.28364e-28	
11.749	5.01219e-28	
11.885	3.43398e-28	
12.0226	2.34227e-28	
12.1619	1.59047e-28	
12.3027	1.07507e-28	
12.4451	7.23356e-29	
12.5893	4.84448e-29	
12.735	3.22923e-29	
12.8825	2.14232e-29	
13.0317	1.41442e-29	
13.1826	9.29307e-30	
13.3352	6.07577e-30	
13.4896	3.95258e-30	
13.6458	2.55842e-30	
13.8038	1.6476e-30	
13.9637	1.05558e-30	
14.1254	6.72774e-31	
14.2889	4.26537e-31	
14.4544	2.68985e-31	
14.6218	1.68716e-31	
14.7911	1.05249e-31	
14.9624	6.52951e-32	
15.1356	4.02828e-32	
15.3109	2.4712e-32	
15.4882	1.50735e-32	
15.6675	9.14141e-33	
15.8489	5.51157e-33	
16.0325	3.30347e-33	
16.2181	1.9682e-33	
16.4059	1.16558e-33	
16.5959	6.86059e-34	
16.788	4.01322e-34	
16.9824	2.33296e-34	
17.1791	1.34764e-34	
17.378	7.73497e-35	
17.5792	4.41095e-35	
17.7828	2.49897e-35	
17.9887	1.40641e-35	
18.197	7.8624e-36	
18.4077	4.36569e-36	
18.6209	2.40754e-36	
18.8365	1.31851e-36	
19.0546	7.17041e-37	
19.2752	3.8719e-37	
19.4984	2.07581e-37	
19.7242	1.10484e-37	
19.9526	5.83739e-38	
20.1837	3.06136e-38	
20.4174	1.59348e-38	
20.6538	8.23145e-39	
20.893	4.21957e-39	
21.1349	2.14626e-39	
21.3796	1.08313e-39	
21.6272	5.42281e-40	
21.8776	2.69322e-40	
22.1309	1.32673e-40	
22.3872	6.48216e-41	
22.6464	3.14078e-41	
22.9087	1.50902e-41	
23.1739	7.18872e-42	
23.4423	3.39519e-42	
23.7137	1.5896e-42	
23.9883	7.37703e-43	
24.2661	3.39312e-43	
24.5471	1.54667e-43	
24.8313	6.98602e-44	
25.1189	3.12645e-44	
25.4097	1.38617e-44	
25.704	6.088e-45	
26.0016	2.6484e-45	
26.3027	1.14102e-45	
26.6073	4.86802e-46	
26.9153	2.05644e-46	
27.227	8.60067e-47	
27.5423	3.56084e-47	
27.8612	1.45923e-47	
28.1838	5.91832e-48	
28.5102	2.37531e-48	
28.8403	9.43279e-49	
29.1743	3.70597e-49	
29.5121	1.4403e-49	
29.8538	5.53658e-50	
30.1995	2.10479e-50	
30.5492	7.91226e-51	
30.903	2.94077e-51	
31.2608	1.08052e-51	
31.6228	3.92424e-52	
31.989	1.40856e-52	
32.3594	4.99611e-53	
32.7341	1.75091e-53	
33.1131	6.06196e-54	
33.4965	2.07308e-54	
33.8844	7.00187e-55	
34.2768	2.3353e-55	
34.6737	7.6902e-56	
35.0752	2.49998e-56	
35.4813	8.02187e-57	
35.8922	2.54031e-57	
36.3078	7.93792e-58	
36.7282	2.44718e-58	
37.1535	7.44216e-59	
37.5837	2.23221e-59	
38.0189	6.60248e-60	
38.4592	1.9255e-60	
38.9045	5.53571e-61	
39.355	1.56865e-61	
39.8107	4.38053e-62	
40.2717	1.20533e-62	
40.738	3.26726e-63	
41.2098	8.72346e-64	
41.6869	2.29375e-64	
42.1697	5.93848e-65	
42.658	1.51356e-65	
43.1519	3.79703e-66	
43.6516	9.37398e-67	
44.157	2.27699e-67	
44.6684	5.44095e-68	
45.1856	1.27874e-68	
