x	tac	
10	4.54684e-12	
10.1158	4.55897e-12	
10.2329	4.571e-12	
10.3514	4.58294e-12	
10.4713	4.59478e-12	
10.5925	4.60652e-12	
10.7152	4.61817e-12	
10.8393	4.62972e-12	
10.9648	4.64118e-12	
11.0917	4.65254e-12	
11.2202	4.66381e-12	
11.3501	4.67498e-12	
11.4815	4.68606e-12	
11.6145	4.69705e-12	
11.749	4.70794e-12	
11.885	4.71874e-12	
12.0226	4.72945e-12	
12.1619	4.74006e-12	
12.3027	4.75059e-12	
12.4451	4.76102e-12	
12.5893	4.77137e-12	
12.735	4.78162e-12	
12.8825	4.79178e-12	
13.0317	4.80186e-12	
13.1826	4.81185e-12	
13.3352	4.82174e-12	
13.4896	4.83155e-12	
13.6458	4.84128e-12	
13.8038	4.85092e-12	
13.9637	4.86047e-12	
14.1254	4.86993e-12	
14.2889	4.87931e-12	
14.4544	4.88861e-12	
14.6218	4.89782e-12	
14.7911	4.90695e-12	
14.9624	4.91599e-12	
15.1356	4.92495e-12	
15.3109	4.93383e-12	
15.4882	4.94263e-12	
15.6675	4.95135e-12	
15.8489	4.95999e-12	
16.0325	4.96854e-12	
16.2181	4.97702e-12	
16.4059	4.98542e-12	
16.5959	4.99374e-12	
16.788	5.00198e-12	
16.9824	5.01014e-12	
17.1791	5.01823e-12	
17.378	5.02624e-12	
17.5792	5.03418e-12	
17.7828	5.04204e-12	
17.9887	5.04983e-12	
18.197	5.05754e-12	
18.4077	5.06517e-12	
18.6209	5.07274e-12	
18.8365	5.08023e-12	
19.0546	5.08765e-12	
19.2752	5.095e-12	
19.4984	5.10228e-12	
19.7242	5.10948e-12	
19.9526	5.11662e-12	
20.1837	5.12369e-12	
20.4174	5.13069e-12	
20.6538	5.1376e-12	
20.893	5.14448e-12	
21.1349	5.15128e-12	
21.3796	5.15801e-12	
21.6272	5.16467e-12	
21.8776	5.17127e-12	
22.1309	5.1778e-12	
22.3872	5.18427e-12	
22.6464	5.19067e-12	
22.9087	5.19701e-12	
23.1739	5.20329e-12	
23.4423	5.2095e-12	
23.7137	5.21565e-12	
23.9883	5.22174e-12	
24.2661	5.22777e-12	
24.5471	5.23374e-12	
24.8313	5.23965e-12	
25.1189	5.2455e-12	
25.4097	5.25129e-12	
25.704	5.25702e-12	
26.0016	5.2627e-12	
26.3027	5.26832e-12	
26.6073	5.27388e-12	
26.9153	5.27938e-12	
27.227	5.28483e-12	
27.5423	5.29022e-12	
27.8612	5.29556e-12	
28.1838	5.30084e-12	
28.5102	5.30607e-12	
28.8403	5.31124e-12	
29.1743	5.31636e-12	
29.5121	5.32143e-12	
29.8538	5.32645e-12	
30.1995	5.33141e-12	
30.5492	5.33633e-12	
30.903	5.34119e-12	
31.2608	5.346e-12	
31.6228	5.35077e-12	
31.989	5.35548e-12	
32.3594	5.36015e-12	
32.7341	5.36476e-12	
33.1131	5.36933e-12	
33.4965	5.37385e-12	
33.8844	5.37832e-12	
34.2768	5.38275e-12	
34.6737	5.38713e-12	
35.0752	5.39147e-12	
35.4813	5.39576e-12	
35.8922	5.4e-12	
36.3078	5.4042e-12	
36.7282	5.40836e-12	
37.1535	5.41247e-12	
37.5837	5.41654e-12	
38.0189	5.42056e-12	
38.4592	5.42455e-12	
38.9045	5.42849e-12	
39.355	5.43239e-12	
39.8107	5.43625e-12	
40.2717	5.44006e-12	
40.738	5.44384e-12	
41.2098	5.44758e-12	
41.6869	5.45128e-12	
42.1697	5.45493e-12	
42.658	5.45855e-12	
43.1519	5.46213e-12	
43.6516	5.46568e-12	
44.157	5.46918e-12	
44.6684	5.47265e-12	
45.1856	5.47608e-12	
45.7088	5.47947e-12	
46.2381	5.48283e-12	
46.7735	5.48615e-12	
47.3151	5.48944e-12	
47.863	5.49269e-12	
48.4172	5.4959e-12	
48.9779	5.49908e-12	
49.545	5.50223e-12	
50.1187	5.50534e-12	
50.6991	5.50842e-12	
51.2861	5.51145e-12	
51.88	5.51446e-12	
52.4807	5.51743e-12	
53.0884	5.52037e-12	
53.7032	5.52328e-12	
54.325	5.52615e-12	
54.9541	5.529e-12	
55.5904	5.53181e-12	
56.2341	5.5346e-12	
56.8853	5.53735e-12	
57.544	5.54008e-12	
58.2103	5.54277e-12	
58.8844	5.54544e-12	
59.5662	5.54808e-12	
60.256	5.55068e-12	
60.9537	5.55326e-12	
61.6595	5.55582e-12	
62.3735	5.55834e-12	
63.0957	5.56084e-12	
63.8263	5.56331e-12	
64.5654	5.56575e-12	
65.3131	5.56816e-12	
66.0693	5.57056e-12	
66.8344	5.57292e-12	
67.6083	5.57526e-12	
68.3912	5.57757e-12	
69.1831	5.57986e-12	
69.9842	5.58212e-12	
70.7946	5.58436e-12	
71.6143	5.58657e-12	
72.4436	5.58876e-12	
73.2825	5.59092e-12	
74.131	5.59306e-12	
74.9894	5.59518e-12	
75.8578	5.59727e-12	
76.7361	5.59934e-12	
77.6247	5.60139e-12	
78.5236	5.60342e-12	
79.4328	5.60542e-12	
80.3526	5.6074e-12	
81.2831	5.60936e-12	
82.2243	5.6113e-12	
83.1764	5.61322e-12	
84.1395	6.49271e-08	
85.1138	7.79421e-09	
86.0994	3.26319e-09	
87.0964	1.87945e-09	
88.1049	1.26316e-09	
89.1251	9.31168e-10	
90.1571	7.30214e-10	
91.2011	5.98571e-10	
92.2571	5.07233e-10	
93.3254	4.41036e-10	
94.4061	3.91387e-10	
95.4993	3.53104e-10	
96.6051	3.37221e-10	
97.7237	3.1019e-10	
98.8553	2.88285e-10	
100	2.70257e-10	
101.158	2.62443e-10	
102.329	2.48662e-10	
103.514	2.36969e-10	
104.713	2.3182e-10	
105.925	2.22543e-10	
107.152	2.14496e-10	
108.393	2.1091e-10	
109.648	2.04347e-10	
110.917	1.98566e-10	
112.202	1.95961e-10	
113.501	1.91142e-10	
114.815	1.8896e-10	
116.145	1.84895e-10	
117.49	1.83048e-10	
118.85	1.7959e-10	
120.226	1.78016e-10	
121.619	1.76519e-10	
123.027	1.73697e-10	
124.451	1.72403e-10	
125.893	1.69964e-10	
127.35	1.68846e-10	
128.825	1.67778e-10	
130.317	1.65741e-10	
131.826	1.64812e-10	
133.352	1.63924e-10	
134.896	1.62211e-10	
136.458	1.61431e-10	
138.038	1.60681e-10	
139.637	1.59968e-10	
141.254	1.5858e-10	
142.889	1.57946e-10	
144.544	1.57338e-10	
146.218	1.56756e-10	
147.911	1.55621e-10	
149.624	1.55102e-10	
151.356	1.54605e-10	
153.109	1.54126e-10	
154.882	1.53666e-10	
156.675	1.53224e-10	
158.489	1.528e-10	
160.325	1.52393e-10	
162.181	1.51997e-10	
164.059	1.51224e-10	
165.959	1.50877e-10	
167.88	1.50541e-10	
169.824	1.50219e-10	
171.791	1.49909e-10	
173.78	1.49608e-10	
175.792	1.49322e-10	
177.828	1.49048e-10	
179.887	1.48782e-10	
181.97	1.48529e-10	
184.077	1.48282e-10	
186.209	1.48304e-10	
188.365	1.48071e-10	
190.546	1.47843e-10	
192.752	1.47627e-10	
194.984	1.47415e-10	
197.242	1.47219e-10	
199.526	1.47026e-10	
201.837	1.46844e-10	
204.174	1.46669e-10	
206.538	1.46688e-10	
208.93	1.46517e-10	
211.349	1.4636e-10	
213.796	1.46203e-10	
216.272	1.46055e-10	
218.776	1.45913e-10	
221.309	1.45929e-10	
223.872	1.45797e-10	
226.464	1.45668e-10	
229.087	1.45547e-10	
231.739	1.45561e-10	
234.423	1.45444e-10	
237.137	1.45333e-10	
239.883	1.45229e-10	
242.661	1.45241e-10	
245.471	1.4514e-10	
248.313	1.45048e-10	
251.189	1.45059e-10	
254.097	1.4497e-10	
257.04	1.44884e-10	
260.016	1.44894e-10	
263.027	1.44813e-10	
266.073	1.44737e-10	
269.153	1.44746e-10	
272.27	1.44673e-10	
275.423	1.44607e-10	
278.612	1.44615e-10	
281.838	1.44552e-10	
285.102	1.44492e-10	
288.403	1.44498e-10	
291.743	1.44443e-10	
295.121	1.44448e-10	
298.538	1.44396e-10	
301.995	1.44348e-10	
305.492	1.44353e-10	
309.03	1.44306e-10	
312.608	1.44309e-10	
316.228	1.44267e-10	
319.89	1.4427e-10	
323.594	1.44232e-10	
327.341	1.44234e-10	
331.131	1.44195e-10	
334.965	1.44196e-10	
338.844	1.44164e-10	
342.768	1.44164e-10	
346.737	1.44129e-10	
350.752	1.44128e-10	
354.813	1.441e-10	
358.922	1.44098e-10	
363.078	1.44071e-10	
367.282	1.44068e-10	
371.535	1.44042e-10	
375.837	1.44038e-10	
380.189	1.44016e-10	
384.592	1.44011e-10	
389.045	1.43988e-10	
393.55	1.43982e-10	
398.107	1.4396e-10	
402.717	1.43954e-10	
407.38	1.43946e-10	
412.098	1.43926e-10	
416.869	1.43918e-10	
421.697	1.43903e-10	
426.58	1.43894e-10	
431.519	1.43874e-10	
436.516	1.43864e-10	
441.57	1.43853e-10	
446.684	1.43833e-10	
451.856	1.43821e-10	
457.088	1.43808e-10	
462.381	1.43795e-10	
467.735	1.43781e-10	
473.151	1.43761e-10	
478.63	1.43746e-10	
484.172	1.43731e-10	
489.779	1.43714e-10	
495.45	1.43697e-10	
501.187	1.4368e-10	
506.991	1.43663e-10	
512.861	1.43644e-10	
518.8	1.43625e-10	
524.807	1.43606e-10	
530.884	1.43585e-10	
537.032	1.43564e-10	
543.25	1.43541e-10	
549.541	1.43518e-10	
555.904	1.43495e-10	
562.341	1.43472e-10	
568.853	1.43447e-10	
575.44	1.43421e-10	
582.103	1.43399e-10	
588.844	1.43371e-10	
595.662	1.43343e-10	
602.56	1.43314e-10	
609.537	1.43287e-10	
616.595	1.43256e-10	
623.735	1.43224e-10	
630.957	1.43197e-10	
638.263	1.43164e-10	
645.654	1.43129e-10	
653.131	1.43094e-10	
660.693	1.43063e-10	
668.344	1.43025e-10	
676.083	1.42987e-10	
683.912	1.42948e-10	
691.831	1.42914e-10	
699.842	1.42873e-10	
707.946	1.4283e-10	
716.143	1.42787e-10	
724.436	1.42746e-10	
732.825	1.427e-10	
741.31	1.42653e-10	
749.894	1.42605e-10	
758.578	1.42559e-10	
767.361	1.42509e-10	
776.247	1.42457e-10	
785.236	1.42404e-10	
794.328	1.42359e-10	
803.526	1.42303e-10	
812.831	1.42247e-10	
822.243	1.42189e-10	
831.764	1.4213e-10	
841.395	1.42074e-10	
851.138	1.42012e-10	
860.994	1.41948e-10	
870.964	1.41883e-10	
881.049	1.41816e-10	
891.251	1.41752e-10	
901.571	1.41682e-10	
912.011	1.41611e-10	
922.571	1.41538e-10	
933.254	1.41464e-10	
944.061	1.41392e-10	
954.993	1.41314e-10	
966.051	1.41234e-10	
977.237	1.41153e-10	
988.553	1.4107e-10	
1000	1.40984e-10	
