x	tac	
10	3.50666e-10	
10.1158	3.51758e-10	
10.2329	3.52843e-10	
10.3514	3.53919e-10	
10.4713	3.54988e-10	
10.5925	3.56048e-10	
10.7152	3.57101e-10	
10.8393	3.58146e-10	
10.9648	3.59183e-10	
11.0917	3.60212e-10	
11.2202	3.61234e-10	
11.3501	3.62247e-10	
11.4815	3.63253e-10	
11.6145	3.64251e-10	
11.749	3.65241e-10	
11.885	3.66224e-10	
12.0226	3.67198e-10	
12.1619	3.68166e-10	
12.3027	3.69125e-10	
12.4451	3.70077e-10	
12.5893	3.71021e-10	
12.735	3.71958e-10	
12.8825	3.72887e-10	
13.0317	3.73808e-10	
13.1826	3.74723e-10	
13.3352	3.75629e-10	
13.4896	3.76528e-10	
13.6458	3.7742e-10	
13.8038	3.78304e-10	
13.9637	3.79181e-10	
14.1254	3.80051e-10	
14.2889	3.80913e-10	
14.4544	3.81769e-10	
14.6218	3.82616e-10	
14.7911	3.83457e-10	
14.9624	3.84291e-10	
15.1356	3.85117e-10	
15.3109	3.85937e-10	
15.4882	3.86749e-10	
15.6675	3.87554e-10	
15.8489	3.88352e-10	
16.0325	3.89144e-10	
16.2181	3.89928e-10	
16.4059	3.90706e-10	
16.5959	3.91477e-10	
16.788	3.92241e-10	
16.9824	3.92998e-10	
17.1791	3.93748e-10	
17.378	3.94492e-10	
17.5792	3.95229e-10	
17.7828	3.9596e-10	
17.9887	3.96684e-10	
18.197	3.97401e-10	
18.4077	3.98112e-10	
18.6209	3.98817e-10	
18.8365	3.99515e-10	
19.0546	4.00206e-10	
19.2752	4.00892e-10	
19.4984	4.01571e-10	
19.7242	4.02244e-10	
19.9526	4.02911e-10	
20.1837	4.03571e-10	
20.4174	4.04224e-10	
20.6538	4.04874e-10	
20.893	4.05516e-10	
21.1349	4.06153e-10	
21.3796	4.06783e-10	
21.6272	4.07407e-10	
21.8776	4.08026e-10	
22.1309	4.08639e-10	
22.3872	4.09246e-10	
22.6464	4.09847e-10	
22.9087	4.10442e-10	
23.1739	4.11032e-10	
23.4423	4.11616e-10	
23.7137	4.12195e-10	
23.9883	4.12768e-10	
24.2661	4.13335e-10	
24.5471	4.13898e-10	
24.8313	4.14454e-10	
25.1189	4.15005e-10	
25.4097	4.15551e-10	
25.704	4.16092e-10	
26.0016	4.16627e-10	
26.3027	4.17158e-10	
26.6073	4.17683e-10	
26.9153	4.18203e-10	
27.227	4.18717e-10	
27.5423	4.19227e-10	
27.8612	4.19732e-10	
28.1838	4.20232e-10	
28.5102	4.20726e-10	
28.8403	4.21216e-10	
29.1743	4.21701e-10	
29.5121	4.22182e-10	
29.8538	4.22657e-10	
30.1995	4.23128e-10	
30.5492	4.23594e-10	
30.903	4.24055e-10	
31.2608	4.24512e-10	
31.6228	4.24964e-10	
31.989	4.25412e-10	
32.3594	4.25855e-10	
32.7341	4.26294e-10	
33.1131	4.26728e-10	
33.4965	4.27158e-10	
33.8844	4.27584e-10	
34.2768	4.28005e-10	
34.6737	4.28422e-10	
35.0752	4.28834e-10	
35.4813	4.29243e-10	
35.8922	4.29647e-10	
36.3078	4.30048e-10	
36.7282	4.30444e-10	
37.1535	4.30836e-10	
37.5837	4.31224e-10	
38.0189	4.31608e-10	
38.4592	4.31988e-10	
38.9045	4.32365e-10	
39.355	4.32737e-10	
39.8107	4.33105e-10	
40.2717	4.3347e-10	
40.738	4.33831e-10	
41.2098	4.34188e-10	
41.6869	4.34542e-10	
42.1697	4.34892e-10	
42.658	4.35238e-10	
43.1519	4.35581e-10	
43.6516	4.3592e-10	
44.157	4.36255e-10	
44.6684	4.36587e-10	
45.1856	4.36916e-10	
45.7088	4.37241e-10	
46.2381	4.37563e-10	
46.7735	4.37881e-10	
47.3151	4.38196e-10	
47.863	4.38508e-10	
48.4172	4.38816e-10	
48.9779	4.39121e-10	
49.545	4.39423e-10	
50.1187	4.39722e-10	
50.6991	4.40017e-10	
51.2861	4.40309e-10	
51.88	4.40598e-10	
52.4807	4.40884e-10	
53.0884	4.41166e-10	
53.7032	4.41446e-10	
54.325	4.41723e-10	
54.9541	4.41997e-10	
55.5904	4.42268e-10	
56.2341	4.42536e-10	
56.8853	4.42798e-10	
57.544	4.43063e-10	
58.2103	4.43323e-10	
58.8844	4.43579e-10	
59.5662	4.43833e-10	
60.256	4.44085e-10	
60.9537	4.44333e-10	
61.6595	4.44579e-10	
62.3735	4.44823e-10	
63.0957	4.45064e-10	
63.8263	4.45302e-10	
64.5654	4.45537e-10	
65.3131	4.4577e-10	
66.0693	4.46001e-10	
66.8344	4.46229e-10	
67.6083	4.46455e-10	
68.3912	4.46678e-10	
69.1831	4.46899e-10	
69.9842	4.47117e-10	
70.7946	4.47334e-10	
71.6143	4.47547e-10	
72.4436	4.47759e-10	
73.2825	4.47968e-10	
74.131	4.48175e-10	
74.9894	4.4838e-10	
75.8578	4.48582e-10	
76.7361	4.48782e-10	
77.6247	4.4898e-10	
78.5236	4.49176e-10	
79.4328	4.4937e-10	
80.3526	4.49562e-10	
81.2831	4.49751e-10	
82.2243	4.49939e-10	
83.1764	4.50125e-10	
84.1395	6.26171e-07	
85.1138	7.45501e-08	
86.0994	3.08256e-08	
87.0964	1.74773e-08	
88.1049	1.15346e-08	
89.1251	8.33418e-09	
90.1571	6.39748e-09	
91.2011	5.12894e-09	
92.2571	4.24896e-09	
93.3254	3.61128e-09	
94.4061	3.13305e-09	
95.4993	2.76431e-09	
96.6051	2.61092e-09	
97.7237	2.35062e-09	
98.8553	2.13954e-09	
100	1.96576e-09	
101.158	1.89028e-09	
102.329	1.7573e-09	
103.514	1.64454e-09	
104.713	1.59456e-09	
105.925	1.50494e-09	
107.152	1.42728e-09	
108.393	1.39233e-09	
109.648	1.32884e-09	
110.917	1.2729e-09	
112.202	1.24743e-09	
113.501	1.20069e-09	
114.815	1.17928e-09	
116.145	1.1398e-09	
117.49	1.12161e-09	
118.85	1.08796e-09	
120.226	1.07237e-09	
121.619	1.05754e-09	
123.027	1.02998e-09	
124.451	1.01714e-09	
125.893	9.93209e-10	
127.35	9.82012e-10	
128.825	9.71301e-10	
130.317	9.51312e-10	
131.826	9.41895e-10	
133.352	9.32865e-10	
134.896	9.16007e-10	
136.458	9.08023e-10	
138.038	9.00347e-10	
139.637	8.92963e-10	
141.254	8.79183e-10	
142.889	8.72612e-10	
