x	tac	
15	7.788e-10	
15.1583	7.80322e-10	
15.3183	7.81826e-10	
15.48	7.83324e-10	
15.6434	7.84809e-10	
15.8085	7.86283e-10	
15.9753	7.87746e-10	
16.1439	7.89197e-10	
16.3143	7.90636e-10	
16.4865	7.92063e-10	
16.6605	7.9348e-10	
16.8364	7.94884e-10	
17.0141	7.96278e-10	
17.1937	7.9766e-10	
17.3751	7.99031e-10	
17.5585	8.00391e-10	
17.7438	8.01739e-10	
17.9311	8.03077e-10	
18.1204	8.04403e-10	
18.3116	8.05719e-10	
18.5049	8.07024e-10	
18.7002	8.08317e-10	
18.8976	8.09601e-10	
19.097	8.10873e-10	
19.2986	8.12135e-10	
19.5023	8.13386e-10	
19.7081	8.14627e-10	
19.9161	8.15857e-10	
20.1263	8.17077e-10	
20.3388	8.18286e-10	
20.5534	8.19486e-10	
20.7704	8.20676e-10	
20.9896	8.21855e-10	
21.2111	8.23024e-10	
21.435	8.24183e-10	
21.6612	8.25332e-10	
21.8899	8.26471e-10	
22.1209	8.27601e-10	
22.3544	8.2872e-10	
22.5903	8.29831e-10	
22.8288	8.30931e-10	
23.0697	8.32022e-10	
23.3132	8.33103e-10	
23.5592	8.34175e-10	
23.8079	8.35238e-10	
24.0592	8.36291e-10	
24.3131	8.37335e-10	
24.5697	8.3837e-10	
24.8291	8.39396e-10	
25.0911	8.40412e-10	
25.3559	8.4142e-10	
25.6236	8.42419e-10	
25.894	8.43409e-10	
26.1673	8.4439e-10	
26.4435	8.45362e-10	
26.7226	8.46326e-10	
27.0046	8.47281e-10	
27.2897	8.48228e-10	
27.5777	8.49166e-10	
27.8688	8.50096e-10	
28.1629	8.51017e-10	
28.4602	8.5193e-10	
28.7605	8.52835e-10	
29.0641	8.53731e-10	
29.3709	8.5462e-10	
29.6809	8.555e-10	
29.9941	8.56373e-10	
30.3107	8.57237e-10	
30.6306	8.58094e-10	
30.9539	8.58943e-10	
31.2806	8.59784e-10	
31.6108	8.60617e-10	
31.9444	8.61443e-10	
32.2816	8.62261e-10	
32.6223	8.63072e-10	
32.9666	8.63875e-10	
33.3145	8.64671e-10	
33.6662	8.65459e-10	
34.0215	8.66241e-10	
34.3806	8.67015e-10	
34.7435	8.67781e-10	
35.1102	8.68541e-10	
35.4807	8.69294e-10	
35.8552	8.70039e-10	
36.2337	8.70778e-10	
36.6161	8.7151e-10	
37.0025	8.72235e-10	
37.3931	8.72953e-10	
37.7878	8.73665e-10	
38.1866	8.74369e-10	
38.5896	8.75068e-10	
38.9969	8.75759e-10	
39.4085	8.76444e-10	
39.8245	8.77123e-10	
40.2448	8.77795e-10	
40.6696	8.78461e-10	
41.0988	8.79121e-10	
41.5326	8.79783e-10	
41.971	8.8043e-10	
42.4139	8.81063e-10	
42.8616	8.81752e-10	
43.314	8.82327e-10	
43.7712	8.8295e-10	
44.2331	8.83567e-10	
44.7	8.84179e-10	
45.1718	8.84784e-10	
45.6486	8.85384e-10	
46.1304	8.85978e-10	
46.6172	8.86566e-10	
47.1093	8.87149e-10	
47.6065	8.87726e-10	
48.109	8.88297e-10	
48.6167	8.88863e-10	
49.1299	8.89424e-10	
49.6484	8.89979e-10	
50.1724	8.90529e-10	
50.702	8.91073e-10	
51.2371	8.91611e-10	
51.7779	8.92143e-10	
52.3244	8.92671e-10	
52.8766	8.93194e-10	
53.4347	8.93711e-10	
53.9987	8.94224e-10	
54.5686	8.94732e-10	
55.1446	8.95234e-10	
55.7266	8.95732e-10	
