x	tac	
10	1.49127e-09	
10.225	1.50021e-09	
10.45	1.50883e-09	
10.675	1.51716e-09	
10.9	1.5252e-09	
11.125	1.53297e-09	
11.35	1.54049e-09	
11.575	1.54776e-09	
11.8	1.5548e-09	
12.025	1.56161e-09	
12.25	1.56821e-09	
12.475	1.57462e-09	
12.7	1.58083e-09	
12.925	1.58685e-09	
13.15	1.5927e-09	
13.375	1.59838e-09	
13.6	1.6039e-09	
13.825	1.60926e-09	
14.05	1.61447e-09	
14.275	1.61955e-09	
14.5	1.62448e-09	
14.725	1.62929e-09	
14.95	1.63397e-09	
15.175	1.63853e-09	
15.4	1.64297e-09	
15.625	1.6473e-09	
15.85	1.65152e-09	
16.075	1.65564e-09	
16.3	1.65966e-09	
16.525	1.66358e-09	
16.75	1.66741e-09	
16.975	1.67115e-09	
17.2	1.6748e-09	
17.425	1.67837e-09	
17.65	1.68185e-09	
17.875	1.68526e-09	
18.1	1.68859e-09	
18.325	1.69186e-09	
18.55	1.69505e-09	
18.775	1.69817e-09	
19	1.70122e-09	
19.225	1.70421e-09	
19.45	1.70714e-09	
19.675	1.71001e-09	
19.9	1.71282e-09	
20.125	1.71557e-09	
20.35	1.71827e-09	
20.575	1.72092e-09	
20.8	1.72351e-09	
21.025	1.72606e-09	
21.25	1.72855e-09	
21.475	1.731e-09	
21.7	1.7334e-09	
21.925	1.73576e-09	
22.15	1.73807e-09	
22.375	1.74034e-09	
22.6	1.74257e-09	
22.825	1.74476e-09	
23.05	1.74691e-09	
23.275	1.74918e-09	
23.5	1.75125e-09	
23.725	1.75329e-09	
23.95	1.7553e-09	
24.175	1.75727e-09	
24.4	1.7592e-09	
24.625	1.76111e-09	
24.85	1.76298e-09	
25.075	1.76482e-09	
25.3	1.76663e-09	
25.525	1.76842e-09	
25.75	1.77017e-09	
25.975	1.77189e-09	
26.2	1.77359e-09	
26.425	1.77526e-09	
26.65	1.77691e-09	
26.875	1.77853e-09	
27.1	1.78012e-09	
27.325	1.78169e-09	
27.55	1.78324e-09	
27.775	1.78476e-09	
28	1.78626e-09	
28.225	1.78774e-09	
28.45	1.7892e-09	
28.675	1.79063e-09	
28.9	1.79205e-09	
29.125	1.79344e-09	
29.35	1.79482e-09	
29.575	1.79617e-09	
29.8	1.79751e-09	
30.025	1.79883e-09	
30.25	1.80013e-09	
30.475	1.80141e-09	
30.7	1.80268e-09	
30.925	1.80392e-09	
31.15	1.80517e-09	
31.375	1.80639e-09	
31.6	1.80759e-09	
31.825	1.80877e-09	
32.05	1.80994e-09	
32.275	1.81109e-09	
32.5	1.81223e-09	
32.725	1.81335e-09	
32.95	1.81446e-09	
33.175	1.81556e-09	
33.4	1.81664e-09	
33.625	1.81771e-09	
33.85	1.81876e-09	
34.075	1.8198e-09	
34.3	1.82083e-09	
34.525	1.82185e-09	
34.75	1.82285e-09	
34.975	1.82384e-09	
35.2	1.82482e-09	
35.425	1.82579e-09	
35.65	1.82675e-09	
35.875	1.82769e-09	
36.1	1.82863e-09	
36.325	1.82955e-09	
36.55	1.83046e-09	
36.775	1.83137e-09	
37	1.83226e-09	
37.225	1.83314e-09	
37.45	1.83401e-09	
37.675	1.83487e-09	
37.9	1.83573e-09	
38.125	1.83657e-09	
38.35	1.8374e-09	
38.575	1.83823e-09	
38.8	1.83905e-09	
39.025	1.83985e-09	
39.25	1.84065e-09	
39.475	1.84144e-09	
39.7	1.84222e-09	
39.925	1.843e-09	
40.15	1.84376e-09	
40.375	1.84452e-09	
40.6	1.84527e-09	
40.825	1.84601e-09	
41.05	1.84675e-09	
41.275	1.84747e-09	
41.5	1.84819e-09	
41.725	1.8489e-09	
41.95	1.84961e-09	
42.175	1.85031e-09	
42.4	1.851e-09	
42.625	1.85168e-09	
42.85	1.85236e-09	
43.075	1.85303e-09	
43.3	1.85369e-09	
43.525	1.85435e-09	
43.75	1.855e-09	
43.975	1.85564e-09	
44.2	1.85628e-09	
44.425	1.85691e-09	
44.65	1.85754e-09	
44.875	1.85816e-09	
45.1	1.85878e-09	
45.325	1.85939e-09	
45.55	1.85999e-09	
45.775	1.86059e-09	
46	1.86118e-09	
46.225	1.86176e-09	
46.45	1.86235e-09	
46.675	1.86292e-09	
46.9	1.86349e-09	
47.125	1.86406e-09	
47.35	1.86462e-09	
47.575	1.86518e-09	
47.8	1.86573e-09	
48.025	1.86627e-09	
48.25	1.86681e-09	
48.475	1.86735e-09	
48.7	1.86788e-09	
48.925	1.86841e-09	
49.15	1.86893e-09	
49.375	1.86945e-09	
49.6	1.86996e-09	
49.825	1.87047e-09	
50.05	1.87098e-09	
50.275	1.87148e-09	
50.5	1.87197e-09	
50.725	1.87247e-09	
50.95	1.87296e-09	
51.175	1.87344e-09	
51.4	1.87392e-09	
51.625	1.8744e-09	
51.85	1.87487e-09	
52.075	1.87534e-09	
52.3	1.8758e-09	
52.525	1.87626e-09	
52.75	1.87672e-09	
52.975	1.87717e-09	
53.2	1.87762e-09	
53.425	1.87807e-09	
53.65	1.87851e-09	
53.875	1.87895e-09	
54.1	1.87939e-09	
54.325	1.87982e-09	
54.55	1.88025e-09	
54.775	1.88068e-09	
55	1.8811e-09	
55.225	1.88152e-09	
55.45	1.88194e-09	
55.675	1.88235e-09	
55.9	1.88276e-09	
56.125	1.88316e-09	
56.35	1.88357e-09	
56.575	1.88396e-09	
56.8	1.88436e-09	
57.025	1.88475e-09	
57.25	1.88515e-09	
57.475	1.88554e-09	
57.7	1.88593e-09	
57.925	1.88631e-09	
58.15	1.88669e-09	
58.375	1.88707e-09	
58.6	1.88745e-09	
58.825	1.88782e-09	
59.05	1.88819e-09	
59.275	1.88856e-09	
59.5	1.88892e-09	
59.725	1.88929e-09	
59.95	1.88964e-09	
60.175	1.89e-09	
60.4	1.89036e-09	
60.625	1.89071e-09	
60.85	1.89106e-09	
61.075	1.8914e-09	
61.3	1.89175e-09	
61.525	1.89209e-09	
