x	tac	
10	1.72344e-10	
10.1158	1.72888e-10	
10.2329	1.73427e-10	
10.3514	1.73963e-10	
10.4713	1.74495e-10	
10.5925	1.75023e-10	
10.7152	1.75548e-10	
10.8393	1.76069e-10	
10.9648	1.76586e-10	
11.0917	1.77099e-10	
11.2202	1.77609e-10	
11.3501	1.78114e-10	
11.4815	1.78617e-10	
11.6145	1.79115e-10	
11.749	1.7961e-10	
11.885	1.80101e-10	
12.0226	1.80589e-10	
12.1619	1.81073e-10	
12.3027	1.81553e-10	
12.4451	1.82029e-10	
12.5893	1.82502e-10	
12.735	1.82972e-10	
12.8825	1.83438e-10	
13.0317	1.839e-10	
13.1826	1.84359e-10	
13.3352	1.84814e-10	
13.4896	1.85266e-10	
13.6458	1.85714e-10	
13.8038	1.86159e-10	
13.9637	1.866e-10	
14.1254	1.87038e-10	
14.2889	1.87472e-10	
14.4544	1.87903e-10	
14.6218	1.88331e-10	
14.7911	1.88755e-10	
14.9624	1.89176e-10	
15.1356	1.89593e-10	
15.3109	1.90008e-10	
15.4882	1.90418e-10	
15.6675	1.90826e-10	
15.8489	1.9123e-10	
16.0325	1.91632e-10	
16.2181	1.92029e-10	
16.4059	1.92424e-10	
16.5959	1.92816e-10	
16.788	1.93204e-10	
16.9824	1.93589e-10	
17.1791	1.93971e-10	
17.378	1.9435e-10	
17.5792	1.94726e-10	
17.7828	1.95099e-10	
17.9887	1.95469e-10	
18.197	1.95836e-10	
18.4077	1.96199e-10	
18.6209	1.9656e-10	
18.8365	1.96918e-10	
19.0546	1.97273e-10	
19.2752	1.97625e-10	
19.4984	1.97974e-10	
19.7242	1.98321e-10	
19.9526	1.98664e-10	
20.1837	1.99005e-10	
20.4174	1.99342e-10	
20.6538	1.99677e-10	
20.893	2.0001e-10	
21.1349	2.00339e-10	
21.3796	2.00666e-10	
21.6272	2.0099e-10	
21.8776	2.01312e-10	
22.1309	2.01631e-10	
22.3872	2.01947e-10	
22.6464	2.02261e-10	
22.9087	2.02572e-10	
