x	tac	
10	1.4222e-10	
10.1158	1.42669e-10	
10.2329	1.43114e-10	
10.3514	1.43556e-10	
10.4713	1.43995e-10	
10.5925	1.44431e-10	
10.7152	1.44863e-10	
10.8393	1.45293e-10	
10.9648	1.4572e-10	
11.0917	1.46143e-10	
11.2202	1.46563e-10	
11.3501	1.46981e-10	
11.4815	1.47395e-10	
11.6145	1.47806e-10	
11.749	1.48215e-10	
11.885	1.4862e-10	
12.0226	1.49022e-10	
12.1619	1.49421e-10	
12.3027	1.49817e-10	
12.4451	1.50211e-10	
12.5893	1.50601e-10	
12.735	1.50988e-10	
12.8825	1.51372e-10	
13.0317	1.51754e-10	
13.1826	1.52132e-10	
13.3352	1.52508e-10	
13.4896	1.5288e-10	
13.6458	1.5325e-10	
13.8038	1.53617e-10	
13.9637	1.53981e-10	
14.1254	1.54342e-10	
14.2889	1.54701e-10	
14.4544	1.55056e-10	
14.6218	1.55409e-10	
14.7911	1.55759e-10	
14.9624	1.56106e-10	
15.1356	1.56451e-10	
15.3109	1.56792e-10	
15.4882	1.57131e-10	
15.6675	1.57468e-10	
15.8489	1.57801e-10	
16.0325	1.58132e-10	
16.2181	1.5846e-10	
16.4059	1.58786e-10	
16.5959	1.59109e-10	
16.788	1.59429e-10	
16.9824	1.59747e-10	
17.1791	1.60062e-10	
17.378	1.60375e-10	
17.5792	1.60685e-10	
17.7828	1.60993e-10	
17.9887	1.61298e-10	
18.197	1.616e-10	
18.4077	1.619e-10	
18.6209	1.62198e-10	
18.8365	1.62493e-10	
19.0546	1.62786e-10	
19.2752	1.63077e-10	
19.4984	1.63365e-10	
19.7242	1.6365e-10	
19.9526	1.63934e-10	
20.1837	1.64215e-10	
20.4174	1.64493e-10	
20.6538	1.6477e-10	
20.893	1.65044e-10	
21.1349	1.65316e-10	
21.3796	1.65585e-10	
21.6272	1.65853e-10	
21.8776	1.66118e-10	
22.1309	1.66381e-10	
22.3872	1.66642e-10	
22.6464	1.66901e-10	
22.9087	1.67157e-10	
23.1739	1.67412e-10	
23.4423	1.67664e-10	
23.7137	1.67915e-10	
23.9883	1.68163e-10	
24.2661	1.68409e-10	
24.5471	1.68654e-10	
24.8313	1.68896e-10	
25.1189	1.69136e-10	
25.4097	1.69375e-10	
25.704	1.69611e-10	
26.0016	1.69846e-10	
26.3027	1.70079e-10	
26.6073	1.70309e-10	
26.9153	1.70538e-10	
27.227	1.70765e-10	
27.5423	1.70991e-10	
27.8612	1.71214e-10	
28.1838	1.71436e-10	
28.5102	1.71656e-10	
28.8403	1.71874e-10	
29.1743	1.72091e-10	
29.5121	1.72305e-10	
29.8538	1.72518e-10	
30.1995	1.7273e-10	
30.5492	1.7294e-10	
30.903	1.73148e-10	
31.2608	1.73354e-10	
31.6228	1.73559e-10	
31.989	1.73763e-10	
32.3594	1.73964e-10	
32.7341	1.74165e-10	
33.1131	1.74363e-10	
33.4965	1.74561e-10	
33.8844	1.74757e-10	
34.2768	1.74951e-10	
34.6737	1.75144e-10	
35.0752	1.75335e-10	
35.4813	1.75525e-10	
35.8922	1.75714e-10	
36.3078	1.75901e-10	
36.7282	1.76087e-10	
37.1535	1.76272e-10	
37.5837	1.76455e-10	
38.0189	1.76637e-10	
38.4592	1.76818e-10	
38.9045	1.76997e-10	
39.355	1.77175e-10	
39.8107	1.77352e-10	
40.2717	1.77528e-10	
40.738	1.77703e-10	
41.2098	1.77876e-10	
41.6869	1.78048e-10	
42.1697	1.78219e-10	
42.658	1.78389e-10	
43.1519	1.78558e-10	
43.6516	1.78726e-10	
44.157	1.78893e-10	
44.6684	1.79058e-10	
45.1856	1.79223e-10	
45.7088	1.79387e-10	
46.2381	1.79549e-10	
46.7735	1.79711e-10	
47.3151	1.79872e-10	
47.863	1.80031e-10	
48.4172	1.8019e-10	
48.9779	1.80348e-10	
49.545	1.80505e-10	
50.1187	1.80661e-10	
50.6991	1.80816e-10	
51.2861	1.80971e-10	
51.88	1.81124e-10	
52.4807	1.81277e-10	
53.0884	1.81429e-10	
53.7032	1.81581e-10	
54.325	1.81731e-10	
54.9541	1.81881e-10	
55.5904	1.8203e-10	
56.2341	1.82178e-10	
56.8853	1.82325e-10	
57.544	1.82473e-10	
58.2103	1.82619e-10	
58.8844	1.82765e-10	
59.5662	1.8291e-10	
60.256	1.83054e-10	
60.9537	1.83198e-10	
61.6595	1.83341e-10	
62.3735	1.83484e-10	
63.0957	1.83626e-10	
63.8263	1.83768e-10	
64.5654	1.83909e-10	
65.3131	1.8405e-10	
66.0693	1.8419e-10	
66.8344	1.84329e-10	
67.6083	1.84469e-10	
68.3912	1.84608e-10	
69.1831	1.84746e-10	
69.9842	1.84884e-10	
70.7946	1.85022e-10	
71.6143	1.85159e-10	
72.4436	1.85296e-10	
73.2825	1.85433e-10	
74.131	1.85569e-10	
74.9894	1.85705e-10	
75.8578	1.85841e-10	
76.7361	1.85977e-10	
77.6247	1.86112e-10	
78.5236	1.86247e-10	
79.4328	1.86382e-10	
80.3526	1.86517e-10	
81.2831	1.86651e-10	
82.2243	1.86786e-10	
83.1764	1.8692e-10	
84.1395	1.87054e-10	
85.1138	1.87188e-10	
86.0994	1.87322e-10	
87.0964	1.87456e-10	
88.1049	1.8759e-10	
89.1251	1.87723e-10	
90.1571	1.87857e-10	
91.2011	1.87991e-10	
92.2571	1.88124e-10	
93.3254	1.88258e-10	
94.4061	1.88392e-10	
95.4993	1.88526e-10	
96.6051	1.8866e-10	
97.7237	1.88794e-10	
98.8553	1.88928e-10	
100	1.89062e-10	
101.158	1.89197e-10	
102.329	1.89331e-10	
103.514	1.89466e-10	
104.713	1.89601e-10	
105.925	1.89736e-10	
107.152	1.89872e-10	
108.393	1.90007e-10	
109.648	1.90143e-10	
110.917	1.9028e-10	
112.202	1.90416e-10	
113.501	1.90553e-10	
114.815	1.9069e-10	
116.145	1.90828e-10	
117.49	1.90966e-10	
118.85	1.91104e-10	
120.226	1.91243e-10	
121.619	1.91382e-10	
123.027	1.91522e-10	
124.451	1.91662e-10	
125.893	1.91803e-10	
127.35	1.91944e-10	
128.825	1.92086e-10	
130.317	1.92228e-10	
131.826	1.92371e-10	
133.352	1.92514e-10	
134.896	1.92658e-10	
136.458	1.92802e-10	
138.038	1.92948e-10	
139.637	1.93094e-10	
141.254	1.9324e-10	
142.889	1.93387e-10	
144.544	1.93536e-10	
146.218	1.93684e-10	
147.911	1.93834e-10	
149.624	1.93984e-10	
