x	tac	
10	9.97004e-19	
10.1158	9.97179e-19	
10.2329	9.97356e-19	
10.3514	9.97536e-19	
10.4713	9.97718e-19	
10.5925	9.97902e-19	
10.7152	9.98089e-19	
10.8393	9.98278e-19	
10.9648	9.98469e-19	
11.0917	9.98662e-19	
11.2202	9.98857e-19	
11.3501	9.99054e-19	
11.4815	9.99253e-19	
11.6145	9.99453e-19	
11.749	9.99655e-19	
11.885	9.99859e-19	
12.0226	1.00007e-18	
12.1619	1.00027e-18	
12.3027	1.00048e-18	
12.4451	1.00069e-18	
12.5893	1.0009e-18	
12.735	1.00112e-18	
12.8825	1.00133e-18	
13.0317	1.00155e-18	
13.1826	1.00176e-18	
13.3352	1.00198e-18	
13.4896	1.0022e-18	
13.6458	1.00242e-18	
13.8038	1.00264e-18	
13.9637	1.00287e-18	
14.1254	1.00309e-18	
14.2889	1.00331e-18	
14.4544	1.00354e-18	
14.6218	1.00377e-18	
14.7911	1.00399e-18	
14.9624	1.00422e-18	
15.1356	1.00445e-18	
15.3109	1.00468e-18	
15.4882	1.00491e-18	
15.6675	1.00514e-18	
15.8489	1.00537e-18	
16.0325	1.0056e-18	
16.2181	1.00584e-18	
16.4059	1.00607e-18	
16.5959	1.0063e-18	
16.788	1.00654e-18	
16.9824	1.00677e-18	
17.1791	1.00701e-18	
17.378	1.00725e-18	
17.5792	1.00748e-18	
17.7828	1.00772e-18	
17.9887	1.00796e-18	
18.197	1.00819e-18	
18.4077	1.00843e-18	
18.6209	1.00867e-18	
18.8365	1.00891e-18	
19.0546	1.00915e-18	
19.2752	1.00939e-18	
19.4984	1.00963e-18	
19.7242	1.00987e-18	
19.9526	1.01011e-18	
20.1837	1.01035e-18	
20.4174	1.01059e-18	
20.6538	1.01084e-18	
20.893	1.01108e-18	
21.1349	1.01132e-18	
21.3796	1.01156e-18	
21.6272	1.01181e-18	
21.8776	1.01204e-18	
22.1309	1.01229e-18	
22.3872	1.01254e-18	
22.6464	1.01278e-18	
22.9087	1.01302e-18	
23.1739	1.01327e-18	
23.4423	1.01351e-18	
23.7137	1.01376e-18	
23.9883	1.014e-18	
24.2661	1.01425e-18	
24.5471	1.01449e-18	
24.8313	1.01474e-18	
25.1189	1.01499e-18	
25.4097	1.01523e-18	
25.704	1.01548e-18	
26.0016	1.01573e-18	
26.3027	1.01597e-18	
26.6073	1.01622e-18	
26.9153	1.01647e-18	
27.227	1.01672e-18	
27.5423	1.01697e-18	
27.8612	1.01721e-18	
28.1838	1.01746e-18	
28.5102	1.01771e-18	
28.8403	1.01796e-18	
29.1743	1.01821e-18	
29.5121	1.01846e-18	
29.8538	1.01871e-18	
30.1995	1.01897e-18	
30.5492	1.01922e-18	
30.903	1.01947e-18	
31.2608	1.01972e-18	
31.6228	1.01998e-18	
31.989	1.02023e-18	
32.3594	1.02048e-18	
32.7341	1.02074e-18	
33.1131	1.021e-18	
33.4965	1.02125e-18	
33.8844	1.02151e-18	
