x	tac	
10	1.38358e-11	
10.1158	1.38794e-11	
10.2329	1.39226e-11	
10.3514	1.39656e-11	
10.4713	1.40082e-11	
10.5925	1.40506e-11	
10.7152	1.40926e-11	
10.8393	1.41343e-11	
10.9648	1.41758e-11	
11.0917	1.42169e-11	
11.2202	1.42578e-11	
11.3501	1.42983e-11	
11.4815	1.43385e-11	
11.6145	1.43785e-11	
11.749	1.44181e-11	
11.885	1.44575e-11	
12.0226	1.44966e-11	
12.1619	1.45353e-11	
12.3027	1.45738e-11	
12.4451	1.4612e-11	
12.5893	1.46499e-11	
12.735	1.46876e-11	
12.8825	1.47249e-11	
13.0317	1.47619e-11	
13.1826	1.47987e-11	
13.3352	1.48352e-11	
13.4896	1.48714e-11	
13.6458	1.49073e-11	
13.8038	1.49429e-11	
13.9637	1.49783e-11	
14.1254	1.50134e-11	
14.2889	1.50482e-11	
14.4544	1.50827e-11	
14.6218	1.5117e-11	
14.7911	1.5151e-11	
14.9624	1.51847e-11	
15.1356	1.52181e-11	
15.3109	1.52513e-11	
15.4882	1.52843e-11	
15.6675	1.53169e-11	
15.8489	1.53493e-11	
16.0325	1.53815e-11	
16.2181	1.54133e-11	
16.4059	1.5445e-11	
16.5959	1.54763e-11	
16.788	1.55075e-11	
16.9824	1.55383e-11	
17.1791	1.55689e-11	
17.378	1.55993e-11	
17.5792	1.56294e-11	
17.7828	1.56593e-11	
17.9887	1.56889e-11	
18.197	1.57183e-11	
18.4077	1.57475e-11	
18.6209	1.57764e-11	
18.8365	1.5805e-11	
19.0546	1.58335e-11	
19.2752	1.58617e-11	
19.4984	1.58897e-11	
19.7242	1.59174e-11	
19.9526	1.59449e-11	
20.1837	1.59722e-11	
20.4174	1.59992e-11	
20.6538	1.60261e-11	
20.893	1.60527e-11	
21.1349	1.60792e-11	
21.3796	1.61053e-11	
21.6272	1.61313e-11	
21.8776	1.61571e-11	
22.1309	1.61826e-11	
22.3872	1.6208e-11	
22.6464	1.62331e-11	
22.9087	1.6258e-11	
23.1739	1.62827e-11	
23.4423	1.63073e-11	
23.7137	1.63316e-11	
23.9883	1.63557e-11	
