x	tac	
10	3.46978e-10	
10.1158	3.48045e-10	
10.2329	3.49104e-10	
10.3514	3.50154e-10	
10.4713	3.51197e-10	
10.5925	3.52232e-10	
10.7152	3.53259e-10	
10.8393	3.54277e-10	
10.9648	3.55288e-10	
11.0917	3.56291e-10	
11.2202	3.57285e-10	
11.3501	3.58272e-10	
11.4815	3.59251e-10	
11.6145	3.60222e-10	
11.749	3.61185e-10	
11.885	3.6214e-10	
12.0226	3.63087e-10	
12.1619	3.64027e-10	
12.3027	3.64958e-10	
12.4451	3.65882e-10	
12.5893	3.66798e-10	
12.735	3.67706e-10	
12.8825	3.68607e-10	
13.0317	3.695e-10	
13.1826	3.70385e-10	
13.3352	3.71262e-10	
13.4896	3.72132e-10	
13.6458	3.72994e-10	
13.8038	3.73849e-10	
13.9637	3.74696e-10	
14.1254	3.75535e-10	
14.2889	3.76367e-10	
14.4544	3.77192e-10	
14.6218	3.78009e-10	
14.7911	3.78819e-10	
14.9624	3.79621e-10	
15.1356	3.80416e-10	
15.3109	3.81204e-10	
15.4882	3.81984e-10	
15.6675	3.82757e-10	
15.8489	3.83523e-10	
16.0325	3.84282e-10	
16.2181	3.85034e-10	
16.4059	3.85778e-10	
16.5959	3.86516e-10	
16.788	3.87246e-10	
16.9824	3.87969e-10	
17.1791	3.88686e-10	
17.378	3.89395e-10	
17.5792	3.90098e-10	
17.7828	3.90793e-10	
17.9887	3.91482e-10	
18.197	3.92164e-10	
18.4077	3.92839e-10	
18.6209	3.93508e-10	
18.8365	3.9417e-10	
19.0546	3.94825e-10	
19.2752	3.95473e-10	
19.4984	3.96115e-10	
19.7242	3.9675e-10	
19.9526	3.97379e-10	
20.1837	3.98001e-10	
20.4174	3.98616e-10	
20.6538	3.99227e-10	
20.893	3.9983e-10	
21.1349	4.00427e-10	
21.3796	4.01017e-10	
21.6272	4.01601e-10	
21.8776	4.02179e-10	
22.1309	4.02751e-10	
22.3872	4.03317e-10	
22.6464	4.03876e-10	
22.9087	4.0443e-10	
23.1739	4.04977e-10	
23.4423	4.05518e-10	
23.7137	4.06054e-10	
23.9883	4.06583e-10	
24.2661	4.07107e-10	
24.5471	4.07625e-10	
24.8313	4.08136e-10	
25.1189	4.08642e-10	
25.4097	4.09143e-10	
25.704	4.09637e-10	
26.0016	4.10126e-10	
26.3027	4.10609e-10	
26.6073	4.11087e-10	
26.9153	4.11559e-10	
27.227	4.12026e-10	
27.5423	4.12487e-10	
27.8612	4.12942e-10	
28.1838	4.13392e-10	
28.5102	4.13837e-10	
28.8403	4.14276e-10	
29.1743	4.1471e-10	
29.5121	4.15138e-10	
29.8538	4.15562e-10	
30.1995	4.1598e-10	
30.5492	4.16393e-10	
30.903	4.168e-10	
31.2608	4.17203e-10	
31.6228	4.176e-10	
31.989	4.17992e-10	
32.3594	4.1838e-10	
32.7341	4.18762e-10	
33.1131	4.19139e-10	
33.4965	4.19511e-10	
33.8844	4.19879e-10	
34.2768	4.20241e-10	
34.6737	4.20599e-10	
35.0752	4.20951e-10	
35.4813	4.21299e-10	
35.8922	4.21642e-10	
36.3078	4.21981e-10	
36.7282	4.22314e-10	
37.1535	4.22643e-10	
37.5837	4.22968e-10	
38.0189	4.23287e-10	
38.4592	4.23602e-10	
38.9045	4.23913e-10	
39.355	4.24219e-10	
39.8107	4.2452e-10	
40.2717	4.24817e-10	
40.738	4.25109e-10	
41.2098	4.25397e-10	
41.6869	4.2568e-10	
42.1697	4.25959e-10	
42.658	4.26234e-10	
43.1519	4.26504e-10	
43.6516	4.2677e-10	
44.157	4.27032e-10	
44.6684	4.2729e-10	
45.1856	4.27543e-10	
45.7088	4.27792e-10	
46.2381	4.28036e-10	
46.7735	4.28277e-10	
47.3151	4.28513e-10	
47.863	4.28745e-10	
48.4172	4.28973e-10	
48.9779	4.29197e-10	
49.545	4.29417e-10	
50.1187	4.29633e-10	
50.6991	4.29844e-10	
51.2861	4.30052e-10	
51.88	4.30256e-10	
52.4807	4.30455e-10	
53.0884	4.30651e-10	
53.7032	4.30843e-10	
54.325	4.31031e-10	
54.9541	4.31215e-10	
55.5904	4.31395e-10	
56.2341	4.31571e-10	
56.8853	4.3174e-10	
57.544	4.31911e-10	
58.2103	4.32076e-10	
58.8844	4.32236e-10	
59.5662	4.32393e-10	
60.256	4.32546e-10	
60.9537	4.32696e-10	
61.6595	4.32841e-10	
62.3735	4.32983e-10	
63.0957	4.33121e-10	
63.8263	4.33256e-10	
64.5654	4.33386e-10	
65.3131	4.33513e-10	
66.0693	4.33637e-10	
66.8344	4.33756e-10	
67.6083	4.33872e-10	
68.3912	4.33984e-10	
69.1831	4.34093e-10	
69.9842	4.34198e-10	
70.7946	4.34299e-10	
71.6143	4.34397e-10	
72.4436	4.34491e-10	
73.2825	4.34582e-10	
74.131	4.34669e-10	
74.9894	4.34752e-10	
75.8578	4.34832e-10	
76.7361	4.34908e-10	
77.6247	4.34981e-10	
78.5236	4.3505e-10	
79.4328	4.35115e-10	
80.3526	4.35177e-10	
81.2831	4.35236e-10	
82.2243	4.35291e-10	
83.1764	4.35342e-10	
84.1395	4.3539e-10	
85.1138	4.35434e-10	
86.0994	4.35475e-10	
87.0964	4.35512e-10	
88.1049	4.35546e-10	
89.1251	4.35577e-10	
90.1571	4.35603e-10	
91.2011	4.35627e-10	
92.2571	4.35646e-10	
93.3254	4.35663e-10	
94.4061	4.35675e-10	
95.4993	4.35685e-10	
96.6051	4.3569e-10	
97.7237	4.35693e-10	
98.8553	4.35691e-10	
100	4.35687e-10	
101.158	4.35678e-10	
102.329	4.35666e-10	
103.514	4.35651e-10	
104.713	4.35632e-10	
105.925	4.3561e-10	
107.152	4.35584e-10	
108.393	4.35555e-10	
109.648	4.35522e-10	
110.917	4.35485e-10	
112.202	4.35445e-10	
113.501	4.35401e-10	
114.815	4.35354e-10	
116.145	4.35304e-10	
117.49	4.35249e-10	
118.85	4.35191e-10	
120.226	4.3513e-10	
121.619	4.35065e-10	
123.027	4.34996e-10	
124.451	4.34924e-10	
125.893	4.34848e-10	
127.35	4.34768e-10	
128.825	4.34685e-10	
130.317	4.34598e-10	
131.826	4.34508e-10	
133.352	4.34413e-10	
134.896	4.34316e-10	
136.458	4.34214e-10	
138.038	4.34109e-10	
139.637	4.34e-10	
141.254	4.33887e-10	
142.889	4.3377e-10	
144.544	4.3365e-10	
146.218	4.33526e-10	
147.911	4.33398e-10	
149.624	4.33266e-10	
151.356	4.3313e-10	
153.109	4.32991e-10	
154.882	4.32848e-10	
156.675	4.32701e-10	
158.489	4.32549e-10	
160.325	4.32394e-10	
162.181	4.32235e-10	
164.059	4.32073e-10	
165.959	4.31906e-10	
167.88	4.31735e-10	
169.824	4.3156e-10	
171.791	4.31381e-10	
173.78	4.31198e-10	
175.792	4.31011e-10	
177.828	4.30819e-10	
179.887	4.30624e-10	
181.97	4.30425e-10	
184.077	4.30221e-10	
186.209	4.30013e-10	
188.365	4.29801e-10	
190.546	4.29585e-10	
192.752	4.29364e-10	
194.984	4.29139e-10	
197.242	4.2891e-10	
199.526	4.28676e-10	
201.837	4.28438e-10	
204.174	4.28195e-10	
206.538	4.27949e-10	
208.93	4.27697e-10	
211.349	4.27441e-10	
213.796	4.27181e-10	
216.272	4.26916e-10	
218.776	4.26647e-10	
221.309	4.26372e-10	
223.872	4.26094e-10	
226.464	4.2581e-10	
229.087	4.25522e-10	
231.739	4.25229e-10	
234.423	4.24931e-10	
237.137	4.24629e-10	
239.883	4.24321e-10	
242.661	4.24009e-10	
245.471	4.23692e-10	
248.313	4.23369e-10	
251.189	4.23042e-10	
254.097	4.2271e-10	
257.04	4.22373e-10	
260.016	4.2203e-10	
263.027	4.21683e-10	
266.073	4.2133e-10	
269.153	4.20972e-10	
272.27	4.20609e-10	
275.423	4.2024e-10	
278.612	4.19866e-10	
281.838	4.19487e-10	
285.102	4.19102e-10	
