x	tac	
10	1.72257e-10	
10.1158	1.728e-10	
10.2329	1.73338e-10	
10.3514	1.73873e-10	
10.4713	1.74404e-10	
10.5925	1.74931e-10	
10.7152	1.75454e-10	
10.8393	1.75974e-10	
10.9648	1.7649e-10	
11.0917	1.77002e-10	
11.2202	1.77511e-10	
11.3501	1.78015e-10	
11.4815	1.78516e-10	
11.6145	1.79014e-10	
11.749	1.79507e-10	
11.885	1.79997e-10	
12.0226	1.80483e-10	
12.1619	1.80966e-10	
12.3027	1.81445e-10	
12.4451	1.8192e-10	
12.5893	1.82392e-10	
12.735	1.8286e-10	
12.8825	1.83325e-10	
13.0317	1.83786e-10	
13.1826	1.84243e-10	
13.3352	1.84697e-10	
13.4896	1.85147e-10	
13.6458	1.85594e-10	
13.8038	1.86037e-10	
13.9637	1.86477e-10	
14.1254	1.86913e-10	
14.2889	1.87346e-10	
14.4544	1.87776e-10	
14.6218	1.88202e-10	
14.7911	1.88625e-10	
14.9624	1.89044e-10	
15.1356	1.8946e-10	
15.3109	1.89872e-10	
15.4882	1.90282e-10	
15.6675	1.90688e-10	
15.8489	1.9109e-10	
16.0325	1.9149e-10	
16.2181	1.91886e-10	
16.4059	1.92279e-10	
16.5959	1.92669e-10	
16.788	1.93055e-10	
16.9824	1.93439e-10	
17.1791	1.93819e-10	
17.378	1.94196e-10	
17.5792	1.9457e-10	
17.7828	1.94941e-10	
17.9887	1.95309e-10	
18.197	1.95674e-10	
18.4077	1.96036e-10	
18.6209	1.96395e-10	
18.8365	1.96751e-10	
19.0546	1.97104e-10	
19.2752	1.97454e-10	
19.4984	1.97801e-10	
19.7242	1.98145e-10	
19.9526	1.98487e-10	
20.1837	1.98825e-10	
20.4174	1.9916e-10	
20.6538	1.99494e-10	
20.893	1.99824e-10	
21.1349	2.00151e-10	
21.3796	2.00476e-10	
21.6272	2.00798e-10	
21.8776	2.01117e-10	
22.1309	2.01434e-10	
22.3872	2.01748e-10	
22.6464	2.02059e-10	
22.9087	2.02368e-10	
23.1739	2.02674e-10	
23.4423	2.02977e-10	
23.7137	2.03279e-10	
23.9883	2.03577e-10	
24.2661	2.03873e-10	
24.5471	2.04167e-10	
24.8313	2.04458e-10	
25.1189	2.04747e-10	
25.4097	2.05033e-10	
25.704	2.05317e-10	
26.0016	2.05599e-10	
26.3027	2.05878e-10	
26.6073	2.06155e-10	
26.9153	2.0643e-10	
27.227	2.06702e-10	
27.5423	2.06972e-10	
27.8612	2.0724e-10	
28.1838	2.07506e-10	
28.5102	2.0777e-10	
28.8403	2.08031e-10	
29.1743	2.08291e-10	
29.5121	2.08548e-10	
29.8538	2.08803e-10	
30.1995	2.09056e-10	
30.5492	2.09308e-10	
30.903	2.09557e-10	
31.2608	2.09804e-10	
31.6228	2.10049e-10	
31.989	2.10292e-10	
32.3594	2.10533e-10	
32.7341	2.10773e-10	
33.1131	2.1101e-10	
33.4965	2.11246e-10	
33.8844	2.1148e-10	
34.2768	2.11712e-10	
34.6737	2.11942e-10	
35.0752	2.1217e-10	
35.4813	2.12397e-10	
35.8922	2.12622e-10	
36.3078	2.12845e-10	
36.7282	2.13067e-10	
37.1535	2.13286e-10	
37.5837	2.13505e-10	
38.0189	2.13721e-10	
38.4592	2.13936e-10	
38.9045	2.1415e-10	
39.355	2.14362e-10	
39.8107	2.14572e-10	
40.2717	2.14781e-10	
40.738	2.14988e-10	
41.2098	2.15194e-10	
41.6869	2.15398e-10	
42.1697	2.15601e-10	
42.658	2.15803e-10	
43.1519	2.16003e-10	
43.6516	2.16202e-10	
44.157	2.16399e-10	
44.6684	2.16596e-10	
45.1856	2.1679e-10	
45.7088	2.16984e-10	
46.2381	2.17176e-10	
46.7735	2.17367e-10	
47.3151	2.17557e-10	
47.863	2.17746e-10	
48.4172	2.17933e-10	
48.9779	2.18119e-10	
49.545	2.18304e-10	
50.1187	2.18488e-10	
50.6991	2.18671e-10	
51.2861	2.18853e-10	
51.88	2.19034e-10	
52.4807	2.19213e-10	
53.0884	2.19392e-10	
53.7032	2.1957e-10	
54.325	2.19746e-10	
54.9541	2.19922e-10	
55.5904	2.20097e-10	
56.2341	2.20271e-10	
56.8853	2.20442e-10	
57.544	2.20616e-10	
58.2103	2.20787e-10	
58.8844	2.20957e-10	
59.5662	2.21127e-10	
60.256	2.21295e-10	
60.9537	2.21463e-10	
61.6595	2.2163e-10	
62.3735	2.21797e-10	
63.0957	2.21962e-10	
63.8263	2.22127e-10	
64.5654	2.22292e-10	
65.3131	2.22455e-10	
66.0693	2.22618e-10	
66.8344	2.2278e-10	
67.6083	2.22942e-10	
68.3912	2.23103e-10	
69.1831	2.23263e-10	
69.9842	2.23423e-10	
70.7946	2.23583e-10	
71.6143	2.23741e-10	
72.4436	2.239e-10	
73.2825	2.24058e-10	
74.131	2.24215e-10	
74.9894	2.24372e-10	
75.8578	2.24528e-10	
76.7361	2.24685e-10	
77.6247	2.2484e-10	
78.5236	2.24996e-10	
79.4328	2.25151e-10	
80.3526	2.25305e-10	
81.2831	2.2546e-10	
82.2243	2.25614e-10	
83.1764	2.25767e-10	
84.1395	2.25921e-10	
85.1138	2.26074e-10	
86.0994	2.26227e-10	
87.0964	2.2638e-10	
88.1049	2.26533e-10	
89.1251	2.26685e-10	
90.1571	2.26837e-10	
91.2011	2.2699e-10	
92.2571	2.27142e-10	
93.3254	2.27294e-10	
94.4061	2.27446e-10	
95.4993	2.27598e-10	
96.6051	2.2775e-10	
97.7237	2.27901e-10	
98.8553	2.28053e-10	
100	2.28205e-10	
101.158	2.28357e-10	
102.329	2.28509e-10	
103.514	2.28661e-10	
104.713	2.28814e-10	
105.925	2.28966e-10	
107.152	2.29118e-10	
108.393	2.29271e-10	
109.648	2.29424e-10	
110.917	2.29577e-10	
112.202	2.2973e-10	
113.501	2.29884e-10	
114.815	2.30037e-10	
116.145	2.30191e-10	
117.49	2.30346e-10	
118.85	2.305e-10	
120.226	2.30655e-10	
121.619	2.30811e-10	
123.027	2.30967e-10	
124.451	2.31123e-10	
125.893	2.31279e-10	
127.35	2.31436e-10	
128.825	2.31594e-10	
130.317	2.31752e-10	
131.826	2.3191e-10	
133.352	2.32069e-10	
134.896	2.32229e-10	
136.458	2.32389e-10	
138.038	2.3255e-10	
139.637	2.32711e-10	
141.254	2.32873e-10	
142.889	2.33035e-10	
144.544	2.33199e-10	
146.218	2.33363e-10	
147.911	2.33527e-10	
149.624	2.33693e-10	
151.356	2.33859e-10	
153.109	2.34026e-10	
