x	tac	
10	5.82865e-10	
10.1158	5.84658e-10	
10.2329	5.86438e-10	
10.3514	5.88204e-10	
10.4713	5.89957e-10	
10.5925	5.91696e-10	
10.7152	5.93422e-10	
10.8393	5.95134e-10	
10.9648	5.96833e-10	
11.0917	5.98519e-10	
11.2202	6.00191e-10	
11.3501	6.01849e-10	
11.4815	6.03495e-10	
11.6145	6.05127e-10	
11.749	6.06745e-10	
11.885	6.08351e-10	
12.0226	6.09943e-10	
12.1619	6.11522e-10	
12.3027	6.13088e-10	
12.4451	6.14641e-10	
12.5893	6.1618e-10	
12.735	6.17707e-10	
12.8825	6.19221e-10	
13.0317	6.20721e-10	
13.1826	6.22209e-10	
13.3352	6.23684e-10	
13.4896	6.25146e-10	
13.6458	6.26595e-10	
13.8038	6.28032e-10	
13.9637	6.29456e-10	
14.1254	6.30867e-10	
14.2889	6.32266e-10	
14.4544	6.33652e-10	
14.6218	6.35025e-10	
14.7911	6.36386e-10	
14.9624	6.37735e-10	
15.1356	6.39071e-10	
15.3109	6.40395e-10	
15.4882	6.41707e-10	
15.6675	6.43007e-10	
15.8489	6.44294e-10	
16.0325	6.4557e-10	
16.2181	6.46833e-10	
16.4059	6.48085e-10	
16.5959	6.49324e-10	
16.788	6.50552e-10	
16.9824	6.51768e-10	
17.1791	6.52972e-10	
17.378	6.54165e-10	
17.5792	6.55346e-10	
17.7828	6.56515e-10	
17.9887	6.57673e-10	
18.197	6.58819e-10	
18.4077	6.59954e-10	
18.6209	6.61078e-10	
18.8365	6.6219e-10	
19.0546	6.63292e-10	
19.2752	6.64382e-10	
19.4984	6.65461e-10	
19.7242	6.66529e-10	
19.9526	6.67586e-10	
20.1837	6.68632e-10	
20.4174	6.69665e-10	
20.6538	6.70692e-10	
20.893	6.71705e-10	
21.1349	6.72709e-10	
21.3796	6.73701e-10	
21.6272	6.74683e-10	
21.8776	6.75655e-10	
22.1309	6.76616e-10	
22.3872	6.77567e-10	
22.6464	6.78507e-10	
22.9087	6.79438e-10	
23.1739	6.80358e-10	
23.4423	6.81268e-10	
23.7137	6.82168e-10	
23.9883	6.83058e-10	
24.2661	6.83938e-10	
24.5471	6.84808e-10	
24.8313	6.85669e-10	
25.1189	6.8652e-10	
25.4097	6.87361e-10	
25.704	6.88192e-10	
26.0016	6.89014e-10	
26.3027	6.89826e-10	
26.6073	6.90629e-10	
26.9153	6.91423e-10	
27.227	6.92207e-10	
27.5423	6.92982e-10	
27.8612	6.93747e-10	
28.1838	6.94504e-10	
28.5102	6.95251e-10	
28.8403	6.9599e-10	
29.1743	6.96719e-10	
29.5121	6.9744e-10	
29.8538	6.98151e-10	
30.1995	6.98854e-10	
30.5492	6.99548e-10	
30.903	7.00233e-10	
31.2608	7.0091e-10	
31.6228	7.01578e-10	
31.989	7.02237e-10	
32.3594	7.02888e-10	
32.7341	7.03531e-10	
33.1131	7.04165e-10	
33.4965	7.04791e-10	
33.8844	7.05408e-10	
34.2768	7.06018e-10	
34.6737	7.06619e-10	
35.0752	7.07212e-10	
35.4813	7.07797e-10	
35.8922	7.08374e-10	
36.3078	7.08942e-10	
36.7282	7.09503e-10	
37.1535	7.10056e-10	
37.5837	7.10601e-10	
38.0189	7.11139e-10	
38.4592	7.11668e-10	
38.9045	7.1219e-10	
39.355	7.12705e-10	
39.8107	7.13211e-10	
40.2717	7.1371e-10	
40.738	7.14202e-10	
41.2098	7.14686e-10	
41.6869	7.15162e-10	
42.1697	7.15631e-10	
42.658	7.16093e-10	
43.1519	7.16548e-10	
43.6516	7.16995e-10	
44.157	7.17435e-10	
44.6684	7.17867e-10	
45.1856	7.18293e-10	
45.7088	7.18712e-10	
46.2381	7.19123e-10	
46.7735	7.19527e-10	
47.3151	7.19924e-10	
47.863	7.20315e-10	
48.4172	7.20698e-10	
48.9779	7.21075e-10	
49.545	7.21444e-10	
50.1187	7.21807e-10	
50.6991	7.22163e-10	
51.2861	7.22512e-10	
51.88	7.22855e-10	
52.4807	7.2319e-10	
53.0884	7.23519e-10	
53.7032	7.23842e-10	
54.325	7.24158e-10	
54.9541	7.24467e-10	
55.5904	7.24769e-10	
56.2341	7.25065e-10	
56.8853	7.25351e-10	
57.544	7.25638e-10	
58.2103	7.25915e-10	
58.8844	7.26185e-10	
59.5662	7.26449e-10	
60.256	7.26706e-10	
60.9537	7.26958e-10	
61.6595	7.27202e-10	
62.3735	7.27441e-10	
63.0957	7.27673e-10	
63.8263	7.27899e-10	
64.5654	7.28119e-10	
65.3131	7.28332e-10	
66.0693	7.2854e-10	
66.8344	7.28741e-10	
67.6083	7.28936e-10	
68.3912	7.29124e-10	
69.1831	7.29307e-10	
69.9842	7.29484e-10	
70.7946	7.29654e-10	
71.6143	7.29819e-10	
72.4436	7.29977e-10	
73.2825	7.30129e-10	
74.131	7.30276e-10	
74.9894	7.30416e-10	
75.8578	7.3055e-10	
76.7361	7.30678e-10	
77.6247	7.308e-10	
78.5236	7.30917e-10	
79.4328	7.31027e-10	
80.3526	7.31131e-10	
81.2831	7.3123e-10	
82.2243	7.31322e-10	
83.1764	7.31409e-10	
84.1395	7.31489e-10	
85.1138	7.31564e-10	
86.0994	7.31633e-10	
87.0964	7.31696e-10	
88.1049	7.31753e-10	
89.1251	7.31804e-10	
90.1571	7.31849e-10	
91.2011	7.31888e-10	
92.2571	7.31921e-10	
93.3254	7.31949e-10	
94.4061	7.3197e-10	
95.4993	7.31986e-10	
96.6051	7.31996e-10	
97.7237	7.32e-10	
98.8553	7.31998e-10	
100	7.3199e-10	
101.158	7.31976e-10	
102.329	7.31957e-10	
103.514	7.31931e-10	
104.713	7.31899e-10	
105.925	7.31862e-10	
107.152	7.31819e-10	
108.393	7.31769e-10	
109.648	7.31714e-10	
