x	tac	
15	3.5311e-08	
15.1583	3.53841e-08	
15.3183	3.54568e-08	
15.48	3.55291e-08	
15.6434	3.5601e-08	
15.8085	3.56725e-08	
15.9753	3.57435e-08	
16.1439	3.58142e-08	
16.3143	3.58845e-08	
16.4865	3.59543e-08	
16.6605	3.60238e-08	
16.8364	3.60929e-08	
17.0141	3.61616e-08	
17.1937	3.62299e-08	
17.3751	3.62979e-08	
17.5585	3.63655e-08	
17.7438	3.64327e-08	
17.9311	3.64996e-08	
18.1204	3.65661e-08	
18.3116	3.66323e-08	
18.5049	3.66981e-08	
18.7002	3.67636e-08	
18.8976	3.68288e-08	
19.097	3.68936e-08	
19.2986	3.6958e-08	
19.5023	3.70222e-08	
19.7081	3.70861e-08	
19.9161	3.71497e-08	
20.1263	3.72129e-08	
20.3388	3.72759e-08	
20.5534	3.73385e-08	
20.7704	3.74009e-08	
20.9896	3.7463e-08	
