x	tac	
32.9	4.88144e-11	
32.901	4.88148e-11	
32.902	4.88152e-11	
32.903	4.88156e-11	
32.904	4.8816e-11	
32.905	4.88164e-11	
32.906	4.88168e-11	
32.907	4.88172e-11	
32.908	4.88177e-11	
32.909	4.88181e-11	
32.91	4.88185e-11	
32.911	4.8819e-11	
32.912	4.88194e-11	
32.913	4.88199e-11	
32.914	4.88203e-11	
32.915	4.88208e-11	
32.916	4.88213e-11	
32.917	4.88217e-11	
32.918	4.88222e-11	
32.919	4.88227e-11	
32.92	4.88232e-11	
32.921	4.88237e-11	
32.922	4.88242e-11	
32.923	4.88247e-11	
32.924	4.88252e-11	
32.925	4.88257e-11	
32.926	4.88262e-11	
32.927	4.88268e-11	
32.928	4.88273e-11	
32.929	4.88279e-11	
32.93	4.88284e-11	
32.931	4.8829e-11	
32.932	4.88295e-11	
32.933	4.88301e-11	
32.934	4.88306e-11	
32.935	1.80749e-06	
32.936	1.68398e-06	
32.937	1.57084e-06	
32.938	1.46705e-06	
32.939	1.37169e-06	
32.94	1.28396e-06	
32.941	1.20313e-06	
32.942	1.12856e-06	
32.943	1.05968e-06	
32.944	9.95983e-07	
32.945	9.36998e-07	
32.946	8.82316e-07	
32.947	8.31567e-07	
32.948	7.84414e-07	
32.949	7.40558e-07	
32.95	6.99724e-07	
32.951	6.61667e-07	
32.952	6.26163e-07	
32.953	5.9301e-07	
32.954	5.62022e-07	
32.955	5.33032e-07	
32.956	5.05888e-07	
32.957	4.8045e-07	
32.958	4.56592e-07	
32.959	4.34197e-07	
32.96	4.13158e-07	
32.961	3.93379e-07	
32.962	3.74769e-07	
32.963	3.57247e-07	
32.964	3.40738e-07	
32.965	3.25171e-07	
32.966	3.10484e-07	
32.967	2.96617e-07	
32.968	2.83515e-07	
32.969	2.71129e-07	
32.97	2.59413e-07	
32.971	2.48322e-07	
32.972	2.37819e-07	
32.973	2.27864e-07	
32.974	2.18426e-07	
32.975	2.09471e-07	
32.976	2.00971e-07	
32.977	1.92897e-07	
32.978	1.85225e-07	
32.979	1.77931e-07	
32.98	1.70992e-07	
32.981	1.64389e-07	
32.982	1.58101e-07	
32.983	1.52111e-07	
32.984	1.46402e-07	
32.985	1.40959e-07	
32.986	1.35766e-07	
32.987	1.3081e-07	
32.988	1.26079e-07	
32.989	1.21559e-07	
32.99	1.17241e-07	
32.991	1.13112e-07	
32.992	1.09164e-07	
32.993	1.05386e-07	
32.994	1.01771e-07	
32.995	9.83092e-08	
32.996	9.49935e-08	
32.997	9.18164e-08	
32.998	8.87712e-08	
32.999	8.58885e-08	
33	8.49593e-08	
