x	tac	
1	5.19878e-11	
1.099	5.91897e-11	
1.198	6.63742e-11	
1.297	7.34593e-11	
1.396	8.02728e-11	
1.495	8.70495e-11	
1.594	9.35917e-11	
1.693	9.98956e-11	
1.792	1.05963e-10	
1.891	1.118e-10	
1.99	1.17412e-10	
2.089	1.2281e-10	
2.188	1.2796e-10	
2.287	1.32968e-10	
2.386	1.37789e-10	
2.485	1.42431e-10	
2.584	1.46904e-10	
2.683	1.51217e-10	
2.782	1.55378e-10	
2.881	1.59394e-10	
2.98	1.63277e-10	
3.079	1.67019e-10	
3.178	1.70641e-10	
3.277	1.74144e-10	
3.376	1.77533e-10	
3.475	1.80813e-10	
3.574	1.8399e-10	
3.673	1.87068e-10	
3.772	1.9005e-10	
3.871	1.92942e-10	
3.97	1.95747e-10	
4.069	1.98469e-10	
4.168	2.01111e-10	
4.267	2.03677e-10	
4.366	2.06169e-10	
4.465	2.0859e-10	
4.564	2.10944e-10	
4.663	2.13233e-10	
4.762	2.1546e-10	
4.861	2.17626e-10	
4.96	2.19735e-10	
5.059	2.21792e-10	
5.158	2.23792e-10	
5.257	2.25742e-10	
5.356	2.27641e-10	
5.455	2.29493e-10	
5.554	2.31298e-10	
5.653	2.3306e-10	
5.752	2.34778e-10	
5.851	2.36455e-10	
5.95	2.38092e-10	
6.049	2.3969e-10	
6.148	2.41251e-10	
6.247	2.42776e-10	
6.346	2.44266e-10	
6.445	2.45723e-10	
6.544	2.47147e-10	
6.643	2.4854e-10	
6.742	2.49902e-10	
6.841	2.51234e-10	
6.94	2.52538e-10	
7.039	2.53815e-10	
7.138	2.55064e-10	
7.237	2.56288e-10	
7.336	2.57486e-10	
7.435	2.5866e-10	
7.534	2.5981e-10	
7.633	2.60937e-10	
7.732	2.62042e-10	
7.831	2.63125e-10	
7.93	2.64186e-10	
8.029	2.65228e-10	
8.128	2.66249e-10	
8.227	2.67252e-10	
8.326	2.68235e-10	
8.425	2.692e-10	
8.524	2.70147e-10	
8.623	2.71077e-10	
8.722	2.71991e-10	
8.821	2.72887e-10	
8.92	2.73768e-10	
9.019	2.74633e-10	
9.118	2.75484e-10	
9.217	2.76319e-10	
9.316	2.7714e-10	
9.415	2.77947e-10	
9.514	2.7874e-10	
9.613	2.7952e-10	
9.712	2.80287e-10	
9.811	2.81042e-10	
9.91	2.81784e-10	
10.009	2.82514e-10	
10.108	2.83232e-10	
10.207	2.83938e-10	
10.306	2.84634e-10	
10.405	2.85318e-10	
10.504	2.85992e-10	
10.603	2.86655e-10	
10.702	2.87309e-10	
10.801	2.87952e-10	
10.9	2.88585e-10	
10.999	2.89209e-10	
11.098	2.89823e-10	
11.197	2.90429e-10	
11.296	2.91025e-10	
11.395	2.91613e-10	
11.494	2.92192e-10	
11.593	2.92763e-10	
11.692	2.93326e-10	
11.791	2.9388e-10	
11.89	2.94427e-10	
11.989	2.94966e-10	
12.088	2.95498e-10	
12.187	2.96022e-10	
12.286	2.96539e-10	
12.385	2.97049e-10	
12.484	2.97552e-10	
12.583	2.98049e-10	
12.682	2.98538e-10	
12.781	2.99022e-10	
12.88	2.99498e-10	
12.979	2.99969e-10	
13.078	3.00433e-10	
13.177	3.00891e-10	
13.276	3.01344e-10	
13.375	3.01791e-10	
13.474	3.02232e-10	
13.573	3.02667e-10	
13.672	3.03097e-10	
13.771	3.03522e-10	
13.87	3.03941e-10	
13.969	3.04356e-10	
14.068	3.04765e-10	
14.167	3.05169e-10	
14.266	3.05568e-10	
14.365	3.05962e-10	
14.464	3.06352e-10	
14.563	3.06737e-10	
14.662	3.07118e-10	
14.761	3.07494e-10	
14.86	3.07866e-10	
14.959	3.08233e-10	
15.058	3.08596e-10	
15.157	3.08955e-10	
15.256	3.0931e-10	
15.355	3.09661e-10	
15.454	3.10007e-10	
15.553	3.1035e-10	
15.652	3.10689e-10	
15.751	3.11025e-10	
15.85	3.11356e-10	
15.949	3.11684e-10	
16.048	3.12009e-10	
16.147	3.1233e-10	
16.246	3.12647e-10	
16.345	3.12961e-10	
16.444	3.13272e-10	
16.543	3.13579e-10	
16.642	3.13883e-10	
16.741	3.14184e-10	
16.84	3.14482e-10	
16.939	3.14776e-10	
17.038	3.15068e-10	
17.137	3.15357e-10	
17.236	3.15642e-10	
17.335	3.15925e-10	
17.434	3.16205e-10	
17.533	3.16482e-10	
17.632	3.16756e-10	
17.731	3.17027e-10	
17.83	3.17296e-10	
17.929	3.17562e-10	
18.028	3.17826e-10	
18.127	3.18087e-10	
18.226	3.18345e-10	
18.325	3.18601e-10	
18.424	3.18854e-10	
18.523	3.19105e-10	
18.622	3.19353e-10	
18.721	3.19599e-10	
18.82	3.19843e-10	
18.919	3.20085e-10	
19.018	3.20324e-10	
19.117	3.20561e-10	
19.216	3.20796e-10	
19.315	3.21028e-10	
19.414	3.21259e-10	
19.513	3.21487e-10	
19.612	3.21713e-10	
19.711	3.21937e-10	
19.81	3.2216e-10	
19.909	3.2238e-10	
20.008	3.22598e-10	
20.107	3.22814e-10	
20.206	3.23028e-10	
20.305	3.23241e-10	
20.404	3.23451e-10	
20.503	3.2366e-10	
20.602	3.23867e-10	
20.701	3.24072e-10	
20.8	3.24275e-10	
20.899	3.24477e-10	
20.998	3.24677e-10	
21.097	3.24875e-10	
21.196	3.25071e-10	
21.295	3.25266e-10	
21.394	3.25459e-10	
21.493	3.25651e-10	
21.592	3.25841e-10	
21.691	3.26029e-10	
21.79	3.26216e-10	
21.889	3.26401e-10	
21.988	3.26585e-10	
22.087	3.26767e-10	
22.186	3.26947e-10	
22.285	3.27127e-10	
22.384	3.27304e-10	
22.483	3.27481e-10	
22.582	3.27656e-10	
22.681	3.27829e-10	
22.78	3.28001e-10	
22.879	3.28172e-10	
22.978	3.28341e-10	
23.077	3.2851e-10	
23.176	3.28676e-10	
23.275	3.28842e-10	
23.374	3.29006e-10	
23.473	3.29169e-10	
23.572	3.2933e-10	
23.671	3.2949e-10	
23.77	3.29649e-10	
23.869	3.29807e-10	
23.968	3.29964e-10	
24.067	3.3012e-10	
24.166	3.30274e-10	
24.265	3.30428e-10	
24.364	3.3058e-10	
24.463	3.30731e-10	
24.562	3.3088e-10	
24.661	3.31029e-10	
24.76	3.31177e-10	
24.859	3.31323e-10	
24.958	3.31469e-10	
25.057	3.31613e-10	
25.156	3.31756e-10	
25.255	3.31899e-10	
25.354	3.3204e-10	
25.453	3.3218e-10	
25.552	3.32319e-10	
25.651	3.32457e-10	
25.75	3.32595e-10	
25.849	3.32731e-10	
25.948	3.32866e-10	
26.047	3.33001e-10	
26.146	3.33134e-10	
26.245	3.33266e-10	
26.344	3.33398e-10	
26.443	3.33529e-10	
26.542	3.33658e-10	
26.641	3.33787e-10	
26.74	3.33915e-10	
26.839	3.34042e-10	
