x	tac	
3	1.41199e-07	
3.394	1.36982e-07	
3.788	1.35443e-07	
4.182	1.3532e-07	
4.576	1.35843e-07	
4.97	1.36609e-07	
5.364	1.37437e-07	
5.758	1.38243e-07	
6.152	1.38998e-07	
6.546	1.39694e-07	
6.94	1.40334e-07	
7.334	1.40921e-07	
7.728	1.41459e-07	
8.122	1.41954e-07	
8.516	1.42411e-07	
8.91	1.42833e-07	
9.304	1.43224e-07	
9.698	1.43587e-07	
10.092	1.43924e-07	
10.486	1.4424e-07	
10.88	1.44534e-07	
11.274	1.4481e-07	
11.668	1.4507e-07	
12.062	1.45313e-07	
12.456	1.45543e-07	
12.85	1.4576e-07	
13.244	1.45965e-07	
13.638	1.46159e-07	
14.032	1.46343e-07	
14.426	1.46517e-07	
14.82	1.46684e-07	
15.214	1.46842e-07	
15.608	1.46992e-07	
16.002	1.47136e-07	
16.396	1.47273e-07	
16.79	1.47404e-07	
17.184	1.4753e-07	
17.578	1.4765e-07	
17.972	1.47765e-07	
18.366	1.47876e-07	
18.76	1.47982e-07	
19.154	1.48085e-07	
19.548	1.48183e-07	
19.942	1.48277e-07	
20.336	1.48368e-07	
20.73	1.48456e-07	
21.124	1.48541e-07	
21.518	1.48623e-07	
21.912	1.48702e-07	
22.306	1.48778e-07	
22.7	1.48852e-07	
23.094	1.48923e-07	
23.488	1.48992e-07	
23.882	1.49059e-07	
24.276	1.49124e-07	
24.67	1.49186e-07	
25.064	1.49247e-07	
25.458	1.49306e-07	
25.852	1.49364e-07	
26.246	1.49419e-07	
26.64	1.49474e-07	
27.034	1.49526e-07	
27.428	1.49577e-07	
27.822	1.49627e-07	
28.216	1.49676e-07	
28.61	1.49723e-07	
29.004	1.49769e-07	
29.398	1.49813e-07	
29.792	1.49857e-07	
30.186	1.49899e-07	
30.58	1.49941e-07	
30.974	1.49981e-07	
31.368	1.5002e-07	
31.762	1.50059e-07	
32.156	1.50096e-07	
32.55	1.50133e-07	
32.944	1.50169e-07	
33.338	1.50204e-07	
33.732	1.50238e-07	
34.126	1.50272e-07	
34.52	1.50304e-07	
34.914	1.50336e-07	
35.308	1.50367e-07	
35.702	1.50398e-07	
36.096	1.50428e-07	
36.49	1.50457e-07	
36.884	1.50486e-07	
37.278	1.50514e-07	
37.672	1.50542e-07	
38.066	1.50569e-07	
38.46	1.50595e-07	
38.854	1.50621e-07	
39.248	1.50646e-07	
39.642	1.50671e-07	
40.036	1.50696e-07	
40.43	1.5072e-07	
40.824	1.50743e-07	
41.218	1.50766e-07	
41.612	1.50789e-07	
42.006	1.50811e-07	
42.4	1.50833e-07	
42.794	1.50855e-07	
43.188	1.50876e-07	
43.582	1.50896e-07	
43.976	1.50917e-07	
44.37	1.50937e-07	
44.764	1.50956e-07	
45.158	1.50975e-07	
45.552	1.50994e-07	
45.946	1.51013e-07	
46.34	1.51031e-07	
46.734	1.51049e-07	
47.128	1.51067e-07	
47.522	1.51085e-07	
47.916	1.51102e-07	
48.31	1.51119e-07	
48.704	1.51135e-07	
49.098	1.51152e-07	
49.492	1.51168e-07	
49.886	1.51184e-07	
50.28	1.51199e-07	
50.674	1.51215e-07	
51.068	1.5123e-07	
51.462	1.51245e-07	
51.856	1.51259e-07	
52.25	1.51274e-07	
52.644	1.51288e-07	
53.038	1.51302e-07	
53.432	1.51316e-07	
53.826	1.5133e-07	
54.22	1.51343e-07	
54.614	1.51356e-07	
55.008	1.51369e-07	
55.402	1.51382e-07	
55.796	1.51395e-07	
56.19	1.51408e-07	
56.584	1.5142e-07	
56.978	1.51432e-07	
57.372	1.51444e-07	
57.766	1.51456e-07	
58.16	1.51468e-07	
58.554	1.51479e-07	
58.948	1.51491e-07	
59.342	1.51502e-07	
59.736	1.51513e-07	
60.13	1.51524e-07	
60.524	1.51535e-07	
60.918	1.51545e-07	
61.312	1.51556e-07	
61.706	1.51566e-07	
62.1	1.51577e-07	
62.494	1.51587e-07	
62.888	1.51597e-07	
63.282	1.51607e-07	
63.676	1.51617e-07	
64.07	1.51626e-07	
64.464	1.51636e-07	
64.858	1.51645e-07	
65.252	1.51655e-07	
65.646	1.51664e-07	
66.04	1.51673e-07	
66.434	1.51682e-07	
66.828	1.51691e-07	
67.222	1.517e-07	
67.616	1.51708e-07	
68.01	1.51717e-07	
68.404	1.51725e-07	
68.798	1.51734e-07	
69.192	1.51742e-07	
69.586	1.5175e-07	
69.98	1.51758e-07	
70.374	1.51766e-07	
70.768	1.51774e-07	
71.162	1.51782e-07	
71.556	1.5179e-07	
71.95	1.51798e-07	
72.344	1.51805e-07	
72.738	1.51813e-07	
73.132	1.5182e-07	
73.526	1.51828e-07	
73.92	1.51835e-07	
74.314	1.51842e-07	
74.708	1.51849e-07	
75.102	1.51856e-07	
75.496	1.51863e-07	
75.89	1.5187e-07	
76.284	1.51877e-07	
76.678	1.51884e-07	
77.072	1.51891e-07	
77.466	1.51897e-07	
77.86	1.51904e-07	
78.254	1.5191e-07	
78.648	1.51917e-07	
79.042	1.51923e-07	
79.436	1.51929e-07	
79.83	1.51936e-07	
80.224	1.51942e-07	
80.618	1.51948e-07	
81.012	1.51954e-07	
81.406	1.5196e-07	
81.8	1.51966e-07	
82.194	1.51972e-07	
82.588	1.51978e-07	
82.982	1.51984e-07	
83.376	1.51989e-07	
83.77	1.51995e-07	
84.164	1.52001e-07	
84.558	1.52006e-07	
84.952	1.52012e-07	
85.346	1.52017e-07	
85.74	1.52023e-07	
86.134	1.52028e-07	
86.528	1.52033e-07	
86.922	1.52039e-07	
87.316	1.52044e-07	
87.71	1.52049e-07	
88.104	1.52054e-07	
88.498	1.52059e-07	
88.892	1.52064e-07	
89.286	1.52069e-07	
89.68	1.52074e-07	
90.074	1.52079e-07	
90.468	1.52084e-07	
90.862	1.52089e-07	
91.256	1.52094e-07	
91.65	1.52098e-07	
92.044	1.52103e-07	
92.438	1.52108e-07	
92.832	1.52112e-07	
93.226	1.52117e-07	
93.62	1.52122e-07	
94.014	1.52126e-07	
94.408	1.52131e-07	
94.802	1.52135e-07	
95.196	1.52139e-07	
95.59	1.52144e-07	
95.984	1.52148e-07	
96.378	1.52152e-07	
96.772	1.52157e-07	
97.166	1.52161e-07	
97.56	1.52165e-07	
97.954	1.52169e-07	
98.348	1.52173e-07	
98.742	1.52178e-07	
99.136	1.52182e-07	
99.53	1.52186e-07	
99.924	1.5219e-07	
100.318	1.52194e-07	
100.712	1.52198e-07	
101.106	1.52201e-07	
101.5	1.52205e-07	
101.894	1.52209e-07	
102.288	1.52213e-07	
102.682	1.52217e-07	
103.076	1.52221e-07	
103.47	1.52224e-07	
103.864	1.52228e-07	
104.258	1.52232e-07	
104.652	1.52235e-07	
105.046	1.52239e-07	
105.44	1.52243e-07	
105.834	1.52246e-07	
106.228	1.5225e-07	
106.622	1.52253e-07	
107.016	1.52257e-07	
107.41	1.5226e-07	
107.804	1.52264e-07	
108.198	1.52267e-07	
108.592	1.5227e-07	
108.986	1.52274e-07	
109.38	1.52277e-07	
109.774	1.5228e-07	
110.168	1.52284e-07	
110.562	1.52287e-07	
110.956	1.5229e-07	
111.35	1.52293e-07	
111.744	1.52297e-07	
112.138	1.523e-07	
112.532	1.52303e-07	
112.926	1.52306e-07	
113.32	1.52309e-07	
113.714	1.52312e-07	
114.108	1.52315e-07	
114.502	1.52318e-07	
114.896	1.52322e-07	
115.29	1.52325e-07	
115.684	1.52328e-07	
116.078	1.52331e-07	
116.472	1.52333e-07	
116.866	1.52336e-07	
117.26	1.52339e-07	
117.654	1.52342e-07	
118.048	1.52345e-07	
118.442	1.52348e-07	
118.836	1.52351e-07	
119.23	1.52354e-07	
119.624	1.52356e-07	
120.018	1.52359e-07	
120.412	1.52362e-07	
120.806	1.52365e-07	
121.2	1.52367e-07	
121.594	1.5237e-07	
121.988	1.52373e-07	
122.382	1.52375e-07	
122.776	1.52378e-07	
123.17	1.52381e-07	
123.564	1.52383e-07	
123.958	1.52386e-07	
124.352	1.52389e-07	
124.746	1.52391e-07	
125.14	1.52394e-07	
125.534	1.52396e-07	
125.928	1.52399e-07	
126.322	1.52401e-07	
126.716	1.52404e-07	
127.11	1.52406e-07	
127.504	1.52409e-07	
127.898	1.52411e-07	
128.292	1.52414e-07	
128.686	1.52416e-07	
129.08	1.52418e-07	
129.474	1.52421e-07	
129.868	1.52423e-07	
130.262	1.52426e-07	
130.656	1.52428e-07	
131.05	1.5243e-07	
131.444	1.52433e-07	
131.838	1.52435e-07	
132.232	1.52437e-07	
132.626	1.52439e-07	
133.02	1.52442e-07	
133.414	1.52444e-07	
133.808	1.52446e-07	
134.202	1.52448e-07	
134.596	1.52451e-07	
134.99	1.52453e-07	
135.384	1.52455e-07	
135.778	1.52457e-07	
136.172	1.52459e-07	
136.566	1.52461e-07	
136.96	1.52464e-07	
137.354	1.52466e-07	
137.748	1.52468e-07	
138.142	1.5247e-07	
138.536	1.52472e-07	
138.93	1.52474e-07	
139.324	1.52476e-07	
139.718	1.52478e-07	
140.112	1.5248e-07	
140.506	1.52482e-07	
140.9	1.52484e-07	
141.294	1.52486e-07	
141.688	1.52488e-07	
142.082	1.5249e-07	
142.476	1.52492e-07	
142.87	1.52494e-07	
143.264	1.52496e-07	
143.658	1.52498e-07	
144.052	1.525e-07	
144.446	1.52502e-07	
144.84	1.52504e-07	
145.234	1.52506e-07	
145.628	1.52508e-07	
146.022	1.5251e-07	
146.416	1.52511e-07	
146.81	1.52513e-07	
147.204	1.52515e-07	
147.598	1.52517e-07	
147.992	1.52519e-07	
148.386	1.52521e-07	
148.78	1.52523e-07	
149.174	1.52524e-07	
149.568	1.52526e-07	
149.962	1.52528e-07	
150.356	1.5253e-07	
150.75	1.52531e-07	
151.144	1.52533e-07	
151.538	1.52535e-07	
151.932	1.52537e-07	
152.326	1.52538e-07	
152.72	1.5254e-07	
153.114	1.52542e-07	
153.508	1.52544e-07	
153.902	1.52545e-07	
154.296	1.52547e-07	
154.69	1.52549e-07	
155.084	1.5255e-07	
155.478	1.52552e-07	
155.872	1.52554e-07	
156.266	1.52555e-07	
156.66	1.52557e-07	
157.054	1.52558e-07	
157.448	1.5256e-07	
157.842	1.52562e-07	
158.236	1.52563e-07	
158.63	1.52565e-07	
159.024	1.52566e-07	
159.418	1.52568e-07	
159.812	1.5257e-07	
160.206	1.52571e-07	
160.6	1.52573e-07	
160.994	1.52574e-07	
161.388	1.52576e-07	
161.782	1.52577e-07	
162.176	1.52579e-07	
162.57	1.5258e-07	
162.964	1.52582e-07	
163.358	1.52583e-07	
163.752	1.52585e-07	
164.146	1.52586e-07	
164.54	1.52588e-07	
164.934	1.52589e-07	
165.328	1.52591e-07	
165.722	1.52592e-07	
166.116	1.52594e-07	
166.51	1.52595e-07	
166.904	1.52597e-07	
167.298	1.52598e-07	
167.692	1.526e-07	
168.086	1.52601e-07	
168.48	1.52602e-07	
168.874	1.52604e-07	
169.268	1.52605e-07	
169.662	1.52607e-07	
170.056	1.52608e-07	
170.45	1.52609e-07	
170.844	1.52611e-07	
171.238	1.52612e-07	
171.632	1.52613e-07	
172.026	1.52615e-07	
172.42	1.52616e-07	
172.814	1.52617e-07	
173.208	1.52619e-07	
173.602	1.5262e-07	
173.996	1.52621e-07	
174.39	1.52623e-07	
174.784	1.52624e-07	
175.178	1.52625e-07	
175.572	1.52627e-07	
175.966	1.52628e-07	
176.36	1.52629e-07	
176.754	1.52631e-07	
177.148	1.52632e-07	
177.542	1.52633e-07	
177.936	1.52634e-07	
178.33	1.52636e-07	
178.724	1.52637e-07	
179.118	1.52638e-07	
179.512	1.52639e-07	
179.906	1.52641e-07	
180.3	1.52642e-07	
180.694	1.52643e-07	
181.088	1.52644e-07	
181.482	1.52646e-07	
181.876	1.52647e-07	
182.27	1.52648e-07	
182.664	1.52649e-07	
183.058	1.5265e-07	
183.452	1.52652e-07	
183.846	1.52653e-07	
184.24	1.52654e-07	
184.634	1.52655e-07	
185.028	1.52656e-07	
185.422	1.52658e-07	
185.816	1.52659e-07	
186.21	1.5266e-07	
186.604	1.52661e-07	
186.998	1.52662e-07	
187.392	1.52663e-07	
187.786	1.52664e-07	
188.18	1.52666e-07	
188.574	1.52667e-07	
188.968	1.52668e-07	
189.362	1.52669e-07	
189.756	1.5267e-07	
190.15	1.52671e-07	
190.544	1.52672e-07	
190.938	1.52673e-07	
191.332	1.52674e-07	
191.726	1.52676e-07	
192.12	1.52677e-07	
192.514	1.52678e-07	
192.908	1.52679e-07	
193.302	1.5268e-07	
193.696	1.52681e-07	
194.09	1.52682e-07	
194.484	1.52683e-07	
194.878	1.52684e-07	
195.272	1.52685e-07	
195.666	1.52686e-07	
196.06	1.52687e-07	
196.454	1.52688e-07	
196.848	1.52689e-07	
197.242	1.5269e-07	
197.636	1.52691e-07	
198.03	1.52692e-07	
198.424	1.52693e-07	
198.818	1.52694e-07	
199.212	1.52695e-07	
199.606	1.52697e-07	
