x	tac	
22	4.8342e-11	
22.01	4.8345e-11	
22.02	4.8348e-11	
22.03	4.8351e-11	
22.04	4.8354e-11	
22.05	4.8357e-11	
22.06	4.836e-11	
22.07	4.8363e-11	
22.08	4.8366e-11	
22.09	4.8369e-11	
22.1	4.8372e-11	
22.11	4.8375e-11	
22.12	4.8378e-11	
22.13	4.8381e-11	
22.14	4.8384e-11	
22.15	4.83869e-11	
22.16	4.83899e-11	
22.17	4.83929e-11	
22.18	4.83959e-11	
22.19	4.83988e-11	
22.2	4.84018e-11	
22.21	4.84048e-11	
22.22	4.84077e-11	
22.23	4.84107e-11	
22.24	4.84136e-11	
22.25	4.84166e-11	
22.26	4.84196e-11	
22.27	4.84225e-11	
22.28	4.84254e-11	
22.29	4.84284e-11	
22.3	4.84313e-11	
22.31	4.84343e-11	
22.32	4.84372e-11	
22.33	4.84402e-11	
22.34	4.84431e-11	
22.35	4.8446e-11	
22.36	4.84489e-11	
22.37	4.84519e-11	
22.38	4.84548e-11	
22.39	4.84577e-11	
22.4	4.84606e-11	
22.41	4.84635e-11	
22.42	4.84665e-11	
22.43	4.84694e-11	
22.44	4.84723e-11	
22.45	4.84752e-11	
22.46	4.84781e-11	
22.47	4.8481e-11	
22.48	4.84839e-11	
22.49	4.84868e-11	
22.5	4.84897e-11	
22.51	4.84926e-11	
22.52	4.84955e-11	
22.53	4.84984e-11	
22.54	4.85012e-11	
22.55	4.85041e-11	
22.56	4.85066e-11	
22.57	4.85099e-11	
22.58	4.85128e-11	
22.59	4.85156e-11	
22.6	4.85185e-11	
22.61	4.85214e-11	
22.62	4.85242e-11	
22.63	4.85271e-11	
22.64	4.853e-11	
22.65	4.85328e-11	
22.66	4.85357e-11	
22.67	4.85385e-11	
22.68	4.85414e-11	
22.69	4.85443e-11	
22.7	4.85471e-11	
22.71	4.85499e-11	
22.72	4.85528e-11	
22.73	4.85556e-11	
22.74	4.85585e-11	
22.75	4.85613e-11	
22.76	4.85641e-11	
22.77	4.8567e-11	
22.78	4.85698e-11	
22.79	4.85726e-11	
22.8	4.85755e-11	
22.81	4.85783e-11	
22.82	4.85811e-11	
22.83	4.85839e-11	
22.84	4.85867e-11	
22.85	4.85896e-11	
22.86	4.85924e-11	
22.87	4.85952e-11	
22.88	4.8598e-11	
22.89	4.86008e-11	
22.9	4.86036e-11	
22.91	4.86064e-11	
22.92	4.86092e-11	
22.93	4.8612e-11	
22.94	4.86148e-11	
22.95	4.86176e-11	
22.96	4.86204e-11	
22.97	4.86232e-11	
22.98	4.86259e-11	
22.99	4.86287e-11	
23	4.86315e-11	
23.01	4.86343e-11	
23.02	4.86371e-11	
23.03	4.86398e-11	
23.04	4.86426e-11	
23.05	4.86454e-11	
23.06	4.86481e-11	
23.07	4.86509e-11	
23.08	4.86537e-11	
23.09	4.86564e-11	
23.1	4.86592e-11	
23.11	4.8662e-11	
23.12	4.86647e-11	
23.13	4.86675e-11	
23.14	4.86702e-11	
23.15	4.8673e-11	
23.16	4.86757e-11	
23.17	4.86785e-11	
23.18	4.86812e-11	
23.19	4.86839e-11	
23.2	4.86867e-11	
23.21	4.86894e-11	
23.22	4.86921e-11	
23.23	4.86949e-11	
23.24	4.86976e-11	
23.25	4.87003e-11	
23.26	4.8703e-11	
23.27	4.87058e-11	
23.28	4.87085e-11	
23.29	4.87112e-11	
23.3	4.87139e-11	
23.31	4.87166e-11	
23.32	4.87193e-11	
23.33	4.87221e-11	
23.34	4.87248e-11	
23.35	4.87275e-11	
23.36	4.87302e-11	
23.37	4.87329e-11	
23.38	4.87356e-11	
23.39	4.87383e-11	
23.4	4.8741e-11	
23.41	4.87437e-11	
23.42	4.87463e-11	
23.43	4.8749e-11	
23.44	4.87517e-11	
23.45	4.87544e-11	
23.46	4.87571e-11	
23.47	4.87598e-11	
23.48	4.87624e-11	
23.49	4.87651e-11	
23.5	4.87678e-11	
23.51	4.87705e-11	
23.52	4.87731e-11	
23.53	4.87758e-11	
23.54	4.87785e-11	
23.55	4.87811e-11	
23.56	4.87838e-11	
23.57	4.87865e-11	
23.58	4.87891e-11	
23.59	4.87918e-11	
23.6	4.87944e-11	
23.61	4.87971e-11	
23.62	4.87997e-11	
23.63	4.88024e-11	
23.64	4.8805e-11	
23.65	4.88077e-11	
23.66	4.88103e-11	
23.67	4.88129e-11	
23.68	4.88156e-11	
23.69	4.88182e-11	
23.7	4.88208e-11	
23.71	4.88235e-11	
23.72	4.88261e-11	
23.73	4.88287e-11	
23.74	4.88313e-11	
23.75	4.8834e-11	
23.76	4.88366e-11	
23.77	4.88392e-11	
23.78	4.88418e-11	
23.79	4.88444e-11	
23.8	4.8847e-11	
23.81	4.88497e-11	
23.82	4.88523e-11	
23.83	4.88549e-11	
23.84	4.88575e-11	
23.85	4.88601e-11	
23.86	4.88627e-11	
23.87	4.88653e-11	
23.88	4.88679e-11	
23.89	4.88705e-11	
23.9	4.88731e-11	
23.91	4.88756e-11	
23.92	4.88782e-11	
23.93	4.88808e-11	
23.94	4.88834e-11	
23.95	4.8886e-11	
23.96	4.88886e-11	
23.97	4.88911e-11	
23.98	4.88937e-11	
23.99	4.88963e-11	
