x	tac	
22	4.88108e-11	
22.01	4.88139e-11	
22.02	4.88169e-11	
22.03	4.882e-11	
22.04	4.8823e-11	
22.05	4.88261e-11	
22.06	4.88291e-11	
22.07	4.88322e-11	
22.08	4.88352e-11	
22.09	4.88383e-11	
22.1	4.88413e-11	
22.11	4.88443e-11	
22.12	4.88474e-11	
22.13	4.88504e-11	
22.14	4.88534e-11	
22.15	4.88564e-11	
22.16	4.88595e-11	
22.17	4.88625e-11	
22.18	4.88655e-11	
22.19	4.88685e-11	
22.2	4.88715e-11	
22.21	4.88745e-11	
22.22	4.88775e-11	
22.23	4.88805e-11	
22.24	4.88835e-11	
22.25	4.88865e-11	
22.26	4.88895e-11	
22.27	4.88925e-11	
22.28	4.88955e-11	
22.29	4.88985e-11	
22.3	4.89015e-11	
22.31	4.89045e-11	
22.32	4.89074e-11	
22.33	4.89104e-11	
22.34	4.89134e-11	
22.35	4.89164e-11	
22.36	4.89193e-11	
22.37	4.89223e-11	
22.38	4.89253e-11	
22.39	4.89282e-11	
22.4	4.89312e-11	
22.41	4.89341e-11	
22.42	4.89371e-11	
22.43	4.89401e-11	
22.44	4.8943e-11	
22.45	4.8946e-11	
22.46	4.89489e-11	
22.47	4.89519e-11	
22.48	4.89548e-11	
22.49	4.89577e-11	
22.5	4.89607e-11	
22.51	4.89636e-11	
22.52	4.89665e-11	
22.53	4.89695e-11	
22.54	4.89724e-11	
22.55	4.89749e-11	
22.56	4.89779e-11	
22.57	4.89812e-11	
22.58	4.89841e-11	
22.59	4.8987e-11	
22.6	4.89899e-11	
22.61	4.89928e-11	
22.62	4.89957e-11	
22.63	4.89986e-11	
22.64	4.90015e-11	
22.65	4.90044e-11	
22.66	4.90073e-11	
22.67	4.90102e-11	
22.68	4.90131e-11	
22.69	4.9016e-11	
22.7	4.90189e-11	
22.71	4.90218e-11	
22.72	4.90247e-11	
22.73	4.90276e-11	
22.74	4.90304e-11	
22.75	4.90333e-11	
22.76	4.90362e-11	
22.77	4.90391e-11	
22.78	4.90419e-11	
22.79	4.90448e-11	
22.8	4.90477e-11	
22.81	4.90505e-11	
22.82	4.90534e-11	
22.83	4.90563e-11	
22.84	4.90591e-11	
22.85	4.9062e-11	
22.86	4.90648e-11	
22.87	4.90677e-11	
22.88	4.90705e-11	
22.89	4.90734e-11	
22.9	4.90762e-11	
22.91	4.90791e-11	
22.92	4.90819e-11	
22.93	4.90847e-11	
22.94	4.90876e-11	
22.95	4.90904e-11	
22.96	4.90932e-11	
22.97	4.90961e-11	
22.98	4.90989e-11	
22.99	4.91017e-11	
23	4.91045e-11	
23.01	4.91074e-11	
23.02	4.91102e-11	
23.03	4.9113e-11	
23.04	4.91158e-11	
23.05	4.91186e-11	
23.06	4.91214e-11	
23.07	4.91242e-11	
23.08	4.9127e-11	
23.09	4.91298e-11	
23.1	4.91326e-11	
23.11	4.91354e-11	
23.12	4.91382e-11	
23.13	4.9141e-11	
23.14	4.91438e-11	
23.15	4.91466e-11	
23.16	4.91494e-11	
23.17	4.91522e-11	
23.18	4.91549e-11	
23.19	4.91577e-11	
23.2	4.91605e-11	
23.21	4.91633e-11	
23.22	4.9166e-11	
23.23	4.91688e-11	
23.24	4.91716e-11	
23.25	4.91743e-11	
23.26	4.91771e-11	
23.27	4.91799e-11	
23.28	4.91826e-11	
23.29	4.91854e-11	
23.3	4.91881e-11	
23.31	4.91909e-11	
23.32	4.91936e-11	
23.33	4.91964e-11	
23.34	4.91991e-11	
23.35	4.92019e-11	
23.36	4.92046e-11	
23.37	4.92074e-11	
23.38	4.92101e-11	
23.39	4.92128e-11	
23.4	4.92156e-11	
23.41	4.92183e-11	
23.42	4.9221e-11	
23.43	4.92237e-11	
23.44	4.92265e-11	
23.45	4.92292e-11	
23.46	4.92319e-11	
23.47	4.92346e-11	
23.48	4.92373e-11	
23.49	4.92401e-11	
23.5	4.92428e-11	
23.51	4.92455e-11	
23.52	4.92482e-11	
23.53	4.92509e-11	
23.54	4.92536e-11	
23.55	4.92563e-11	
23.56	4.9259e-11	
23.57	4.92617e-11	
23.58	4.92644e-11	
23.59	4.92671e-11	
23.6	4.92698e-11	
23.61	4.92725e-11	
23.62	4.92752e-11	
23.63	4.92778e-11	
23.64	4.92805e-11	
23.65	4.92832e-11	
23.66	4.92859e-11	
23.67	4.92886e-11	
23.68	4.92912e-11	
23.69	4.92939e-11	
23.7	4.92966e-11	
23.71	4.92992e-11	
23.72	4.93019e-11	
23.73	4.93046e-11	
23.74	4.93072e-11	
23.75	4.93099e-11	
23.76	4.93125e-11	
23.77	4.93152e-11	
23.78	4.93179e-11	
23.79	4.93205e-11	
23.8	4.93232e-11	
23.81	4.93258e-11	
23.82	4.93284e-11	
23.83	4.93311e-11	
23.84	4.93337e-11	
23.85	4.93364e-11	
23.86	4.9339e-11	
23.87	4.93416e-11	
23.88	4.93443e-11	
23.89	4.93469e-11	
23.9	4.93495e-11	
23.91	4.93522e-11	
23.92	4.93548e-11	
23.93	4.93574e-11	
23.94	4.936e-11	
23.95	4.93627e-11	
23.96	4.93653e-11	
23.97	4.93679e-11	
23.98	4.93705e-11	
23.99	4.93731e-11	
