x	tac	
2	1.54013e-11	
2.99	2.23197e-11	
3.98	2.7374e-11	
4.97	3.11507e-11	
5.96	3.4064e-11	
6.95	3.63697e-11	
7.94	3.82365e-11	
8.93	3.9777e-11	
9.92	4.1069e-11	
10.91	4.21675e-11	
11.9	4.31128e-11	
12.89	4.39345e-11	
13.88	4.46553e-11	
14.87	4.52926e-11	
15.86	4.58601e-11	
16.85	4.63686e-11	
17.84	4.68268e-11	
18.83	4.72418e-11	
19.82	4.76195e-11	
20.81	4.79646e-11	
21.8	4.82812e-11	
22.79	4.85726e-11	
23.78	4.88418e-11	
24.77	4.90912e-11	
25.76	4.93229e-11	
26.75	4.95387e-11	
27.74	4.97401e-11	
28.73	4.99287e-11	
29.72	5.01055e-11	
30.71	5.02717e-11	
31.7	5.04281e-11	
32.69	5.05756e-11	
33.68	5.0715e-11	
34.67	5.08468e-11	
35.66	5.09717e-11	
36.65	5.10903e-11	
37.64	5.1203e-11	
38.63	5.13101e-11	
39.62	5.14122e-11	
40.61	5.15096e-11	
41.6	5.16025e-11	
42.59	5.16913e-11	
43.58	5.17763e-11	
44.57	5.18576e-11	
45.56	5.19356e-11	
46.55	5.20104e-11	
47.54	5.20822e-11	
48.53	5.21512e-11	
49.52	5.22176e-11	
50.51	5.22815e-11	
51.5	5.2343e-11	
52.49	5.24022e-11	
53.48	5.24594e-11	
54.47	5.25145e-11	
55.46	5.25678e-11	
56.45	5.26193e-11	
57.44	5.2669e-11	
58.43	5.27171e-11	
59.42	5.27637e-11	
60.41	5.28088e-11	
61.4	5.28524e-11	
62.39	5.28948e-11	
63.38	5.29359e-11	
64.37	5.29757e-11	
65.36	5.30144e-11	
66.35	5.30519e-11	
67.34	5.30884e-11	
68.33	5.31238e-11	
69.32	5.31583e-11	
70.31	5.31918e-11	
71.3	5.32244e-11	
72.29	5.32562e-11	
73.28	5.32871e-11	
74.27	5.33172e-11	
75.26	5.33466e-11	
76.25	5.33752e-11	
77.24	5.3403e-11	
78.23	5.34302e-11	
79.22	5.34568e-11	
80.21	5.34827e-11	
81.2	5.35079e-11	
82.19	5.35326e-11	
83.18	5.35567e-11	
84.17	5.35803e-11	
85.16	5.36033e-11	
86.15	5.36258e-11	
87.14	5.36478e-11	
88.13	5.36694e-11	
89.12	5.36904e-11	
90.11	5.3711e-11	
91.1	5.37312e-11	
92.09	5.37509e-11	
93.08	5.37703e-11	
94.07	5.37892e-11	
95.06	5.38078e-11	
96.05	5.38259e-11	
97.04	5.38437e-11	
98.03	5.38612e-11	
99.02	5.38783e-11	
100.01	5.38951e-11	
101	5.39116e-11	
101.99	5.39277e-11	
102.98	5.39436e-11	
103.97	5.39591e-11	
104.96	5.39744e-11	
105.95	5.39893e-11	
106.94	5.4004e-11	
107.93	5.40185e-11	
108.92	5.40327e-11	
109.91	5.40466e-11	
110.9	5.40603e-11	
111.89	5.40737e-11	
112.88	5.4087e-11	
113.87	5.41e-11	
114.86	5.41127e-11	
115.85	5.41253e-11	
116.84	5.41377e-11	
117.83	5.41498e-11	
118.82	5.41614e-11	
119.81	5.41735e-11	
120.8	5.41851e-11	
121.79	5.41964e-11	
122.78	5.42076e-11	
123.77	5.42187e-11	
124.76	5.42295e-11	
125.75	5.42402e-11	
126.74	5.42507e-11	
127.73	5.42611e-11	
128.72	5.42713e-11	
129.71	5.42813e-11	
130.7	5.42912e-11	
131.69	5.4301e-11	
132.68	5.43106e-11	
133.67	5.432e-11	
134.66	5.43294e-11	
135.65	5.43386e-11	
136.64	5.43476e-11	
137.63	5.43566e-11	
138.62	5.43654e-11	
139.61	5.43741e-11	
140.6	5.43826e-11	
141.59	5.43911e-11	
142.58	5.43994e-11	
143.57	5.44076e-11	
144.56	5.44157e-11	
145.55	5.44237e-11	
146.54	5.44316e-11	
147.53	5.44394e-11	
148.52	5.44471e-11	
149.51	5.44547e-11	
150.5	5.44622e-11	
151.49	5.44696e-11	
152.48	5.44769e-11	
153.47	5.44841e-11	
154.46	5.44912e-11	
155.45	5.44982e-11	
156.44	5.45051e-11	
157.43	5.4512e-11	
158.42	5.45188e-11	
159.41	5.45254e-11	
160.4	5.4532e-11	
161.39	5.45386e-11	
162.38	5.4545e-11	
163.37	5.45514e-11	
164.36	5.45577e-11	
165.35	5.45639e-11	
166.34	5.457e-11	
167.33	5.45761e-11	
168.32	5.45821e-11	
169.31	5.4588e-11	
170.3	5.45939e-11	
171.29	5.45997e-11	
172.28	5.46054e-11	
173.27	5.46111e-11	
174.26	5.46167e-11	
175.25	5.46222e-11	
176.24	5.46277e-11	
177.23	5.46331e-11	
178.22	5.46384e-11	
179.21	5.46437e-11	
180.2	5.4649e-11	
181.19	5.46542e-11	
182.18	5.46593e-11	
183.17	5.46644e-11	
184.16	5.46694e-11	
185.15	5.46744e-11	
186.14	5.46793e-11	
187.13	5.46841e-11	
188.12	5.46889e-11	
189.11	5.46943e-11	
190.1	5.46984e-11	
191.09	5.47031e-11	
192.08	5.47077e-11	
193.07	5.47123e-11	
194.06	5.47168e-11	
195.05	5.47213e-11	
196.04	5.47257e-11	
197.03	5.47301e-11	
198.02	5.47344e-11	
199.01	5.47387e-11	
