x	tac
2	1.5706e-11
2.99	2.25485e-11
3.98	2.76358e-11
4.97	3.14462e-11
5.96	3.43852e-11
6.95	3.6711e-11
7.94	3.8594e-11
8.93	4.01478e-11
9.92	4.14509e-11
10.91	4.25588e-11
11.9	4.35121e-11
12.89	4.43408e-11
13.88	4.50677e-11
14.87	4.5714e-11
15.86	4.62907e-11
16.85	4.68074e-11
17.84	4.72728e-11
18.83	4.76942e-11
19.82	4.80776e-11
20.81	4.84279e-11
21.8	4.87491e-11
22.79	4.90448e-11
23.78	2.77455e-89
24.77	4.95708e-11
25.76	4.93002e-11
26.75	4.95201e-11
27.74	4.97243e-11
28.73	4.99151e-11
29.72	5.00938e-11
30.71	5.02615e-11
31.7	5.04193e-11
32.69	5.05681e-11
33.68	5.07085e-11
34.67	5.08413e-11
35.66	5.0967e-11
36.65	5.10863e-11
37.64	5.11996e-11
38.63	5.13073e-11
39.62	5.14099e-11
40.61	5.15077e-11
41.6	5.1601e-11
42.59	5.16901e-11
43.58	5.17753e-11
44.57	5.1857e-11
45.56	5.19352e-11
46.55	5.20102e-11
47.54	5.20823e-11
48.53	5.21514e-11
49.52	5.2218e-11
50.51	5.2282e-11
51.5	5.23436e-11
52.49	5.2403e-11
53.48	5.24603e-11
54.47	5.25155e-11
55.46	5.25688e-11
56.45	5.26204e-11
57.44	5.26702e-11
58.43	5.27183e-11
59.42	5.27649e-11
60.41	5.28101e-11
61.4	5.28538e-11
62.39	5.28962e-11
63.38	5.29373e-11
64.37	5.29771e-11
65.36	5.30158e-11
66.35	5.30534e-11
67.34	5.30898e-11
68.33	5.31253e-11
69.32	5.31598e-11
70.31	5.31933e-11
71.3	5.32259e-11
72.29	5.32577e-11
73.28	5.32886e-11
74.27	5.33187e-11
75.26	5.3348e-11
76.25	5.33766e-11
77.24	5.34045e-11
78.23	5.34317e-11
79.22	5.34582e-11
80.21	5.34841e-11
81.2	5.35094e-11
82.19	5.3534e-11
83.18	5.35581e-11
84.17	5.35817e-11
85.16	5.36047e-11
86.15	5.36272e-11
87.14	5.36492e-11
88.13	5.36707e-11
89.12	5.36917e-11
90.11	5.37123e-11
91.1	5.37325e-11
92.09	5.37522e-11
93.08	5.37715e-11
94.07	5.37905e-11
95.06	5.3809e-11
96.05	5.38271e-11
97.04	5.38449e-11
98.03	5.38624e-11
99.02	5.38795e-11
100.01	5.38963e-11
101	5.39127e-11
101.99	5.39288e-11
102.98	5.39447e-11
103.97	5.39602e-11
104.96	5.39755e-11
105.95	5.39904e-11
106.94	5.40051e-11
107.93	5.40196e-11
108.92	5.40337e-11
109.91	5.40477e-11
110.9	5.40613e-11
111.89	5.40748e-11
112.88	5.4088e-11
113.87	5.4101e-11
114.86	5.41137e-11
115.85	5.41263e-11
116.84	5.41386e-11
117.83	5.41508e-11
118.82	5.41623e-11
119.81	5.41744e-11
120.8	5.4186e-11
121.79	5.41974e-11
122.78	5.42085e-11
123.77	5.42196e-11
124.76	5.42304e-11
125.75	5.42411e-11
126.74	5.42516e-11
127.73	5.42619e-11
128.72	5.42721e-11
129.71	5.42821e-11
130.7	5.4292e-11
131.69	5.43018e-11
132.68	5.43114e-11
133.67	5.43208e-11
134.66	5.43302e-11
135.65	5.43393e-11
136.64	5.43484e-11
137.63	5.43573e-11
138.62	5.43661e-11
139.61	5.43748e-11
140.6	5.43834e-11
141.59	5.43918e-11
142.58	5.44001e-11
143.57	5.44083e-11
144.56	5.44164e-11
145.55	5.44244e-11
146.54	5.44323e-11
147.53	5.44401e-11
148.52	5.44478e-11
149.51	5.44554e-11
150.5	5.44628e-11
151.49	5.44702e-11
152.48	5.44775e-11
153.47	5.44847e-11
154.46	5.44918e-11
155.45	5.44988e-11
156.44	5.45058e-11
157.43	5.45126e-11
158.42	5.45194e-11
159.41	5.4526e-11
160.4	5.45326e-11
161.39	5.45391e-11
162.38	5.45456e-11
163.37	5.45519e-11
164.36	5.45582e-11
165.35	5.45644e-11
166.34	5.45706e-11
167.33	5.45766e-11
168.32	5.45826e-11
169.31	5.45885e-11
170.3	5.45944e-11
171.29	5.46002e-11
172.28	5.46059e-11
173.27	5.46116e-11
174.26	5.46172e-11
175.25	5.46227e-11
176.24	5.46282e-11
177.23	5.46336e-11
178.22	5.46389e-11
179.21	5.46442e-11
180.2	5.46495e-11
181.19	5.46546e-11
182.18	5.46598e-11
183.17	5.46648e-11
184.16	5.46698e-11
185.15	5.46748e-11
186.14	5.46797e-11
187.13	5.46846e-11
188.12	5.46894e-11
189.11	5.46947e-11
190.1	5.46988e-11
191.09	5.47035e-11
192.08	5.47081e-11
193.07	5.47127e-11
194.06	5.47172e-11
195.05	5.47217e-11
196.04	5.47261e-11
197.03	5.47305e-11
198.02	5.47348e-11
199.01	5.47391e-11
