x	tac	
1	2.2582e-08	
1.198	2.85391e-08	
1.396	3.44356e-08	
1.594	4.02348e-08	
1.792	4.59247e-08	
1.99	5.15077e-08	
2.188	5.69933e-08	
2.386	6.23945e-08	
2.584	6.77256e-08	
2.782	7.3004e-08	
2.98	7.8236e-08	
3.178	8.34422e-08	
3.376	8.86331e-08	
3.574	9.38204e-08	
3.772	9.90146e-08	
3.97	1.04226e-07	
4.168	1.09463e-07	
4.366	1.14734e-07	
4.564	1.20048e-07	
4.762	1.25411e-07	
4.96	1.30829e-07	
5.158	1.36309e-07	
5.356	1.41856e-07	
5.554	1.47475e-07	
5.752	1.53171e-07	
5.95	1.58948e-07	
6.148	1.64811e-07	
6.346	1.70764e-07	
6.544	1.76874e-07	
6.742	1.82965e-07	
6.94	1.89199e-07	
7.138	1.95537e-07	
7.336	2.01982e-07	
7.534	2.08538e-07	
7.732	2.15203e-07	
7.93	2.21979e-07	
8.128	2.2887e-07	
8.326	2.35875e-07	
8.524	2.42998e-07	
8.722	2.50238e-07	
8.92	2.57598e-07	
9.118	2.65078e-07	
9.316	2.7268e-07	
9.514	2.80404e-07	
9.712	2.8825e-07	
9.91	2.96219e-07	
10.108	3.04311e-07	
10.306	3.12527e-07	
10.504	3.20865e-07	
10.702	3.29327e-07	
10.9	3.37912e-07	
11.098	3.46618e-07	
11.296	3.55446e-07	
11.494	3.64395e-07	
11.692	3.73464e-07	
11.89	3.82652e-07	
12.088	3.91957e-07	
12.286	4.01378e-07	
12.484	4.10914e-07	
12.682	4.20563e-07	
12.88	4.30324e-07	
13.078	4.40194e-07	
13.276	4.50172e-07	
13.474	4.60255e-07	
13.672	4.70441e-07	
13.87	4.80728e-07	
14.068	4.91114e-07	
14.266	5.01595e-07	
14.464	5.1217e-07	
14.662	5.22834e-07	
14.86	5.33587e-07	
15.058	5.44423e-07	
15.256	5.55341e-07	
15.454	5.66338e-07	
15.652	5.7741e-07	
15.85	5.88553e-07	
16.048	5.99765e-07	
16.246	6.11042e-07	
16.444	6.2238e-07	
16.642	6.33779e-07	
16.84	6.45232e-07	
17.038	6.56734e-07	
17.236	6.68299e-07	
17.434	6.79878e-07	
17.632	6.91533e-07	
17.83	7.03177e-07	
18.028	7.14881e-07	
18.226	7.2662e-07	
18.424	7.3837e-07	
18.622	7.50142e-07	
18.82	7.61925e-07	
19.018	7.73728e-07	
19.216	7.8554e-07	
19.414	7.97358e-07	
19.612	8.09177e-07	
19.81	8.20994e-07	
20.008	8.32808e-07	
20.206	8.44612e-07	
20.404	8.56404e-07	
20.602	8.6818e-07	
20.8	8.79937e-07	
20.998	8.9167e-07	
21.196	9.03376e-07	
21.394	9.15053e-07	
21.592	9.26696e-07	
21.79	9.38303e-07	
21.988	9.49871e-07	
22.186	9.61396e-07	
22.384	9.72875e-07	
22.582	9.84306e-07	
22.78	9.95685e-07	
22.978	1.00701e-06	
23.176	1.01827e-06	
23.374	1.02949e-06	
23.572	1.04063e-06	
23.77	1.05171e-06	
23.968	1.06273e-06	
24.166	1.07367e-06	
24.364	1.08455e-06	
24.562	1.09535e-06	
24.76	1.10607e-06	
24.958	1.11671e-06	
25.156	1.12728e-06	
25.354	1.13777e-06	
25.552	1.14817e-06	
25.75	1.15849e-06	
25.948	1.16872e-06	
26.146	1.17886e-06	
26.344	1.18891e-06	
26.542	1.19888e-06	
26.74	1.20875e-06	
26.938	1.21853e-06	
27.136	1.22821e-06	
27.334	1.2378e-06	
27.532	1.2473e-06	
27.73	1.2567e-06	
27.928	1.266e-06	
28.126	1.2752e-06	
28.324	1.28431e-06	
28.522	1.29331e-06	
28.72	1.30222e-06	
28.918	1.31102e-06	
29.116	1.31973e-06	
29.314	1.32834e-06	
29.512	1.33684e-06	
29.71	1.34525e-06	
29.908	1.35355e-06	
30.106	1.36175e-06	
30.304	1.36985e-06	
30.502	1.37785e-06	
30.7	1.38575e-06	
30.898	1.39355e-06	
31.096	1.40125e-06	
31.294	1.40885e-06	
31.492	1.41635e-06	
31.69	1.42375e-06	
31.888	1.43105e-06	
32.086	1.43825e-06	
32.284	1.44536e-06	
32.482	1.45236e-06	
32.68	1.45927e-06	
32.878	1.46608e-06	
33.076	1.4728e-06	
33.274	1.47942e-06	
33.472	1.48595e-06	
33.67	1.49238e-06	
33.868	1.49872e-06	
34.066	1.50497e-06	
34.264	1.51113e-06	
34.462	1.51719e-06	
34.66	1.52317e-06	
34.858	1.52905e-06	
35.056	1.53485e-06	
35.254	1.54056e-06	
35.452	1.54618e-06	
35.65	1.55172e-06	
35.848	1.55717e-06	
36.046	1.56254e-06	
36.244	1.56782e-06	
36.442	1.57303e-06	
36.64	1.57815e-06	
36.838	1.58319e-06	
37.036	1.58815e-06	
37.234	1.59303e-06	
37.432	1.59784e-06	
37.63	1.60257e-06	
37.828	1.60722e-06	
38.026	1.6118e-06	
38.224	1.6163e-06	
38.422	1.62073e-06	
38.62	1.62509e-06	
38.818	1.62938e-06	
39.016	1.6336e-06	
39.214	1.63775e-06	
39.412	1.64183e-06	
39.61	1.64584e-06	
39.808	1.64979e-06	
40.006	1.65367e-06	
40.204	1.65749e-06	
40.402	1.66125e-06	
40.6	1.66494e-06	
40.798	1.66857e-06	
40.996	1.67214e-06	
41.194	1.67565e-06	
41.392	1.6791e-06	
41.59	1.6825e-06	
41.788	1.68583e-06	
41.986	1.68911e-06	
42.184	1.69234e-06	
42.382	1.69551e-06	
42.58	1.69863e-06	
42.778	1.70169e-06	
42.976	1.7047e-06	
43.174	1.70767e-06	
43.372	1.71058e-06	
43.57	1.71344e-06	
43.768	1.71625e-06	
43.966	1.71902e-06	
44.164	1.72174e-06	
44.362	1.72441e-06	
44.56	1.72703e-06	
44.758	1.72962e-06	
44.956	1.73215e-06	
45.154	1.73465e-06	
45.352	1.7371e-06	
45.55	1.73951e-06	
45.748	1.74188e-06	
45.946	1.74421e-06	
46.144	1.7465e-06	
46.342	1.74875e-06	
46.54	1.75096e-06	
46.738	1.75313e-06	
46.936	1.75527e-06	
47.134	1.75737e-06	
47.332	1.75944e-06	
47.53	1.76146e-06	
47.728	1.76346e-06	
47.926	1.76542e-06	
48.124	1.76735e-06	
48.322	1.76924e-06	
48.52	1.77111e-06	
48.718	1.77294e-06	
48.916	1.77474e-06	
49.114	1.77651e-06	
49.312	1.77825e-06	
49.51	1.77996e-06	
49.708	1.78164e-06	
49.906	1.78329e-06	
50.104	1.78492e-06	
50.302	1.78651e-06	
50.5	1.78809e-06	
50.698	1.78963e-06	
50.896	1.79115e-06	
51.094	1.79264e-06	
51.292	1.79411e-06	
51.49	1.79556e-06	
51.688	1.79698e-06	
51.886	1.79837e-06	
52.084	1.79975e-06	
52.282	1.8011e-06	
52.48	1.80242e-06	
52.678	1.80373e-06	
52.876	1.80502e-06	
53.074	1.80628e-06	
53.272	1.80752e-06	
53.47	1.80875e-06	
53.668	1.80995e-06	
53.866	1.81113e-06	
54.064	1.8123e-06	
54.262	1.81344e-06	
54.46	1.81457e-06	
54.658	1.81568e-06	
54.856	1.81677e-06	
55.054	1.81784e-06	
55.252	1.81889e-06	
55.45	1.81993e-06	
55.648	1.82096e-06	
55.846	1.82196e-06	
56.044	1.82295e-06	
56.242	1.82393e-06	
56.44	1.82488e-06	
56.638	1.82583e-06	
56.836	1.82676e-06	
57.034	1.82767e-06	
57.232	1.82857e-06	
57.43	1.82946e-06	
57.628	1.83033e-06	
57.826	1.83119e-06	
58.024	1.83203e-06	
58.222	1.83287e-06	
58.42	1.83369e-06	
58.618	1.83449e-06	
58.816	1.83529e-06	
59.014	1.83607e-06	
59.212	1.83684e-06	
59.41	1.8376e-06	
59.608	1.83835e-06	
59.806	1.83909e-06	
60.004	1.83981e-06	
60.202	1.84053e-06	
60.4	1.84123e-06	
60.598	1.84193e-06	
60.796	1.84261e-06	
60.994	1.84329e-06	
61.192	1.84395e-06	
61.39	1.8446e-06	
61.588	1.84525e-06	
61.786	1.84589e-06	
61.984	1.84651e-06	
62.182	1.84713e-06	
62.38	1.84774e-06	
62.578	1.84834e-06	
62.776	1.84893e-06	
62.974	1.84951e-06	
63.172	1.85009e-06	
63.37	1.85065e-06	
63.568	1.85121e-06	
63.766	1.85177e-06	
63.964	1.85231e-06	
64.162	1.85285e-06	
64.36	1.85337e-06	
64.558	1.8539e-06	
64.756	1.85441e-06	
64.954	1.85491e-06	
65.152	1.85542e-06	
65.35	1.85591e-06	
65.548	1.8564e-06	
65.746	1.85688e-06	
65.944	1.85736e-06	
66.142	1.85783e-06	
66.34	1.85829e-06	
66.538	1.85875e-06	
66.736	1.8592e-06	
66.934	1.85964e-06	
67.132	1.86008e-06	
67.33	1.86051e-06	
67.528	1.86094e-06	
67.726	1.86137e-06	
67.924	1.86178e-06	
68.122	1.8622e-06	
68.32	1.8626e-06	
68.518	1.863e-06	
68.716	1.8634e-06	
68.914	1.86379e-06	
69.112	1.86418e-06	
69.31	1.86456e-06	
69.508	1.86494e-06	
69.706	1.86532e-06	
