x	tac	
1	3.87823e-08	
1.198	5.49113e-08	
1.396	7.40454e-08	
1.594	9.64912e-08	
1.792	1.22593e-07	
1.99	1.52728e-07	
2.188	1.87294e-07	
2.386	2.26705e-07	
2.584	2.71378e-07	
2.782	3.2173e-07	
2.98	3.78153e-07	
3.178	4.41031e-07	
3.376	5.10696e-07	
3.574	5.90207e-07	
3.772	6.79914e-07	
3.97	7.77993e-07	
4.168	8.8452e-07	
4.366	9.99441e-07	
4.564	1.12258e-06	
4.762	1.25367e-06	
4.96	1.39233e-06	
5.158	1.53776e-06	
5.356	1.69002e-06	
5.554	1.8481e-06	
5.752	2.01121e-06	
5.95	2.17857e-06	
6.148	2.34934e-06	
6.346	2.52264e-06	
6.544	2.69762e-06	
6.742	2.87337e-06	
6.94	3.04912e-06	
7.138	3.22408e-06	
7.336	7.15124e-07	
7.534	6.51602e-07	
7.732	6.09232e-07	
7.93	5.78936e-07	
8.128	5.56114e-07	
8.326	5.38531e-07	
8.524	5.24796e-07	
8.722	5.13978e-07	
8.92	5.05463e-07	
9.118	4.98886e-07	
9.316	4.93801e-07	
9.514	4.90049e-07	
9.712	4.87433e-07	
9.91	4.85771e-07	
10.108	4.84959e-07	
10.306	4.84903e-07	
10.504	4.85523e-07	
10.702	4.86745e-07	
10.9	4.88504e-07	
11.098	4.90834e-07	
11.296	4.93601e-07	
11.494	4.96779e-07	
11.692	5.0041e-07	
11.89	5.04367e-07	
12.088	5.08728e-07	
12.286	5.13399e-07	
12.484	5.18364e-07	
12.682	5.23683e-07	
12.88	5.2926e-07	
13.078	5.35093e-07	
13.276	5.41176e-07	
13.474	5.4755e-07	
13.672	5.54153e-07	
13.87	5.60977e-07	
14.068	5.68017e-07	
14.266	5.75266e-07	
14.464	5.82714e-07	
14.662	5.90355e-07	
14.86	5.98181e-07	
15.058	6.06181e-07	
15.256	6.14349e-07	
15.454	6.22677e-07	
15.652	6.31202e-07	
15.85	6.39873e-07	
16.048	6.4868e-07	
16.246	6.57613e-07	
16.444	6.66665e-07	
16.642	6.75898e-07	
16.84	6.8524e-07	
17.038	6.94674e-07	
17.236	7.04235e-07	
17.434	7.13912e-07	
17.632	7.23671e-07	
17.83	7.33515e-07	
18.028	7.43503e-07	
18.226	7.53525e-07	
18.424	7.63642e-07	
18.622	7.73843e-07	
18.82	7.84062e-07	
19.018	7.94423e-07	
19.216	8.04782e-07	
19.414	8.15241e-07	
19.612	8.25716e-07	
19.81	8.36254e-07	
20.008	8.46825e-07	
20.206	8.57435e-07	
20.404	8.68073e-07	
20.602	8.7874e-07	
20.8	8.89423e-07	
20.998	9.00134e-07	
21.196	9.10836e-07	
21.394	9.21579e-07	
21.592	9.32277e-07	
21.79	9.43037e-07	
21.988	9.53737e-07	
22.186	9.64473e-07	
22.384	9.75173e-07	
22.582	9.85851e-07	
22.78	9.96537e-07	
22.978	1.00716e-06	
23.176	1.01779e-06	
23.374	1.02838e-06	
23.572	1.03891e-06	
23.77	1.04945e-06	
23.968	1.05992e-06	
24.166	1.07035e-06	
24.364	1.08075e-06	
24.562	1.09107e-06	
24.76	1.10135e-06	
24.958	1.11159e-06	
25.156	1.12175e-06	
25.354	1.13186e-06	
25.552	1.14192e-06	
25.75	1.1519e-06	
25.948	1.1618e-06	
26.146	1.17166e-06	
26.344	1.18144e-06	
26.542	1.19112e-06	
26.74	1.20076e-06	
26.938	1.21032e-06	
27.136	1.21978e-06	
27.334	1.22916e-06	
27.532	1.23849e-06	
27.73	1.24771e-06	
27.928	1.25684e-06	
28.126	1.2659e-06	
28.324	1.27488e-06	
28.522	1.28376e-06	
28.72	1.29254e-06	
28.918	1.30126e-06	
29.116	1.30988e-06	
29.314	1.3184e-06	
29.512	1.32682e-06	
29.71	1.33517e-06	
29.908	1.34342e-06	
30.106	1.35158e-06	
30.304	1.35964e-06	
30.502	1.3676e-06	
30.7	1.37548e-06	
