x	tac
32.5	3.40114e-10
32.5008	3.40114e-10
32.5016	3.40115e-10
32.5024	3.40116e-10
32.5032	3.40117e-10
32.504	3.40117e-10
32.5048	3.40118e-10
32.5056	3.40119e-10
32.5064	3.40119e-10
32.5072	3.4012e-10
32.508	3.40121e-10
32.5088	3.40122e-10
32.5096	3.40122e-10
32.5104	3.40123e-10
32.5112	3.40124e-10
32.512	3.40125e-10
32.5128	3.40125e-10
32.5136	3.40126e-10
32.5144	3.40127e-10
32.5152	3.40127e-10
32.516	3.40128e-10
32.5168	3.40129e-10
32.5176	3.4013e-10
32.5184	3.4013e-10
32.5192	3.40131e-10
32.52	3.40132e-10
32.5208	3.40132e-10
32.5216	3.40133e-10
32.5224	3.40134e-10
32.5232	3.40135e-10
32.524	3.40135e-10
32.5248	3.40136e-10
32.5256	3.40137e-10
32.5264	3.40137e-10
32.5272	3.40138e-10
32.528	3.40139e-10
32.5288	3.4014e-10
32.5296	3.4014e-10
32.5304	3.40141e-10
32.5312	3.40142e-10
32.532	3.40142e-10
32.5328	3.40143e-10
32.5336	3.40144e-10
32.5344	3.40145e-10
32.5352	3.40145e-10
32.536	3.40146e-10
32.5368	3.40147e-10
32.5376	3.40147e-10
32.5384	3.40148e-10
32.5392	3.40149e-10
32.54	3.4015e-10
32.5408	3.4015e-10
32.5416	3.40151e-10
32.5424	3.40152e-10
32.5432	3.40152e-10
32.544	3.40153e-10
32.5448	3.40154e-10
32.5456	3.40155e-10
32.5464	3.40155e-10
32.5472	3.40156e-10
32.548	3.40157e-10
32.5488	3.40157e-10
32.5496	3.40158e-10
32.5504	3.40159e-10
32.5512	3.4016e-10
32.552	3.4016e-10
32.5528	3.40161e-10
32.5536	3.40162e-10
32.5544	3.40162e-10
32.5552	3.40163e-10
32.556	3.40164e-10
32.5568	3.40165e-10
32.5576	3.40165e-10
32.5584	3.40166e-10
32.5592	3.40167e-10
32.56	3.40167e-10
32.5608	3.40168e-10
32.5616	3.40169e-10
32.5624	3.4017e-10
32.5632	3.4017e-10
32.564	3.40171e-10
32.5648	3.40172e-10
32.5656	3.40172e-10
32.5664	3.40173e-10
32.5672	3.40174e-10
32.568	3.40175e-10
32.5688	3.40175e-10
32.5696	3.40176e-10
32.5704	3.40177e-10
32.5712	3.40177e-10
32.572	3.40178e-10
32.5728	3.40179e-10
32.5736	3.4018e-10
32.5744	3.4018e-10
32.5752	3.40181e-10
32.576	3.40182e-10
32.5768	3.40182e-10
32.5776	3.40183e-10
32.5784	3.40184e-10
32.5792	3.40185e-10
32.58	3.40185e-10
32.5808	3.40186e-10
32.5816	3.40187e-10
32.5824	3.40187e-10
32.5832	3.40188e-10
32.584	3.40189e-10
32.5848	3.4019e-10
32.5856	3.4019e-10
32.5864	3.40191e-10
32.5872	3.40192e-10
32.588	3.40192e-10
32.5888	3.40193e-10
32.5896	3.40194e-10
32.5904	3.40195e-10
32.5912	3.40195e-10
32.592	3.40196e-10
32.5928	3.40197e-10
32.5936	3.40197e-10
32.5944	3.40198e-10
32.5952	3.40199e-10
32.596	3.402e-10
32.5968	3.402e-10
32.5976	3.40201e-10
32.5984	3.40202e-10
32.5992	3.40202e-10
32.6	3.40203e-10
32.6008	3.40204e-10
32.6016	3.40205e-10
32.6024	3.40205e-10
32.6032	3.40206e-10
32.604	3.40207e-10
32.6048	3.40207e-10
32.6056	3.40208e-10
32.6064	3.40209e-10
32.6072	3.4021e-10
32.608	3.4021e-10
32.6088	3.40211e-10
32.6096	3.40212e-10
32.6104	3.40212e-10
32.6112	3.40213e-10
32.612	3.40214e-10
32.6128	3.40215e-10
32.6136	3.40215e-10
32.6144	3.40216e-10
32.6152	3.40217e-10
32.616	3.40217e-10
32.6168	3.40218e-10
32.6176	3.40219e-10
32.6184	3.4022e-10
32.6192	3.4022e-10
32.62	3.40221e-10
32.6208	3.40222e-10
32.6216	3.40222e-10
32.6224	3.40223e-10
32.6232	3.40224e-10
32.624	3.40225e-10
32.6248	3.40225e-10
32.6256	3.40226e-10
32.6264	3.40227e-10
32.6272	3.40227e-10
32.628	3.40228e-10
32.6288	3.40229e-10
32.6296	3.4023e-10
32.6304	3.4023e-10
32.6312	3.40231e-10
32.632	3.40232e-10
32.6328	3.40232e-10
32.6336	3.40233e-10
32.6344	3.40234e-10
32.6352	3.40235e-10
32.636	3.40235e-10
32.6368	3.40236e-10
32.6376	3.40237e-10
32.6384	3.40237e-10
32.6392	3.40238e-10
32.64	3.40239e-10
32.6408	3.40239e-10
32.6416	3.4024e-10
32.6424	3.40241e-10
32.6432	3.40242e-10
32.644	3.40242e-10
32.6448	3.40243e-10
32.6456	3.40244e-10
32.6464	3.40244e-10
32.6472	3.40245e-10
32.648	3.40246e-10
32.6488	3.40247e-10
32.6496	3.40247e-10
32.6504	3.40248e-10
32.6512	3.40249e-10
32.652	3.40249e-10
32.6528	3.4025e-10
32.6536	3.40251e-10
32.6544	3.40252e-10
32.6552	3.40252e-10
32.656	3.40253e-10
32.6568	3.40254e-10
32.6576	3.40254e-10
32.6584	3.40255e-10
32.6592	3.40256e-10
32.66	3.40257e-10
32.6608	3.40257e-10
32.6616	3.40258e-10
32.6624	3.40259e-10
32.6632	3.40259e-10
32.664	3.4026e-10
32.6648	3.40261e-10
32.6656	3.40262e-10
32.6664	3.40262e-10
32.6672	3.40263e-10
32.668	3.40264e-10
32.6688	3.40264e-10
32.6696	3.40265e-10
32.6704	3.40266e-10
32.6712	3.40266e-10
32.672	3.40267e-10
32.6728	3.40268e-10
32.6736	3.40269e-10
32.6744	3.40269e-10
32.6752	3.4027e-10
32.676	3.40271e-10
32.6768	3.40271e-10
32.6776	3.40272e-10
32.6784	3.40273e-10
32.6792	3.40274e-10
32.68	3.40274e-10
32.6808	3.40275e-10
32.6816	3.40276e-10
32.6824	3.40276e-10
32.6832	3.40277e-10
32.684	3.40278e-10
32.6848	3.40279e-10
32.6856	3.40279e-10
32.6864	3.4028e-10
32.6872	3.40281e-10
32.688	3.40281e-10
32.6888	3.40282e-10
32.6896	3.40283e-10
32.6904	3.40284e-10
32.6912	3.40284e-10
32.692	3.40285e-10
32.6928	3.40286e-10
32.6936	3.40286e-10
32.6944	3.40287e-10
32.6952	3.40288e-10
32.696	3.40288e-10
32.6968	3.40289e-10
32.6976	3.4029e-10
32.6984	3.40291e-10
32.6992	3.40291e-10
32.7	3.40292e-10
32.7008	3.40293e-10
32.7016	3.40293e-10
32.7024	3.40294e-10
32.7032	3.40295e-10
32.704	3.40296e-10
32.7048	3.40296e-10
32.7056	3.40297e-10
32.7064	3.40298e-10
32.7072	3.40298e-10
32.708	3.40299e-10
32.7088	3.403e-10
32.7096	3.40301e-10
32.7104	3.40301e-10
32.7112	3.40302e-10
32.712	3.40303e-10
32.7128	3.40303e-10
32.7136	3.40304e-10
32.7144	3.40305e-10
32.7152	3.40306e-10
32.716	3.40306e-10
32.7168	3.40307e-10
32.7176	3.40308e-10
32.7184	3.40308e-10
32.7192	3.40309e-10
32.72	3.4031e-10
32.7208	3.4031e-10
32.7216	3.40311e-10
32.7224	3.40312e-10
32.7232	3.40313e-10
32.724	3.40313e-10
32.7248	3.40314e-10
32.7256	3.40315e-10
32.7264	3.40315e-10
32.7272	3.40316e-10
32.728	3.40317e-10
32.7288	3.40318e-10
32.7296	3.40318e-10
32.7304	3.40319e-10
32.7312	3.4032e-10
32.732	3.4032e-10
32.7328	3.40321e-10
32.7336	3.40322e-10
32.7344	3.40323e-10
32.7352	3.40323e-10
32.736	3.40324e-10
32.7368	3.40325e-10
32.7376	3.40325e-10
32.7384	3.40326e-10
32.7392	3.40327e-10
32.74	3.40327e-10
32.7408	3.40328e-10
32.7416	3.40329e-10
32.7424	3.4033e-10
32.7432	3.4033e-10
32.744	3.40331e-10
32.7448	3.40332e-10
32.7456	3.40332e-10
32.7464	3.40333e-10
32.7472	3.40334e-10
32.748	3.40334e-10
32.7488	3.40335e-10
32.7496	3.40336e-10
32.7504	3.40337e-10
32.7512	3.40337e-10
32.752	3.40338e-10
32.7528	3.40339e-10
32.7536	3.4034e-10
32.7544	3.4034e-10
32.7552	3.40341e-10
32.756	3.40342e-10
32.7568	3.40342e-10
32.7576	3.40343e-10
32.7584	3.40344e-10
32.7592	3.40344e-10
32.76	3.40345e-10
32.7608	3.40346e-10
32.7616	3.40347e-10
32.7624	3.40347e-10
32.7632	3.40348e-10
32.764	3.40349e-10
32.7648	3.40349e-10
32.7656	3.4035e-10
32.7664	3.40351e-10
32.7672	3.40351e-10
32.768	3.40352e-10
32.7688	3.40353e-10
32.7696	3.40354e-10
32.7704	3.40354e-10
32.7712	3.40355e-10
32.772	3.40356e-10
32.7728	3.40356e-10
32.7736	3.40357e-10
32.7744	3.40358e-10
32.7752	3.40359e-10
32.776	3.40359e-10
32.7768	3.4036e-10
32.7776	3.40361e-10
32.7784	3.40361e-10
32.7792	3.40362e-10
32.78	3.40363e-10
32.7808	3.40364e-10
32.7816	3.40364e-10
32.7824	3.40365e-10
32.7832	3.40366e-10
32.784	3.40366e-10
32.7848	3.40367e-10
32.7856	3.40368e-10
32.7864	3.40368e-10
32.7872	3.40369e-10
32.788	3.4037e-10
32.7888	3.40371e-10
32.7896	3.40371e-10
32.7904	3.40372e-10
32.7912	3.40373e-10
32.792	3.40373e-10
32.7928	3.40374e-10
32.7936	3.40375e-10
32.7944	3.40375e-10
32.7952	3.40376e-10
32.796	3.40377e-10
32.7968	3.40378e-10
32.7976	3.40378e-10
32.7984	3.40379e-10
32.7992	3.4038e-10
32.8	3.4038e-10
32.8008	3.40381e-10
32.8016	3.40382e-10
32.8024	3.40383e-10
32.8032	3.40383e-10
32.804	3.40384e-10
32.8048	3.40385e-10
32.8056	3.40385e-10
32.8064	3.40386e-10
32.8072	3.40387e-10
32.808	3.40387e-10
32.8088	3.40388e-10
32.8096	3.40389e-10
32.8104	3.4039e-10
32.8112	3.4039e-10
32.812	3.40391e-10
32.8128	3.40392e-10
32.8136	3.40392e-10
32.8144	3.40393e-10
32.8152	3.40394e-10
32.816	3.40395e-10
32.8168	3.40395e-10
32.8176	3.40396e-10
32.8184	3.40397e-10
32.8192	3.40397e-10
32.82	3.40398e-10
32.8208	3.40399e-10
32.8216	3.40399e-10
32.8224	3.404e-10
32.8232	3.40401e-10
32.824	3.40402e-10
32.8248	3.40402e-10
32.8256	3.40403e-10
32.8264	3.40404e-10
32.8272	3.40404e-10
32.828	3.40405e-10
32.8288	3.40406e-10
32.8296	3.40407e-10
32.8304	3.40407e-10
32.8312	3.40408e-10
32.832	3.40409e-10
32.8328	3.40409e-10
32.8336	3.4041e-10
32.8344	3.40411e-10
32.8352	3.40411e-10
32.836	3.40412e-10
32.8368	3.40413e-10
32.8376	3.40414e-10
32.8384	3.40414e-10
32.8392	3.40415e-10
32.84	3.40416e-10
32.8408	3.40416e-10
32.8416	3.40417e-10
32.8424	3.40418e-10
32.8432	3.40418e-10
32.844	3.40419e-10
32.8448	3.4042e-10
32.8456	3.40421e-10
32.8464	3.40421e-10
32.8472	3.40422e-10
32.848	3.40423e-10
32.8488	3.40423e-10
32.8496	3.40424e-10
32.8504	3.40425e-10
32.8512	3.40426e-10
32.852	3.40426e-10
32.8528	3.40427e-10
32.8536	3.40428e-10
32.8544	3.40428e-10
32.8552	3.40429e-10
32.856	3.4043e-10
32.8568	3.4043e-10
32.8576	3.40431e-10
32.8584	3.40432e-10
32.8592	3.40433e-10
32.86	3.40433e-10
32.8608	3.40434e-10
32.8616	3.40435e-10
32.8624	3.40435e-10
32.8632	3.40436e-10
32.864	3.40437e-10
32.8648	3.40437e-10
32.8656	3.40438e-10
32.8664	3.40439e-10
32.8672	3.4044e-10
32.868	3.4044e-10
32.8688	3.40441e-10
32.8696	3.40442e-10
32.8704	3.40442e-10
32.8712	3.40443e-10
32.872	3.40444e-10
32.8728	3.40444e-10
32.8736	3.40445e-10
32.8744	3.40446e-10
32.8752	3.40447e-10
32.876	3.40447e-10
32.8768	3.40448e-10
32.8776	3.40449e-10
32.8784	3.40449e-10
32.8792	3.4045e-10
32.88	3.40451e-10
32.8808	3.40451e-10
32.8816	3.40452e-10
32.8824	3.40453e-10
32.8832	3.40454e-10
32.884	3.40454e-10
32.8848	3.40455e-10
32.8856	3.40456e-10
32.8864	3.40456e-10
32.8872	3.40457e-10
32.888	3.40458e-10
32.8888	3.40458e-10
32.8896	3.40459e-10
32.8904	3.4046e-10
32.8912	3.40461e-10
32.892	3.40461e-10
32.8928	3.40462e-10
32.8936	3.40463e-10
32.8944	3.40463e-10
32.8952	3.40464e-10
32.896	3.40465e-10
32.8968	3.40465e-10
32.8976	3.40466e-10
32.8984	3.40467e-10
32.8992	3.40468e-10
32.9	3.40468e-10
32.9008	3.40469e-10
32.9016	3.4047e-10
32.9024	3.4047e-10
32.9032	3.40471e-10
32.904	3.40472e-10
32.9048	3.40473e-10
32.9056	3.40473e-10
32.9064	3.40474e-10
32.9072	3.40475e-10
32.908	3.40475e-10
32.9088	3.40476e-10
32.9096	3.40477e-10
32.9104	3.40477e-10
32.9112	3.40478e-10
32.912	3.40479e-10
32.9128	3.4048e-10
32.9136	3.4048e-10
32.9144	3.40481e-10
32.9152	3.40482e-10
32.916	3.40482e-10
32.9168	3.40483e-10
32.9176	3.40484e-10
32.9184	3.40484e-10
32.9192	3.40485e-10
32.92	3.40486e-10
32.9208	3.40486e-10
32.9216	3.40487e-10
32.9224	3.40488e-10
32.9232	3.40489e-10
32.924	3.40489e-10
32.9248	3.40552e-10
32.9256	3.40553e-10
32.9264	3.40554e-10
32.9272	3.40555e-10
32.928	3.40555e-10
32.9288	3.40556e-10
32.9296	3.40557e-10
32.9304	3.40557e-10
32.9312	3.40558e-10
32.932	3.40559e-10
32.9328	3.40559e-10
32.9336	3.4056e-10
32.9344	3.40561e-10
32.9352	1.19782e-06
32.936	1.19782e-06
32.9368	1.19782e-06
32.9376	1.19783e-06
32.9384	1.19783e-06
32.9392	1.19783e-06
32.94	1.19783e-06
32.9408	1.19784e-06
32.9416	1.19784e-06
32.9424	1.19784e-06
32.9432	1.19784e-06
32.944	1.19785e-06
32.9448	1.19785e-06
32.9456	1.19785e-06
32.9464	1.19785e-06
32.9472	1.19786e-06
32.948	1.19786e-06
32.9488	1.19786e-06
32.9496	5.18399e-07
32.9504	5.184e-07
32.9512	5.18401e-07
32.952	5.18402e-07
32.9528	5.18403e-07
32.9536	5.18405e-07
32.9544	5.18406e-07
32.9552	5.18407e-07
32.956	5.18408e-07
32.9568	5.18409e-07
32.9576	5.1841e-07
32.9584	5.18411e-07
32.9592	5.18412e-07
32.96	5.18413e-07
32.9608	5.18415e-07
32.9616	5.18416e-07
32.9624	5.18417e-07
32.9632	5.18418e-07
32.964	5.18419e-07
32.9648	5.1842e-07
32.9656	5.18421e-07
32.9664	5.18422e-07
32.9672	5.18423e-07
32.968	5.18425e-07
32.9688	5.18426e-07
32.9696	5.18427e-07
32.9704	5.18428e-07
32.9712	5.18429e-07
32.972	5.1843e-07
32.9728	5.18431e-07
32.9736	5.18432e-07
32.9744	3.1495e-07
32.9752	3.14951e-07
32.976	3.14951e-07
32.9768	3.14952e-07
32.9776	3.14953e-07
32.9784	3.14953e-07
32.9792	3.14954e-07
32.98	3.14955e-07
32.9808	3.14955e-07
32.9816	3.14956e-07
32.9824	3.14957e-07
32.9832	3.14957e-07
32.984	3.14958e-07
32.9848	3.14959e-07
32.9856	3.14959e-07
32.9864	3.1496e-07
32.9872	3.14961e-07
32.988	3.14961e-07
32.9888	3.14962e-07
32.9896	3.14963e-07
32.9904	3.14963e-07
32.9912	3.14964e-07
32.992	3.14965e-07
32.9928	3.14965e-07
32.9936	3.14966e-07
32.9944	3.14967e-07
32.9952	3.14967e-07
32.996	3.14968e-07
32.9968	3.14969e-07
32.9976	3.14969e-07
32.9984	3.1497e-07
32.9992	2.186e-07
33	2.186e-07
33.0008	2.186e-07
33.0016	2.18601e-07
33.0024	2.18601e-07
33.0032	2.18602e-07
33.004	2.18602e-07
33.0048	2.18603e-07
33.0056	2.18603e-07
33.0064	2.18604e-07
33.0072	2.18604e-07
33.008	2.18605e-07
33.0088	2.18605e-07
33.0096	2.18606e-07
33.0104	2.18606e-07
33.0112	2.18607e-07
33.012	2.18607e-07
33.0128	2.18608e-07
33.0136	2.18608e-07
33.0144	2.18608e-07
33.0152	2.18609e-07
33.016	2.18609e-07
33.0168	2.1861e-07
33.0176	2.1861e-07
33.0184	2.18611e-07
33.0192	2.18611e-07
33.02	2.18612e-07
33.0208	2.18612e-07
33.0216	2.18613e-07
33.0224	2.18613e-07
33.0232	2.18614e-07
33.024	1.63396e-07
33.0248	1.63396e-07
33.0256	1.63396e-07
33.0264	1.63397e-07
33.0272	1.63397e-07
33.028	1.63397e-07
33.0288	1.63398e-07
33.0296	1.63398e-07
33.0304	1.63398e-07
33.0312	1.63399e-07
33.032	1.63399e-07
33.0328	1.63399e-07
33.0336	1.634e-07
33.0344	1.634e-07
33.0352	1.634e-07
33.036	1.63401e-07
33.0368	1.63401e-07
33.0376	1.63402e-07
33.0384	1.63402e-07
33.0392	1.63402e-07
33.04	1.63403e-07
33.0408	1.63403e-07
33.0416	1.63403e-07
33.0424	1.63404e-07
33.0432	1.63404e-07
33.044	1.63404e-07
33.0448	1.63405e-07
33.0456	1.63405e-07
33.0464	1.63405e-07
33.0472	1.63406e-07
33.048	1.63406e-07
33.0488	1.63406e-07
33.0496	1.28121e-07
33.0504	1.28121e-07
33.0512	1.28121e-07
33.052	1.28121e-07
33.0528	1.28122e-07
33.0536	1.28122e-07
33.0544	1.28122e-07
33.0552	1.28122e-07
33.056	1.28123e-07
33.0568	1.28123e-07
33.0576	1.28123e-07
33.0584	1.28124e-07
33.0592	1.28124e-07
33.06	1.28124e-07
33.0608	1.28124e-07
33.0616	1.28125e-07
33.0624	1.28125e-07
33.0632	1.28125e-07
33.064	1.28125e-07
33.0648	1.28126e-07
33.0656	1.28126e-07
33.0664	1.28126e-07
33.0672	1.28127e-07
33.068	1.28127e-07
33.0688	1.28127e-07
33.0696	1.28127e-07
