sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	8.04396e-16	
8496	5.3541e-16	
8504	4.28152e-16	
8512	3.66474e-16	
8520	3.25116e-16	
8528	2.94885e-16	
8536	2.71526e-16	
8544	2.52763e-16	
8552	2.37253e-16	
8560	2.24145e-16	
8568	2.12873e-16	
8576	2.03039e-16	
8584	1.94359e-16	
8592	1.86621e-16	
8600	1.79663e-16	
8608	1.73361e-16	
8616	1.67617e-16	
8624	1.6235e-16	
8632	1.57499e-16	
8640	1.53009e-16	
8648	1.48838e-16	
8656	1.44948e-16	
8664	1.41309e-16	
8672	1.37894e-16	
8680	1.34681e-16	
8688	1.31651e-16	
8696	1.28785e-16	
8704	1.2607e-16	
8712	1.23493e-16	
8720	1.21041e-16	
8728	1.18706e-16	
8736	1.16477e-16	
8744	1.14347e-16	
8752	1.12308e-16	
8760	1.10354e-16	
8768	1.08479e-16	
8776	1.06678e-16	
8784	1.04946e-16	
8792	1.03278e-16	
8800	1.01671e-16	
8808	1.00121e-16	
8816	9.86246e-17	
8824	9.71783e-17	
8832	9.57797e-17	
8840	9.4426e-17	
8848	9.31149e-17	
8856	9.18441e-17	
8864	9.06116e-17	
8872	8.94155e-17	
8880	8.82538e-17	
8888	8.71251e-17	
8896	8.60276e-17	
8904	8.49601e-17	
8912	8.3921e-17	
8920	8.29092e-17	
8928	8.19234e-17	
8936	8.09626e-17	
8944	8.00256e-17	
8952	7.91115e-17	
8960	7.82193e-17	
8968	7.73483e-17	
8976	7.64974e-17	
8984	7.5666e-17	
8992	7.48534e-17	
9000	7.40587e-17	
9008	7.32814e-17	
9016	7.25208e-17	
9024	7.17763e-17	
9032	7.10473e-17	
9040	7.03334e-17	
9048	6.96339e-17	
9056	6.89484e-17	
9064	6.82765e-17	
9072	6.76177e-17	
9080	6.69715e-17	
9088	6.63376e-17	
9096	6.57156e-17	
9104	6.51051e-17	
9112	6.45058e-17	
9120	6.39172e-17	
9128	6.33392e-17	
9136	6.27713e-17	
9144	6.22134e-17	
9152	6.1665e-17	
9160	6.1126e-17	
9168	6.0596e-17	
9176	6.00749e-17	
9184	5.95623e-17	
9192	5.90581e-17	
9200	5.8562e-17	
9208	5.80738e-17	
9216	5.75933e-17	
9224	5.71203e-17	
9232	5.66546e-17	
9240	5.61961e-17	
9248	5.57445e-17	
9256	5.52996e-17	
9264	5.48614e-17	
9272	5.44296e-17	
9280	5.40041e-17	
9288	5.35847e-17	
9296	5.31713e-17	
9304	5.27638e-17	
9312	5.2362e-17	
9320	5.19658e-17	
9328	5.15751e-17	
9336	5.11897e-17	
9344	5.08095e-17	
9352	5.04345e-17	
9360	5.00644e-17	
9368	4.96993e-17	
9376	4.93389e-17	
9384	4.89832e-17	
9392	4.86321e-17	
9400	4.82854e-17	
9408	4.79432e-17	
9416	4.76053e-17	
9424	4.72716e-17	
9432	4.69421e-17	
9440	4.66166e-17	
9448	4.6295e-17	
9456	4.59774e-17	
9464	4.56636e-17	
9472	4.53535e-17	
9480	4.50471e-17	
9488	4.47444e-17	
9496	4.44451e-17	
9504	4.41493e-17	
9512	4.3857e-17	
9520	4.3568e-17	
9528	4.32822e-17	
9536	4.29997e-17	
9544	4.27204e-17	
9552	4.24442e-17	
9560	4.2171e-17	
9568	4.19008e-17	
9576	4.16336e-17	
9584	4.13693e-17	
9592	4.11078e-17	
9600	4.08492e-17	
9608	4.05933e-17	
9616	4.03401e-17	
9624	4.00895e-17	
9632	3.98416e-17	
9640	3.95963e-17	
9648	3.93535e-17	
9656	3.91132e-17	
9664	3.88753e-17	
9672	3.86399e-17	
9680	3.84068e-17	
9688	3.81761e-17	
9696	3.79476e-17	
9704	3.77215e-17	
9712	3.74975e-17	
9720	3.72758e-17	
9728	3.70562e-17	
9736	3.68388e-17	
9744	3.66235e-17	
9752	3.64102e-17	
9760	3.61989e-17	
9768	3.59897e-17	
9776	3.57824e-17	
9784	3.55771e-17	
9792	3.53738e-17	
9800	3.51723e-17	
9808	3.49726e-17	
9816	3.47748e-17	
9824	3.45788e-17	
9832	3.43847e-17	
9840	3.41922e-17	
9848	3.40015e-17	
9856	3.38125e-17	
9864	3.36253e-17	
9872	3.34396e-17	
9880	3.32556e-17	
9888	3.30733e-17	
9896	3.28925e-17	
9904	3.27133e-17	
9912	3.25357e-17	
9920	3.23596e-17	
9928	3.21851e-17	
9936	3.2012e-17	
9944	3.18404e-17	
9952	3.16703e-17	
9960	3.15016e-17	
9968	3.13343e-17	
9976	3.11684e-17	
9984	3.10039e-17	
9992	3.08408e-17	
10000	3.0679e-17	
