sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.25603e-26	
8496	8.74386e-27	
8504	7.0883e-27	
8512	6.10741e-27	
8520	5.43932e-27	
8528	4.94624e-27	
8536	4.56274e-27	
8544	4.25322e-27	
8552	3.99644e-27	
8560	3.77882e-27	
8568	3.59124e-27	
8576	3.4273e-27	
8584	3.28237e-27	
8592	3.15298e-27	
8600	3.03651e-27	
8608	2.93091e-27	
8616	2.83457e-27	
8624	2.74619e-27	
8632	2.6647e-27	
8640	2.58925e-27	
8648	2.51911e-27	
8656	2.45367e-27	
8664	2.39242e-27	
8672	2.33492e-27	
8680	2.2808e-27	
8688	2.22973e-27	
8696	2.18143e-27	
8704	2.13566e-27	
8712	2.09219e-27	
8720	2.05083e-27	
8728	2.01141e-27	
8736	1.97379e-27	
8744	1.93783e-27	
8752	1.90341e-27	
8760	1.87041e-27	
8768	1.83874e-27	
8776	1.80832e-27	
8784	1.77905e-27	
8792	1.75087e-27	
8800	1.7237e-27	
8808	1.6975e-27	
8816	1.6722e-27	
8824	1.64774e-27	
8832	1.62409e-27	
8840	1.6012e-27	
8848	1.57902e-27	
8856	1.55753e-27	
8864	1.53667e-27	
8872	1.51644e-27	
8880	1.49678e-27	
8888	1.47768e-27	
8896	1.45911e-27	
8904	1.44104e-27	
8912	1.42345e-27	
8920	1.40633e-27	
8928	1.38964e-27	
8936	1.37337e-27	
8944	1.35751e-27	
8952	1.34203e-27	
8960	1.32692e-27	
8968	1.31217e-27	
8976	1.29777e-27	
8984	1.28369e-27	
8992	1.26992e-27	
9000	1.25646e-27	
9008	1.2433e-27	
9016	1.23041e-27	
9024	1.2178e-27	
9032	1.20545e-27	
9040	1.19336e-27	
9048	1.18151e-27	
9056	1.16989e-27	
9064	1.15851e-27	
9072	1.14734e-27	
9080	1.13639e-27	
9088	1.12565e-27	
9096	1.11511e-27	
9104	1.10477e-27	
9112	1.09461e-27	
9120	1.08464e-27	
9128	1.07484e-27	
9136	1.06521e-27	
9144	1.05576e-27	
9152	1.04646e-27	
9160	1.03733e-27	
9168	1.02834e-27	
9176	1.01951e-27	
9184	1.01082e-27	
9192	1.00227e-27	
9200	9.93863e-28	
9208	9.85586e-28	
9216	9.7744e-28	
9224	9.69421e-28	
9232	9.61526e-28	
9240	9.53751e-28	
9248	9.46094e-28	
9256	9.38552e-28	
9264	9.31121e-28	
9272	9.23799e-28	
9280	9.16584e-28	
9288	9.09473e-28	
9296	9.02464e-28	
9304	8.95554e-28	
9312	8.8874e-28	
9320	8.82022e-28	
9328	8.75395e-28	
9336	8.6886e-28	
9344	8.62413e-28	
9352	8.56052e-28	
9360	8.49776e-28	
9368	8.43583e-28	
9376	8.37471e-28	
9384	8.31438e-28	
9392	8.25483e-28	
9400	8.19604e-28	
9408	8.138e-28	
9416	8.08068e-28	
9424	8.02408e-28	
9432	7.96818e-28	
9440	7.91297e-28	
9448	7.85843e-28	
9456	7.80456e-28	
9464	7.75133e-28	
9472	7.69873e-28	
9480	7.64676e-28	
9488	7.5954e-28	
9496	7.54463e-28	
9504	7.49446e-28	
9512	7.44486e-28	
9520	7.39584e-28	
9528	7.34736e-28	
9536	7.29944e-28	
9544	7.25205e-28	
9552	7.20519e-28	
9560	7.15885e-28	
9568	7.11301e-28	
9576	7.06768e-28	
9584	7.02284e-28	
9592	6.97848e-28	
9600	6.93459e-28	
9608	6.89118e-28	
9616	6.84822e-28	
9624	6.80571e-28	
9632	6.76365e-28	
9640	6.72202e-28	
9648	6.68083e-28	
9656	6.64005e-28	
9664	6.59969e-28	
9672	6.55975e-28	
9680	6.5202e-28	
9688	6.48105e-28	
9696	6.44229e-28	
9704	6.40392e-28	
9712	6.36592e-28	
9720	6.3283e-28	
9728	6.29104e-28	
9736	6.25414e-28	
9744	6.2176e-28	
9752	6.18141e-28	
9760	6.14557e-28	
9768	6.11006e-28	
9776	6.07489e-28	
9784	6.04005e-28	
9792	6.00554e-28	
9800	5.97135e-28	
9808	5.93747e-28	
9816	5.90391e-28	
9824	5.87065e-28	
9832	5.8377e-28	
9840	5.80504e-28	
9848	5.77268e-28	
9856	5.74061e-28	
9864	5.70883e-28	
9872	5.67732e-28	
9880	5.6461e-28	
9888	5.61515e-28	
9896	5.58448e-28	
9904	5.55407e-28	
9912	5.52393e-28	
9920	5.49404e-28	
9928	5.46442e-28	
9936	5.43504e-28	
9944	5.40592e-28	
9952	5.37705e-28	
9960	5.34842e-28	
9968	5.32003e-28	
9976	5.29187e-28	
9984	5.26396e-28	
9992	5.23627e-28	
10000	5.20882e-28	
