sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	7.57695e-17	
8496	5.04326e-17	
8504	4.03294e-17	
8512	3.45198e-17	
8520	3.06241e-17	
8528	2.77765e-17	
8536	2.55762e-17	
8544	2.38088e-17	
8552	2.23479e-17	
8560	2.11132e-17	
8568	2.00514e-17	
8576	1.91252e-17	
8584	1.83075e-17	
8592	1.75786e-17	
8600	1.69232e-17	
8608	1.63296e-17	
8616	1.57885e-17	
8624	1.52925e-17	
8632	1.48355e-17	
8640	1.44126e-17	
8648	1.40197e-17	
8656	1.36533e-17	
8664	1.33105e-17	
8672	1.29888e-17	
8680	1.26862e-17	
8688	1.24007e-17	
8696	1.21308e-17	
8704	1.18751e-17	
8712	1.16323e-17	
8720	1.14014e-17	
8728	1.11814e-17	
8736	1.09714e-17	
8744	1.07708e-17	
8752	1.05788e-17	
8760	1.03947e-17	
8768	1.02181e-17	
8776	1.00485e-17	
8784	9.88532e-18	
8792	9.72824e-18	
8800	9.57686e-18	
8808	9.43085e-18	
8816	9.28987e-18	
8824	9.15364e-18	
8832	9.02189e-18	
8840	8.89439e-18	
8848	8.77089e-18	
8856	8.65119e-18	
8864	8.53509e-18	
8872	8.42242e-18	
8880	8.313e-18	
8888	8.20668e-18	
8896	8.10331e-18	
8904	8.00275e-18	
8912	7.90488e-18	
8920	7.80957e-18	
8928	7.71671e-18	
8936	7.62621e-18	
8944	7.53795e-18	
8952	7.45185e-18	
8960	7.36781e-18	
8968	7.28576e-18	
8976	7.20562e-18	
8984	7.12731e-18	
8992	7.05076e-18	
9000	6.9759e-18	
9008	6.90268e-18	
9016	6.83104e-18	
9024	6.76091e-18	
9032	6.69225e-18	
9040	6.625e-18	
9048	6.55911e-18	
9056	6.49455e-18	
9064	6.43126e-18	
9072	6.3692e-18	
9080	6.30833e-18	
9088	6.24862e-18	
9096	6.19003e-18	
9104	6.13253e-18	
9112	6.07607e-18	
9120	6.02064e-18	
9128	5.96619e-18	
9136	5.9127e-18	
9144	5.86014e-18	
9152	5.80849e-18	
9160	5.75772e-18	
9168	5.7078e-18	
9176	5.65871e-18	
9184	5.61043e-18	
9192	5.56293e-18	
9200	5.5162e-18	
9208	5.47022e-18	
9216	5.42496e-18	
9224	5.38041e-18	
9232	5.33654e-18	
9240	5.29335e-18	
9248	5.25081e-18	
9256	5.20891e-18	
9264	5.16763e-18	
9272	5.12695e-18	
9280	5.08687e-18	
9288	5.04737e-18	
9296	5.00843e-18	
9304	4.97005e-18	
9312	4.9322e-18	
9320	4.89488e-18	
9328	4.85808e-18	
9336	4.82178e-18	
9344	4.78597e-18	
9352	4.75064e-18	
9360	4.71578e-18	
9368	4.68138e-18	
9376	4.64744e-18	
9384	4.61393e-18	
9392	4.58086e-18	
9400	4.54821e-18	
9408	4.51598e-18	
9416	4.48415e-18	
9424	4.45271e-18	
9432	4.42167e-18	
9440	4.39101e-18	
9448	4.36073e-18	
9456	4.33081e-18	
9464	4.30125e-18	
9472	4.27204e-18	
9480	4.24318e-18	
9488	4.21466e-18	
9496	4.18647e-18	
9504	4.15861e-18	
9512	4.13107e-18	
9520	4.10385e-18	
9528	4.07694e-18	
9536	4.05033e-18	
9544	4.02401e-18	
9552	3.998e-18	
9560	3.97227e-18	
9568	3.94682e-18	
9576	3.92165e-18	
9584	3.89675e-18	
9592	3.87212e-18	
9600	3.84776e-18	
9608	3.82365e-18	
9616	3.7998e-18	
9624	3.7762e-18	
9632	3.75285e-18	
9640	3.72974e-18	
9648	3.70687e-18	
9656	3.68423e-18	
9664	3.66183e-18	
9672	3.63965e-18	
9680	3.6177e-18	
9688	3.59596e-18	
9696	3.57445e-18	
9704	3.55315e-18	
9712	3.53205e-18	
9720	3.51117e-18	
9728	3.49048e-18	
9736	3.47e-18	
9744	3.44972e-18	
9752	3.42963e-18	
9760	3.40973e-18	
9768	3.39002e-18	
9776	3.3705e-18	
9784	3.35116e-18	
9792	3.332e-18	
9800	3.31302e-18	
9808	3.29422e-18	
9816	3.27559e-18	
9824	3.25713e-18	
9832	3.23884e-18	
9840	3.22071e-18	
9848	3.20275e-18	
9856	3.18495e-18	
9864	3.1673e-18	
9872	3.14982e-18	
9880	3.13249e-18	
9888	3.11531e-18	
9896	3.09829e-18	
9904	3.08141e-18	
9912	3.06468e-18	
9920	3.04809e-18	
9928	3.03165e-18	
9936	3.01534e-18	
9944	2.99918e-18	
9952	2.98315e-18	
9960	2.96726e-18	
9968	2.95151e-18	
9976	2.93588e-18	
9984	2.92039e-18	
9992	2.90502e-18	
10000	2.88979e-18	
