sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	1.1831e-27	
8496	8.2362e-28	
8504	6.67676e-28	
8512	5.75282e-28	
8520	5.12351e-28	
8528	4.65907e-28	
8536	4.29783e-28	
8544	4.00628e-28	
8552	3.76441e-28	
8560	3.55943e-28	
8568	3.38274e-28	
8576	3.22832e-28	
8584	3.09179e-28	
8592	2.96992e-28	
8600	2.86021e-28	
8608	2.76075e-28	
8616	2.67e-28	
8624	2.58675e-28	
8632	2.50999e-28	
8640	2.43892e-28	
8648	2.37285e-28	
8656	2.31121e-28	
8664	2.25352e-28	
8672	2.19936e-28	
8680	2.14838e-28	
8688	2.10028e-28	
8696	2.05478e-28	
8704	2.01166e-28	
8712	1.97071e-28	
8720	1.93176e-28	
8728	1.89463e-28	
8736	1.8592e-28	
8744	1.82532e-28	
8752	1.7929e-28	
8760	1.76182e-28	
8768	1.73199e-28	
8776	1.70333e-28	
8784	1.67576e-28	
8792	1.64921e-28	
8800	1.62363e-28	
8808	1.59894e-28	
8816	1.57511e-28	
8824	1.55208e-28	
8832	1.5298e-28	
8840	1.50823e-28	
8848	1.48735e-28	
8856	1.4671e-28	
8864	1.44746e-28	
8872	1.42839e-28	
8880	1.40988e-28	
8888	1.39189e-28	
8896	1.37439e-28	
8904	1.35737e-28	
8912	1.34081e-28	
8920	1.32468e-28	
8928	1.30896e-28	
8936	1.29363e-28	
8944	1.27869e-28	
8952	1.26411e-28	
8960	1.24988e-28	
8968	1.23599e-28	
8976	1.22242e-28	
8984	1.20916e-28	
8992	1.19619e-28	
9000	1.18351e-28	
9008	1.17111e-28	
9016	1.15897e-28	
9024	1.1471e-28	
9032	1.13546e-28	
9040	1.12407e-28	
9048	1.11291e-28	
9056	1.10197e-28	
9064	1.09125e-28	
9072	1.08073e-28	
9080	1.07042e-28	
9088	1.0603e-28	
9096	1.05037e-28	
9104	1.04063e-28	
9112	1.03106e-28	
9120	1.02166e-28	
9128	1.01243e-28	
9136	1.00337e-28	
9144	9.94461e-29	
9152	9.85706e-29	
9160	9.771e-29	
9168	9.68638e-29	
9176	9.60317e-29	
9184	9.52133e-29	
9192	9.44082e-29	
9200	9.3616e-29	
9208	9.28364e-29	
9216	9.20691e-29	
9224	9.13138e-29	
9232	9.05701e-29	
9240	8.98377e-29	
9248	8.91165e-29	
9256	8.8406e-29	
9264	8.77061e-29	
9272	8.70165e-29	
9280	8.63368e-29	
9288	8.5667e-29	
9296	8.50068e-29	
9304	8.43559e-29	
9312	8.37141e-29	
9320	8.30812e-29	
9328	8.24571e-29	
9336	8.18415e-29	
9344	8.12342e-29	
9352	8.0635e-29	
9360	8.00439e-29	
9368	7.94605e-29	
9376	7.88848e-29	
9384	7.83166e-29	
9392	7.77556e-29	
9400	7.72019e-29	
9408	7.66551e-29	
9416	7.61152e-29	
9424	7.55821e-29	
9432	7.50556e-29	
9440	7.45355e-29	
9448	7.40218e-29	
9456	7.35143e-29	
9464	7.30129e-29	
9472	7.25175e-29	
9480	7.20279e-29	
9488	7.15441e-29	
9496	7.1066e-29	
9504	7.05934e-29	
9512	7.01262e-29	
9520	6.96644e-29	
9528	6.92078e-29	
9536	6.87564e-29	
9544	6.831e-29	
9552	6.78686e-29	
9560	6.74321e-29	
9568	6.70004e-29	
9576	6.65734e-29	
9584	6.6151e-29	
9592	6.57331e-29	
9600	6.53198e-29	
9608	6.49108e-29	
9616	6.45062e-29	
9624	6.41058e-29	
9632	6.37096e-29	
9640	6.33175e-29	
9648	6.29294e-29	
9656	6.25454e-29	
9664	6.21652e-29	
9672	6.17889e-29	
9680	6.14164e-29	
9688	6.10477e-29	
9696	6.06826e-29	
9704	6.03211e-29	
9712	5.99632e-29	
9720	5.96088e-29	
9728	5.92579e-29	
9736	5.89103e-29	
9744	5.85661e-29	
9752	5.82253e-29	
9760	5.78876e-29	
9768	5.75532e-29	
9776	5.72219e-29	
9784	5.68938e-29	
9792	5.65687e-29	
9800	5.62466e-29	
9808	5.59275e-29	
9816	5.56113e-29	
9824	5.52981e-29	
9832	5.49877e-29	
9840	5.46801e-29	
9848	5.43752e-29	
9856	5.40732e-29	
9864	5.37738e-29	
9872	5.3477e-29	
9880	5.31829e-29	
9888	5.28914e-29	
9896	5.26025e-29	
9904	5.23161e-29	
9912	5.20321e-29	
9920	5.17506e-29	
9928	5.14716e-29	
9936	5.11949e-29	
9944	5.09206e-29	
9952	5.06486e-29	
9960	5.03789e-29	
9968	5.01115e-29	
9976	4.98463e-29	
9984	4.95834e-29	
9992	4.93226e-29	
10000	4.9064e-29	
