sqrts	xsec	
8400	0	
8408	0	
8416	0	
8424	0	
8432	0	
8440	0	
8448	0	
8456	0	
8464	0	
8472	0	
8480	0	
8488	3.32308e-19	
8496	2.21186e-19	
8504	1.76876e-19	
8512	1.51396e-19	
8520	1.3431e-19	
8528	1.21822e-19	
8536	1.12172e-19	
8544	1.0442e-19	
8552	9.80126e-20	
8560	9.25978e-20	
8568	8.79409e-20	
8576	8.38786e-20	
8584	8.02927e-20	
8592	7.70959e-20	
8600	7.42215e-20	
8608	7.1618e-20	
8616	6.92449e-20	
8624	6.70694e-20	
8632	6.50651e-20	
8640	6.32104e-20	
8648	6.14871e-20	
8656	5.98801e-20	
8664	5.83768e-20	
8672	5.69661e-20	
8680	5.56388e-20	
8688	5.43868e-20	
8696	5.32031e-20	
8704	5.20815e-20	
8712	5.10167e-20	
8720	5.0004e-20	
8728	4.90391e-20	
8736	4.81183e-20	
8744	4.72382e-20	
8752	4.6396e-20	
8760	4.55888e-20	
8768	4.48143e-20	
8776	4.40703e-20	
8784	4.33548e-20	
8792	4.26659e-20	
8800	4.2002e-20	
8808	4.13616e-20	
8816	4.07433e-20	
8824	4.01458e-20	
8832	3.9568e-20	
8840	3.90088e-20	
8848	3.84671e-20	
8856	3.79422e-20	
8864	3.7433e-20	
8872	3.69388e-20	
8880	3.64589e-20	
8888	3.59926e-20	
8896	3.55393e-20	
8904	3.50982e-20	
8912	3.4669e-20	
8920	3.4251e-20	
8928	3.38438e-20	
8936	3.34468e-20	
8944	3.30597e-20	
8952	3.26821e-20	
8960	3.23136e-20	
8968	3.19537e-20	
8976	3.16022e-20	
8984	3.12587e-20	
8992	3.0923e-20	
9000	3.05947e-20	
9008	3.02736e-20	
9016	2.99594e-20	
9024	2.96518e-20	
9032	2.93507e-20	
9040	2.90557e-20	
9048	2.87668e-20	
9056	2.84836e-20	
9064	2.8206e-20	
9072	2.79339e-20	
9080	2.76669e-20	
9088	2.7405e-20	
9096	2.71481e-20	
9104	2.68959e-20	
9112	2.66483e-20	
9120	2.64051e-20	
9128	2.61663e-20	
9136	2.59318e-20	
9144	2.57013e-20	
9152	2.54747e-20	
9160	2.5252e-20	
9168	2.50331e-20	
9176	2.48178e-20	
9184	2.46061e-20	
9192	2.43978e-20	
9200	2.41928e-20	
9208	2.39911e-20	
9216	2.37926e-20	
9224	2.35972e-20	
9232	2.34049e-20	
9240	2.32154e-20	
9248	2.30289e-20	
9256	2.28451e-20	
9264	2.2664e-20	
9272	2.24857e-20	
9280	2.23099e-20	
9288	2.21366e-20	
9296	2.19659e-20	
9304	2.17975e-20	
9312	2.16315e-20	
9320	2.14678e-20	
9328	2.13064e-20	
9336	2.11472e-20	
9344	2.09902e-20	
9352	2.08352e-20	
9360	2.06823e-20	
9368	2.05315e-20	
9376	2.03826e-20	
9384	2.02357e-20	
9392	2.00906e-20	
9400	1.99474e-20	
9408	1.9806e-20	
9416	1.96664e-20	
9424	1.95286e-20	
9432	1.93924e-20	
9440	1.9258e-20	
9448	1.91252e-20	
9456	1.89939e-20	
9464	1.88643e-20	
9472	1.87362e-20	
9480	1.86096e-20	
9488	1.84845e-20	
9496	1.83609e-20	
9504	1.82387e-20	
9512	1.8118e-20	
9520	1.79986e-20	
9528	1.78805e-20	
9536	1.77638e-20	
9544	1.76484e-20	
9552	1.75343e-20	
9560	1.74215e-20	
9568	1.73098e-20	
9576	1.71995e-20	
9584	1.70903e-20	
9592	1.69822e-20	
9600	1.68754e-20	
9608	1.67697e-20	
9616	1.66651e-20	
9624	1.65616e-20	
9632	1.64592e-20	
9640	1.63578e-20	
9648	1.62575e-20	
9656	1.61582e-20	
9664	1.606e-20	
9672	1.59627e-20	
9680	1.58664e-20	
9688	1.57711e-20	
9696	1.56767e-20	
9704	1.55833e-20	
9712	1.54908e-20	
9720	1.53992e-20	
9728	1.53085e-20	
9736	1.52186e-20	
9744	1.51297e-20	
9752	1.50416e-20	
9760	1.49543e-20	
9768	1.48679e-20	
9776	1.47822e-20	
9784	1.46974e-20	
9792	1.46134e-20	
9800	1.45302e-20	
9808	1.44477e-20	
9816	1.4366e-20	
9824	1.4285e-20	
9832	1.42048e-20	
9840	1.41253e-20	
9848	1.40465e-20	
9856	1.39685e-20	
9864	1.38911e-20	
9872	1.38144e-20	
9880	1.37384e-20	
9888	1.36631e-20	
9896	1.35884e-20	
9904	1.35144e-20	
9912	1.3441e-20	
9920	1.33682e-20	
9928	1.32961e-20	
9936	1.32246e-20	
9944	1.31537e-20	
9952	1.30834e-20	
9960	1.30137e-20	
9968	1.29446e-20	
9976	1.28761e-20	
9984	1.28082e-20	
9992	1.27408e-20	
10000	1.26739e-20	
